measurement,workbook,sheet,max_row,max_column,non_empty_cells,first_non_empty_row,first_non_empty_values,date_range,numeric_summary,keywords
coordinates_geometry_layout,cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,109,10,1082,1,3D Modell | 2D_Model (x/z) | 2D_Model (x/y),,"C2: n=107, min=-11.3093, max=14.3048; C3: n=107, min=0, max=0; C4: n=107, min=-5.46579, max=2.38801; C5: n=107, min=-6.67927, max=18.9348; C6: n=107, min=0, max=0; C7: n=107, min=-6.74579, max=1.10801; C8: n=107, min=-6.67927, max=18.9348; C9: n=107, min=-6.74579, max=1.10801",NMR; Taupe; suction
coordinates_geometry_layout,cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,39,8,255,1,Original Koordinaten | BGR Model Koordinaten,,"C2: n=35, min=2.579e+06, max=2.579e+06; C3: n=35, min=1.247e+06, max=1.247e+06; C4: n=35, min=507.711, max=514.328; C6: n=35, min=-10.2324, max=13.0348; C7: n=35, min=5.77969, max=11.6326; C8: n=35, min=-4.22899, max=2.38801",NMR; CD-A
