observation_id,primary_support_cell_id,source_sheet,campaign_year,normalized_segment_label,borehole_depth_m,observed_log10_permeability_m2,current_predicted_log10_permeability_m2,best_single_support_prediction_log10,current_log10_residual_pred_minus_obs,lower_bound_log10_residual_pred_minus_obs,objective_weight,current_row_gaussian_loss,single_support_lower_bound_row_loss,configured_scalar_feasibility_status,residual_sign,recommended_next_action
perm_0158,5896,2024,2024,BCD-A32,1.29,-16.397940008672037,-18.548455006504028,-18.548455006504028,-2.1505149978319906,-2.1505149978319906,0.5,4.624714755900326,4.624714755900326,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0194,3600,2024,2024,BCD-A33,0.45,-19.096910013008056,-17.596910013008056,-17.596910013008056,1.5,1.5,1.0,4.5,4.5,observed_inside_configured_scalar_range,overpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0023,4317,2024_OT,2024,BCD-A33,1.7,-16.30102999566398,-18.349485002168013,-18.34948500216801,-2.0484550065040317,-2.048455006504028,0.5,4.196167913671433,4.196167913671418,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0189,4317,2024,2024,BCD-A33,1.7,-16.30102999566398,-18.349485002168013,-18.34948500216801,-2.0484550065040317,-2.048455006504028,0.5,4.196167913671433,4.196167913671418,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0004,6191,2024_OT,2024,BCD-A32,0.73,-15.30102999566398,-17.30102999566398,-17.30102999566398,-2.0000000000000018,-2.0000000000000018,0.5,4.000000000000007,4.000000000000007,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0154,6191,2024,2024,BCD-A32,0.73,-15.30102999566398,-17.30102999566398,-17.30102999566398,-2.0000000000000018,-2.0000000000000018,0.5,4.000000000000007,4.000000000000007,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0198,4650,2024,2024,BCD-A33,1.01,-20.0,-18.610924374808175,-18.610924374808178,1.3890756251918255,1.389075625191822,1.0,3.8590621850041216,3.859062185004102,observed_inside_configured_scalar_range,overpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0021,5030,2024_OT,2024,BCD-A33,1.15,-15.154901959985745,-17.10032972527321,-17.10032972527321,-1.945427765287464,-1.945427765287464,0.5,3.7846891899513766,3.7846891899513766,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0187,5030,2024,2024,BCD-A33,1.15,-15.154901959985745,-17.10032972527321,-17.10032972527321,-1.945427765287464,-1.945427765287464,0.5,3.7846891899513766,3.7846891899513766,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0001,8051,2024_OT,2024,BCD-A32,0.31,-15.69897000433602,-17.61092437480818,-17.610924374808178,-1.911954370472161,-1.9119543704721575,0.5,3.6555695147675977,3.6555695147675844,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
