primary_support_cell_id,row_count,effective_objective_weight,segments,source_sheets,campaign_years,depth_min_m,depth_max_m,observed_log10_min,observed_log10_max,observed_log10_range,best_single_support_prediction_log10,current_weighted_prediction_log10,prediction_minus_best_log10,current_row_gaussian_loss,single_support_lower_bound_loss,current_minus_lower_bound_loss,current_at_lower_bound,configured_scalar_feasibility_statuses,residual_signs,support_lower_bound_class,current_row_gaussian_loss_share
3864,4,3.0,BCD-A33,2024;2024_OT,2024,3.3,3.3,-20.69897000433602,-20.096910013008056,0.6020599913279625,-20.397940008672037,-20.39794000867204,-3.552713678800501e-15,0.3624762331578263,0.3624762331578263,0.0,True,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation,single_support_value_lower_bound_met,0.0013434098408597053
4298,3,2.0,BCD-A32,2024;2024_OT,2024,1.7,1.7,-20.30102999566398,-19.69897000433602,0.6020599913279625,-20.0,-20.0,0.0,0.3624762331578263,0.3624762331578263,0.0,True,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation,single_support_value_lower_bound_met,0.0013434098408597053
3671,2,2.0,BCD-A32,2024,2024,3.3,3.3,-20.522878745280337,-20.30102999566398,0.22184874961635614,-20.41195437047216,-20.41195437047216,0.0,0.04921686770634068,0.04921686770634068,0.0,True,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation,single_support_value_lower_bound_met,0.000182407612871544
5948,3,2.0,BCD-A32,2024;2024_OT,2024,2.5,2.5,-20.522878745280337,-20.30102999566398,0.22184874961635614,-20.41195437047216,-20.41195437047216,0.0,0.04921686770634068,0.04921686770634068,0.0,True,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation,single_support_value_lower_bound_met,0.000182407612871544
1781,1,1.0,BCD-A33,2024,2024,0.17,0.17,-19.39794000867204,-19.39794000867204,0.0,-19.39794000867204,-19.39794000867204,0.0,0.0,0.0,0.0,True,observed_inside_configured_scalar_range,zero_residual,single_support_value_lower_bound_met,0.0
3539,1,1.0,BCD-A33,2024,2024,0.73,0.73,-19.096910013008056,-19.096910013008056,0.0,-19.096910013008056,-19.096910013008056,0.0,0.0,0.0,0.0,True,observed_inside_configured_scalar_range,zero_residual,single_support_value_lower_bound_met,0.0
4497,1,1.0,BCD-A33,2024,2024,2.5,2.5,-20.39794000867204,-20.39794000867204,0.0,-20.39794000867204,-20.39794000867204,0.0,0.0,0.0,0.0,True,observed_inside_configured_scalar_range,zero_residual,single_support_value_lower_bound_met,0.0
5034,2,1.0,BCD-A33,2024;2024_OT,2024,1.05,1.05,-14.69897000433602,-14.69897000433602,0.0,-14.69897000433602,-14.69897000433602,0.0,0.0,0.0,0.0,True,observed_inside_configured_scalar_range,overpredicts_observation,single_support_value_lower_bound_met,0.0
5046,1,1.0,BCD-A32,2024,2024,1.05,1.05,-19.69897000433602,-19.69897000433602,0.0,-19.69897000433602,-19.69897000433602,0.0,0.0,0.0,0.0,True,observed_inside_configured_scalar_range,zero_residual,single_support_value_lower_bound_met,0.0
5292,1,1.0,BCD-A32,2024,2024,0.75,0.75,-19.096910013008056,-19.096910013008056,0.0,-19.096910013008056,-19.096910013008056,0.0,0.0,0.0,0.0,True,observed_inside_configured_scalar_range,zero_residual,single_support_value_lower_bound_met,0.0
6194,2,1.0,BCD-A33,2024;2024_OT,2024,0.75,0.75,-14.154901959985745,-14.154901959985745,0.0,-14.154901959985745,-14.154901959985745,0.0,0.0,0.0,0.0,True,observed_inside_configured_scalar_range,zero_residual,single_support_value_lower_bound_met,0.0
6995,1,1.0,BCD-A32,2024,2024,0.35,0.35,-19.045757490560675,-19.045757490560675,0.0,-19.045757490560675,-19.045757490560675,0.0,0.0,0.0,0.0,True,observed_inside_configured_scalar_range,zero_residual,single_support_value_lower_bound_met,0.0
9359,2,1.0,BCD-A33,2024;2024_OT,2024,0.35,0.35,-16.096910013008056,-16.096910013008056,0.0,-16.096910013008056,-16.096910013008056,0.0,0.0,0.0,0.0,True,observed_inside_configured_scalar_range,zero_residual,single_support_value_lower_bound_met,0.0
