primary_cell_id,row_count,effective_objective_weight,segments,depth_min_m,depth_max_m,observed_log10_min,observed_log10_max,observed_log10_range,weighted_observed_mean_log10,weighted_observed_median_log10,weighted_predicted_log10,support_mean_residual_log10,support_median_residual_log10,current_row_gaussian_loss,support_mean_unit_gaussian_loss,support_median_unit_gaussian_loss,configured_scalar_feasibility_statuses,residual_signs,group_policy_class,current_row_gaussian_loss_share
4648,3,2.0,BCD-A32,0.85,0.87,-19.045757490560675,-12.096910013008056,6.948847477552619,-15.571333751784366,-19.045757490560675,-15.571333751784366,0.0,3.4744237387763093,48.28648126628939,0.0,24.143240633144696,observed_above_configured_scalar_range;observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation,configured_scalar_range_decision_required,0.17895941355519573
8057,3,2.0,BCD-A33,0.55,0.59,-21.0,-14.096910013008056,6.903089986991944,-17.548455006504028,-21.0,-17.548455006504028,0.0,3.451544993495972,47.65265136850844,0.0,23.82632568425422,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation,within_support_conflict_group,0.17661031244395325
7188,3,2.0,BCD-A32,0.95,1.01,-19.096910013008056,-14.522878745280336,4.574031267727721,-16.809894379144197,-19.096910013008056,-16.809894379144197,0.0,2.2870156338638594,20.92176203815086,0.0,10.460881019075421,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation,within_support_conflict_group,0.07754025902696629
5040,3,2.0,BCD-A32,1.15,1.15,-19.39794000867204,-15.096910013008056,4.301029995663985,-17.247425010840047,-19.39794000867204,-17.24742501084005,-3.552713678800501e-15,2.1505149978319906,18.498859023601334,2.524354896707238e-29,9.249429511800653,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation,within_support_conflict_group,0.06856049303006785
5896,3,2.0,BCD-A32,1.25,1.29,-20.69897000433602,-16.397940008672037,4.301029995663981,-18.548455006504028,-20.69897000433602,-18.548455006504028,0.0,2.1505149978319906,18.498859023601298,0.0,9.249429511800653,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation,within_support_conflict_group,0.06856049303006771
4317,3,2.0,BCD-A33,1.7,1.7,-20.39794000867204,-16.30102999566398,4.09691001300806,-18.34948500216801,-20.39794000867204,-18.349485002168013,-3.552713678800501e-15,2.048455006504028,16.784671654685702,2.524354896707238e-29,8.392335827342835,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation,within_support_conflict_group,0.06220736979101681
6191,3,2.0,BCD-A32,0.65,0.73,-19.30102999566398,-15.30102999566398,4.000000000000002,-17.30102999566398,-19.30102999566398,-17.30102999566398,0.0,2.0,16.000000000000014,0.0,8.0,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation,within_support_conflict_group,0.05929921878325284
5030,3,2.0,BCD-A33,1.15,1.15,-19.045757490560675,-15.154901959985745,3.89085553057493,-17.10032972527321,-19.045757490560675,-17.10032972527321,0.0,1.9454277652874659,15.138756759805517,0.0,7.5693783799027665,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation,within_support_conflict_group,0.05610727807538465
8051,3,2.0,BCD-A32,0.25,0.31,-19.522878745280337,-15.69897000433602,3.823908740944317,-17.610924374808178,-19.522878745280337,-17.61092437480818,-3.552713678800501e-15,1.9119543704721558,14.622278059070352,2.524354896707238e-29,7.311139029535155,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation,within_support_conflict_group,0.05419310410839811
8371,3,2.0,BCD-A32,0.45,0.45,-19.096910013008056,-15.69897000433602,3.3979400086720357,-17.397940008672037,-19.096910013008056,-17.397940008672037,0.0,1.6989700043360187,11.545996302534114,0.0,5.772998151267063,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation,within_support_conflict_group,0.042791785050912384
5749,3,2.0,BCD-A33,1.25,1.29,-19.22184874961636,-16.045757490560675,3.176091259055685,-17.633803120088515,-19.22184874961636,-17.63380312008852,-3.552713678800501e-15,1.5880456295278407,10.087555685849928,2.524354896707238e-29,5.043777842924952,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation,within_support_conflict_group,0.03738651072521628
3600,3,2.0,BCD-A33,0.45,0.45,-19.096910013008056,-16.096910013008056,3.0,-17.596910013008056,-19.096910013008056,-17.596910013008056,0.0,1.5,9.0,0.0,4.5,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation,within_support_conflict_group,0.033355810565579694
4650,3,2.0,BCD-A33,0.95,1.01,-20.0,-17.221848749616356,2.778151250383644,-18.610924374808178,-20.0,-18.610924374808175,3.552713678800501e-15,1.3890756251918255,7.718124370008204,2.524354896707238e-29,3.8590621850041216,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation,within_support_conflict_group,0.028604921600841975
4096,3,2.0,BCD-A33,0.25,0.31,-19.096910013008056,-16.69897000433602,2.3979400086720375,-17.897940008672037,-19.096910013008056,-17.897940008672037,0.0,1.1989700043360187,5.750116285190051,0.0,2.8750581425950257,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation,within_support_conflict_group,0.021311087726539352
4649,3,2.0,BCD-A33,0.85,0.87,-19.39794000867204,-17.397940008672037,2.0000000000000036,-18.397940008672037,-19.39794000867204,-18.39794000867204,-3.552713678800501e-15,1.0,4.000000000000014,2.524354896707238e-29,2.0,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation,within_support_conflict_group,0.01482480469581325
136,3,2.0,BCD-A32,0.15,0.17,-17.30102999566398,-15.30102999566398,2.0000000000000018,-16.30102999566398,-17.30102999566398,-16.30102999566398,0.0,1.0,4.000000000000007,0.0,2.0,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation,within_support_conflict_group,0.014824804695813223
3542,3,2.0,BCD-A32,0.55,0.59,-13.69897000433602,-13.0,0.6989700043360205,-13.34948500216801,-13.69897000433602,-13.34948500216801,0.0,0.34948500216801115,0.4885590669614965,0.0,0.24427953348074952,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation,ordinary_support_group,0.0018106981875182268
3864,4,3.0,BCD-A33,3.3,3.3,-20.69897000433602,-20.096910013008056,0.6020599913279625,-20.397940008672037,-20.39794000867204,-20.39794000867204,-3.552713678800501e-15,0.0,0.3624762331578262,2.524354896707238e-29,0.0,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation,ordinary_support_group,0.0013434098408597053
4298,3,2.0,BCD-A32,1.7,1.7,-20.30102999566398,-19.69897000433602,0.6020599913279625,-20.0,-20.30102999566398,-20.0,0.0,0.30102999566398125,0.3624762331578262,0.0,0.18123811657891314,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation,ordinary_support_group,0.0013434098408597053
3671,2,2.0,BCD-A32,3.3,3.3,-20.522878745280337,-20.30102999566398,0.22184874961635614,-20.41195437047216,-20.522878745280337,-20.41195437047216,0.0,0.11092437480817807,0.04921686770634062,0.0,0.02460843385317034,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation,ordinary_support_group,0.00018240761287154384
5948,3,2.0,BCD-A32,2.5,2.5,-20.522878745280337,-20.30102999566398,0.22184874961635614,-20.41195437047216,-20.522878745280337,-20.41195437047216,0.0,0.11092437480817807,0.04921686770634062,0.0,0.02460843385317034,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation,ordinary_support_group,0.00018240761287154384
5034,2,1.0,BCD-A33,1.05,1.05,-14.69897000433602,-14.69897000433602,0.0,-14.69897000433602,-14.69897000433602,-14.69897000433602,0.0,0.0,6.310887241768095e-30,0.0,0.0,observed_inside_configured_scalar_range,overpredicts_observation,ordinary_support_group,2.338941770412781e-32
1781,1,1.0,BCD-A33,0.17,0.17,-19.39794000867204,-19.39794000867204,0.0,-19.39794000867204,-19.39794000867204,-19.39794000867204,0.0,0.0,0.0,0.0,0.0,observed_inside_configured_scalar_range,zero_residual,ordinary_support_group,0.0
3539,1,1.0,BCD-A33,0.73,0.73,-19.096910013008056,-19.096910013008056,0.0,-19.096910013008056,-19.096910013008056,-19.096910013008056,0.0,0.0,0.0,0.0,0.0,observed_inside_configured_scalar_range,zero_residual,ordinary_support_group,0.0
4497,1,1.0,BCD-A33,2.5,2.5,-20.39794000867204,-20.39794000867204,0.0,-20.39794000867204,-20.39794000867204,-20.39794000867204,0.0,0.0,0.0,0.0,0.0,observed_inside_configured_scalar_range,zero_residual,ordinary_support_group,0.0
5046,1,1.0,BCD-A32,1.05,1.05,-19.69897000433602,-19.69897000433602,0.0,-19.69897000433602,-19.69897000433602,-19.69897000433602,0.0,0.0,0.0,0.0,0.0,observed_inside_configured_scalar_range,zero_residual,ordinary_support_group,0.0
5292,1,1.0,BCD-A32,0.75,0.75,-19.096910013008056,-19.096910013008056,0.0,-19.096910013008056,-19.096910013008056,-19.096910013008056,0.0,0.0,0.0,0.0,0.0,observed_inside_configured_scalar_range,zero_residual,ordinary_support_group,0.0
6194,2,1.0,BCD-A33,0.75,0.75,-14.154901959985745,-14.154901959985745,0.0,-14.154901959985745,-14.154901959985745,-14.154901959985745,0.0,0.0,0.0,0.0,0.0,observed_inside_configured_scalar_range,zero_residual,ordinary_support_group,0.0
6995,1,1.0,BCD-A32,0.35,0.35,-19.045757490560675,-19.045757490560675,0.0,-19.045757490560675,-19.045757490560675,-19.045757490560675,0.0,0.0,0.0,0.0,0.0,observed_inside_configured_scalar_range,zero_residual,ordinary_support_group,0.0
9359,2,1.0,BCD-A33,0.35,0.35,-16.096910013008056,-16.096910013008056,0.0,-16.096910013008056,-16.096910013008056,-16.096910013008056,0.0,0.0,0.0,0.0,0.0,observed_inside_configured_scalar_range,zero_residual,ordinary_support_group,0.0
