run_id,run_kind,series_id,sensor,edz_band_cm,row_count,compared_rows,diagnostic_statuses,date_min,date_max,compared_date_min,compared_date_max,mean_abs_time_delta_days,model_taupe_standardized_pearson,delta_sign_agreement_fraction,standardized_residual_mean,standardized_residual_mae,standardized_residual_rmse,taupe_standardized_min,taupe_standardized_max,model_standardized_min,model_standardized_max,model_theta_min,model_theta_max,model_theta_baseline,model_theta_robust_scale
adaptive_combined_001_length_0p050m,adaptive_combined,A3_0-10cm,A3,0-10,212,155,outside_time_tolerance=57; trend_compared=155,2019-12-01,2025-10-10,2019-12-01,2024-03-10,5.0613201911589005,-0.1243040647232954,0.4838709677419355,2.834675867204884,2.8489990849202624,3.252757526680994,-6.005866924144911,1.2894643411186026,-0.7121940451626498,3.654610788774768,0.0547354250844653,0.0926923723219541,0.0609259265662359,0.0086921556334506
adaptive_combined_001_length_0p050m,adaptive_combined,A3_0-50cm,A3,0-50,212,155,outside_time_tolerance=57; trend_compared=155,2019-12-01,2025-10-10,2019-12-01,2024-03-10,5.0613201911589005,-0.1363017300818176,0.9032258064516128,0.2625908900621043,1.1634126017558166,1.6289325163143504,-3.7850321816080488,1.4555481803622266,-3.159507474070617,2.105683165555932,0.0711381580569956,0.0920551794874175,0.0836899325449562,0.0039726997296161
adaptive_combined_001_length_0p050m,adaptive_combined,A3_10-20cm,A3,10-20,212,155,outside_time_tolerance=57; trend_compared=155,2019-12-01,2025-10-10,2019-12-01,2024-03-10,5.0613201911589005,0.5662723535294077,0.9612903225806452,-0.757888433341836,1.0547095823819386,1.185849456888889,-3.253046457706223,0.851858982208852,-3.8572294117015713,0.2712157297441868,0.0727069431027481,0.0914628249588487,0.0902306685391035,0.0045430861289178
adaptive_combined_001_length_0p050m,adaptive_combined,A3_20-30cm,A3,20-30,212,155,outside_time_tolerance=57; trend_compared=155,2019-12-01,2025-10-10,2019-12-01,2024-03-10,5.0613201911589005,0.5538474527616206,1.0,-0.991501402086802,1.1582565020129372,1.311306299596247,-3.0538072782283905,0.4814115268844356,-3.731870715670404,0.2295610523177079,0.0765371088160558,0.0949549186521744,0.0938876247910172,0.0046492810970394
adaptive_combined_001_length_0p050m,adaptive_combined,A3_30-40cm,A3,30-40,212,155,outside_time_tolerance=57; trend_compared=155,2019-12-01,2025-10-10,2019-12-01,2024-03-10,5.0613201911589005,0.1356795946354467,1.0,-0.2636828884137338,1.0316864145013154,1.209963109726938,-3.9480415592987774,1.8176301789584537,-3.34612286011263,0.177538015223363,0.0801051926215698,0.0976761063837511,0.0967908040617161,0.0049865507447579
adaptive_combined_001_length_0p050m,adaptive_combined,A3_40-50cm,A3,40-50,212,155,outside_time_tolerance=57; trend_compared=155,2019-12-01,2025-10-10,2019-12-01,2024-03-10,5.0613201911589005,-0.7363440415085853,0.1354838709677419,-3.712669969306113,3.739558632427935,4.178262076809086,-1.2422963201065131,4.88758569606041,-3.34699744066054,0.1484960199096138,0.0838846551354717,0.1000660655846703,0.0993786447454283,0.0046292206327169
adaptive_combined_001_length_0p050m,adaptive_combined,A4_0-10cm,A4,0-10,212,155,outside_time_tolerance=57; trend_compared=155,2019-12-01,2025-10-10,2019-12-01,2024-03-10,5.0613201911589005,-0.1434880517779648,0.5032258064516129,0.0966295951453505,1.0330899820497887,1.3069279170434749,-1.1257117979611122,1.880571499182726,-0.7350933921846485,3.732947477239175,0.0589864251305979,0.0935247816856295,0.0646687629655683,0.0077300896666787
adaptive_combined_001_length_0p050m,adaptive_combined,A4_0-50cm,A4,0-50,212,155,outside_time_tolerance=57; trend_compared=155,2019-12-01,2025-10-10,2019-12-01,2024-03-10,5.0613201911589005,-0.0502647844635594,0.3483870967741935,-1.85286552581566,2.0428478110140262,2.373040012466536,-2.3252467102105383,2.6202317521555165,-2.899026858090536,2.1235359065660298,0.0769876229163989,0.0948192486501218,0.0872800501786824,0.0035503042110698
adaptive_combined_001_length_0p050m,adaptive_combined,A4_10-20cm,A4,10-20,212,155,outside_time_tolerance=57; trend_compared=155,2019-12-01,2025-10-10,2019-12-01,2024-03-10,5.0613201911589005,0.4070487092672267,0.9741935483870968,-0.7161771278942921,1.1202329745274682,1.3636999505236858,-4.355263797683731,1.7946116466055737,-4.111985930661797,0.2532366491335697,0.0785181505771522,0.0944616696439613,0.0935367492601614,0.0036523954449893
adaptive_combined_001_length_0p050m,adaptive_combined,A4_20-30cm,A4,20-30,212,155,outside_time_tolerance=57; trend_compared=155,2019-12-01,2025-10-10,2019-12-01,2024-03-10,5.0613201911589005,0.1205962204531739,0.0451612903225806,-3.4652594935784062,3.517387427172345,3.641797811709959,-3.8764701714033074,3.1625728267221827,-3.299050853759008,0.1634446821269795,0.0842846819897837,0.0990452768674756,0.0983485133012022,0.0042629931864778
