source_location,citation_key,locator,locator_status,bibliography_status,fulltext_status,citation_command
measurement_chapter.tex:519,CDAModellingSlides2025,PDF p.~5,checkable_locator,present,local_fulltext_available,\cite[PDF p.~5]{CDAModellingSlides2025}
measurement_chapter.tex:534,Ziefle2024Characterization,"PDF pp.~1, 11, Sect.~4.3 and Sect.~6",checkable_locator,present,local_fulltext_available,"\cite[PDF pp.~1, 11, Sect.~4.3 and Sect.~6]{Ziefle2024Characterization}"
measurement_chapter.tex:547,Klinkenberg1941,"pp.~200, 205--207",checkable_locator,present,local_fulltext_available,"\cite[pp.~200, 205--207]{Klinkenberg1941}"
measurement_chapter.tex:555,Marschall2005,"pp.~124--125, Sects.~2.1--2.2",checkable_locator,present,local_fulltext_available,"\cite[pp.~124--125, Sects.~2.1--2.2]{Marschall2005}"
measurement_chapter.tex:849,TaupeISU2026Local,PDF p.~1,checkable_locator,present,local_fulltext_available,\cite[PDF p.~1]{TaupeISU2026Local}
measurement_chapter.tex:853,Ziefle2024Characterization,"PDF pp.~4--5, Tables~1--2",checkable_locator,present,local_fulltext_available,"\cite[PDF pp.~4--5, Tables~1--2]{Ziefle2024Characterization}"
measurement_chapter.tex:858,Topp1980TDR,pp.~574--577,checkable_locator,present,unavailable_tracked,\cite[pp.~574--577]{Topp1980TDR}
measurement_chapter.tex:862,Robinson2003TDRReview,pp.~444--446,checkable_locator,present,local_fulltext_available,\cite[pp.~444--446]{Robinson2003TDRReview}
measurement_chapter.tex:870,CDAModellingSlides2025,PDF p.~8,checkable_locator,present,local_fulltext_available,\cite[PDF p.~8]{CDAModellingSlides2025}
measurement_chapter.tex:991,Thomson1871Kelvin,pp.~448--452,checkable_locator,present,local_fulltext_available,\cite[pp.~448--452]{Thomson1871Kelvin}
measurement_chapter.tex:996,WaterContentEDZ2024,pp.~4447--4448,checkable_locator,present,local_fulltext_available,\cite[pp.~4447--4448]{WaterContentEDZ2024}
measurement_chapter.tex:1075,VanGenuchten1980,pp.~892--895,checkable_locator,present,local_fulltext_available,\cite[pp.~892--895]{VanGenuchten1980}
measurement_chapter.tex:1081,TDMinutes2026Local,PDF p.~6,checkable_locator,present,local_fulltext_available,\cite[PDF p.~6]{TDMinutes2026Local}
measurement_chapter.tex:1108,Ziefle2024Characterization,"PDF pp.~2, 4--5",checkable_locator,present,local_fulltext_available,"\cite[PDF pp.~2, 4--5]{Ziefle2024Characterization}"
measurement_chapter.tex:1126,CDAModellingSlides2025,PDF p.~20,checkable_locator,present,local_fulltext_available,\cite[PDF p.~20]{CDAModellingSlides2025}
measurement_chapter.tex:1134,OpenGeoSysParametersDocs,Sec.~``MeshElement and MeshNode'',checkable_locator,present,official_web_documentation,\cite[Sec.~``MeshElement and MeshNode'']{OpenGeoSysParametersDocs}
measurement_chapter.tex:1753,InputHERMES2024Local,PDF p.~5,checkable_locator,present,local_fulltext_available,\cite[PDF p.~5]{InputHERMES2024Local}
measurement_chapter.tex:1770,TDMinutes2026Local,PDF p.~3,checkable_locator,present,local_fulltext_available,\cite[PDF p.~3]{TDMinutes2026Local}
measurement_chapter.tex:1796,TDMinutes2026Local,PDF p.~3,checkable_locator,present,local_fulltext_available,\cite[PDF p.~3]{TDMinutes2026Local}
measurement_chapter.tex:1800,TDMinutes2026Local,PDF p.~7,checkable_locator,present,local_fulltext_available,\cite[PDF p.~7]{TDMinutes2026Local}
measurement_chapter.tex:1807,LevellingTD2026Local,PDF pp.~5--6,checkable_locator,present,local_fulltext_available,\cite[PDF pp.~5--6]{LevellingTD2026Local}
measurement_chapter.tex:1814,BGRModellingTD2026Local,PDF p.~2,checkable_locator,present,local_fulltext_available,\cite[PDF p.~2]{BGRModellingTD2026Local}
measurement_chapter.tex:1816,BGRModellingTD2026Local,PDF p.~15,checkable_locator,present,local_fulltext_available,\cite[PDF p.~15]{BGRModellingTD2026Local}
