run_id,run_kind,label_group,row_count,fitted_bias_fraction,raw_weighted_bias_fraction,observed_theta_mean,predicted_theta_mean
adaptive_combined_001_length_0p050m,adaptive_combined,NMR seasonal | 4D,5,0.04485804547793991,0.04485804547793991,0.11717910081535166,0.07372119804263741
adaptive_combined_001_length_0p050m,adaptive_combined,NMR seasonal | 4E,5,0.058383680988900594,0.058383680988900594,0.11164098656910655,0.05325730558020596
adaptive_combined_001_length_0p050m,adaptive_combined,NMR seasonal | 4F,5,0.07840023873767213,0.07840023873767213,0.12895223067350797,0.05056881223644586
adaptive_combined_001_length_0p050m,adaptive_combined,NMR seasonal | 4G,5,0.07265961877332841,0.07265961877332841,0.12556283647090566,0.05290321769757726
adaptive_combined_001_length_0p050m,adaptive_combined,NMR seasonal | 4H,5,0.0673621309535612,0.0673621309535612,0.1223882986985233,0.05521685433782617
adaptive_combined_001_length_0p050m,adaptive_combined,NMR seasonal | 4I,5,0.07094290912986628,0.07094290912986628,0.1249263844989508,0.054262984190335616
adaptive_combined_001_length_0p050m,adaptive_combined,NMR seasonal | 4J,8,0.023768254409366075,0.023768254409366075,0.07729376871719223,0.053525514307826164
adaptive_combined_001_length_0p050m,adaptive_combined,NMR seasonal | 4K,8,0.05891504800025621,0.05891504800025621,0.11401047442260642,0.0558982893048824
adaptive_combined_001_length_0p050m,adaptive_combined,NMR seasonal | 4L,8,0.03155861266655392,0.03155861266655392,0.08759295153312814,0.05493217094841696
adaptive_combined_001_length_0p050m,adaptive_combined,NMR seasonal | 4M,8,0.056795933138178836,0.056795933138178836,0.11239079343580044,0.05512712837418783
adaptive_combined_001_length_0p050m,adaptive_combined,NMR seasonal | 4N,5,0.03887529340207182,0.03887529340207182,0.09653728054241559,0.05546968915045196
adaptive_combined_001_length_0p050m,adaptive_combined,NMR seasonal | 4P,5,0.03971910474044973,0.03971910474044973,0.09803444372219518,0.05555590413649689
adaptive_combined_001_length_0p050m,adaptive_combined,NMR seasonal | 4Q,5,0.07180914244295042,0.07180914244295042,0.11816400130095821,0.05501943176925654
adaptive_combined_001_length_0p050m,adaptive_combined,NMR seasonal | 4R,5,0.02527904461466358,0.02527904461466358,0.08542143230590786,0.06014238769124428
adaptive_combined_001_length_0p050m,adaptive_combined,NMR seasonal | 4S,5,0.062282491081766644,0.062282491081766644,0.11308461433025534,0.05368333188298152
adaptive_combined_001_length_0p050m,adaptive_combined,NMR weekly | 4E,84,0.05003928632811153,0.05003928632811153,0.10652978672888767,0.05649050040077616
adaptive_combined_001_length_0p050m,adaptive_combined,NMR weekly | 4S,21,0.06797954343906538,0.06797954343906538,0.12003813664148744,0.05205859320242205
adaptive_combined_002_length_0p050m_shift_0p750,adaptive_combined,NMR seasonal | 4D,5,0.0441814218730294,0.0441814218730294,0.11717910081535166,0.07440419260709585
adaptive_combined_002_length_0p050m_shift_0p750,adaptive_combined,NMR seasonal | 4E,5,0.0580911040094531,0.0580911040094531,0.11164098656910655,0.05354988255965346
adaptive_combined_002_length_0p050m_shift_0p750,adaptive_combined,NMR seasonal | 4F,5,0.07819552261599842,0.07819552261599842,0.12895223067350797,0.05077335450777044
adaptive_combined_002_length_0p050m_shift_0p750,adaptive_combined,NMR seasonal | 4G,5,0.0726131315617912,0.0726131315617912,0.12556283647090566,0.05294970490911448
adaptive_combined_002_length_0p050m_shift_0p750,adaptive_combined,NMR seasonal | 4H,5,0.06734455902815781,0.06734455902815781,0.1223882986985233,0.05523514571017
adaptive_combined_002_length_0p050m_shift_0p750,adaptive_combined,NMR seasonal | 4I,5,0.07093819640982363,0.07093819640982363,0.1249263844989508,0.054267867240016796
adaptive_combined_002_length_0p050m_shift_0p750,adaptive_combined,NMR seasonal | 4J,8,0.023766625643717457,0.023766625643717457,0.07729376871719223,0.05352714307347478
adaptive_combined_002_length_0p050m_shift_0p750,adaptive_combined,NMR seasonal | 4K,8,0.05891363129125782,0.05891363129125782,0.11401047442260642,0.055899720348537775
adaptive_combined_002_length_0p050m_shift_0p750,adaptive_combined,NMR seasonal | 4L,8,0.03155765767137764,0.03155765767137764,0.08759295153312814,0.05493313475243858
adaptive_combined_002_length_0p050m_shift_0p750,adaptive_combined,NMR seasonal | 4M,8,0.05679506209794654,0.05679506209794654,0.11239079343580044,0.055128002179380776
adaptive_combined_002_length_0p050m_shift_0p750,adaptive_combined,NMR seasonal | 4N,5,0.03887435832346876,0.03887435832346876,0.09653728054241559,0.05547064205852119
adaptive_combined_002_length_0p050m_shift_0p750,adaptive_combined,NMR seasonal | 4P,5,0.039718282507798325,0.039718282507798325,0.09803444372219518,0.055556760741439656
adaptive_combined_002_length_0p050m_shift_0p750,adaptive_combined,NMR seasonal | 4Q,5,0.07180876613514374,0.07180876613514374,0.11816400130095821,0.055019908801211534
adaptive_combined_002_length_0p050m_shift_0p750,adaptive_combined,NMR seasonal | 4R,5,0.0253224744940156,0.0253224744940156,0.08542143230590786,0.06009895781189226
adaptive_combined_002_length_0p050m_shift_0p750,adaptive_combined,NMR seasonal | 4S,5,0.062336716778345104,0.062336716778345104,0.11308461433025534,0.053627098176827225
adaptive_combined_002_length_0p050m_shift_0p750,adaptive_combined,NMR weekly | 4E,84,0.04976678691536247,0.04976678691536247,0.10652978672888767,0.05676299981352522
adaptive_combined_002_length_0p050m_shift_0p750,adaptive_combined,NMR weekly | 4S,21,0.0680348570355357,0.0680348570355357,0.12003813664148744,0.052003279605951705
adaptive_combined_003_length_0p075m,adaptive_combined,NMR seasonal | 4D,5,0.04624084512727262,0.04624084512727262,0.11717910081535166,0.07232510762341592
adaptive_combined_003_length_0p075m,adaptive_combined,NMR seasonal | 4E,5,0.059251586105921045,0.059251586105921045,0.11164098656910655,0.05238940046318552
adaptive_combined_003_length_0p075m,adaptive_combined,NMR seasonal | 4F,5,0.0786761199515805,0.0786761199515805,0.12895223067350797,0.0502958761157374
adaptive_combined_003_length_0p075m,adaptive_combined,NMR seasonal | 4G,5,0.07277410947836688,0.07277410947836688,0.12556283647090566,0.0527887269925388
adaptive_combined_003_length_0p075m,adaptive_combined,NMR seasonal | 4H,5,0.06739725376273725,0.06739725376273725,0.1223882986985233,0.05518037135965792
adaptive_combined_003_length_0p075m,adaptive_combined,NMR seasonal | 4I,5,0.07095193407109823,0.07095193407109823,0.1249263844989508,0.054253641184168
adaptive_combined_003_length_0p075m,adaptive_combined,NMR seasonal | 4J,8,0.02377127154946045,0.02377127154946045,0.07729376871719223,0.05352249716773179
adaptive_combined_003_length_0p075m,adaptive_combined,NMR seasonal | 4K,8,0.05891761257147731,0.05891761257147731,0.11401047442260642,0.05589570073216754
adaptive_combined_003_length_0p075m,adaptive_combined,NMR seasonal | 4L,8,0.03156040969187411,0.03156040969187411,0.08759295153312814,0.05493035906093705
adaptive_combined_003_length_0p075m,adaptive_combined,NMR seasonal | 4M,8,0.05679772545247263,0.05679772545247263,0.11239079343580044,0.05512532840450626
adaptive_combined_003_length_0p075m,adaptive_combined,NMR seasonal | 4N,5,0.038877742356384165,0.038877742356384165,0.09653728054241559,0.05546718904853376
adaptive_combined_003_length_0p075m,adaptive_combined,NMR seasonal | 4P,5,0.0397259354216818,0.0397259354216818,0.09803444372219518,0.05554876071837052
adaptive_combined_003_length_0p075m,adaptive_combined,NMR seasonal | 4Q,5,0.07181874693530668,0.07181874693530668,0.11816400130095821,0.05500871803835292
adaptive_combined_003_length_0p075m,adaptive_combined,NMR seasonal | 4R,5,0.025318662993170475,0.025318662993170475,0.08542143230590786,0.06010276931273738
adaptive_combined_003_length_0p075m,adaptive_combined,NMR seasonal | 4S,5,0.062195076815509516,0.062195076815509516,0.11308461433025534,0.05377443693201196
adaptive_combined_003_length_0p075m,adaptive_combined,NMR weekly | 4E,84,0.050669174128765516,0.050669174128765516,0.10652978672888767,0.05586061260012215
adaptive_combined_003_length_0p075m,adaptive_combined,NMR weekly | 4S,21,0.0678819975481881,0.0678819975481881,0.12003813664148744,0.05215613909329932
broad_continuous_001_001_length_0p023m_shift_1p004,broad_continuous,NMR seasonal | 4D,5,0.042134589792249835,0.042134589792249835,0.11717910081535166,0.07646950279509952
broad_continuous_001_001_length_0p023m_shift_1p004,broad_continuous,NMR seasonal | 4E,5,0.05643714371036789,0.05643714371036789,0.11164098656910655,0.05520384285873866
broad_continuous_001_001_length_0p023m_shift_1p004,broad_continuous,NMR seasonal | 4F,5,0.07547566883799507,0.07547566883799507,0.12895223067350797,0.053494823462890195
broad_continuous_001_001_length_0p023m_shift_1p004,broad_continuous,NMR seasonal | 4G,5,0.07239679095001436,0.07239679095001436,0.12556283647090566,0.05316604552089129
