rank_by_direct_objective,candidate_id,family,shape_id,shape_description,amplitude_log10,shape_nonzero_cells,shape_mean_weight,shape_p95_weight,affected_cells,objective_support_cell_count,objective_support_cells_with_nonzero_shape,objective_support_cells_with_nonzero_applied,mean_abs_applied_log10_multiplier_objective_support,max_abs_applied_log10_multiplier_objective_support,requested_log10_multiplier_min,requested_log10_multiplier_max,applied_log10_multiplier_min,applied_log10_multiplier_max,mean_abs_applied_log10_multiplier_affected,objective_value,weighted_rmse_log10,weighted_mean_abs_log10_residual,max_abs_log10_residual,used_in_objective_rows,effective_objective_weight,direct_objective_delta_vs_active,mesh,evaluation_csv,summary_json,cap_radius_m,decay_length_m,shell_center_radius_m,shell_width_m,bedding_theta_deg,band_normal_offset_m,band_width_m,corridor_width_m,decay_along_borehole_m,execution_priority_score,execution_batch_rank,recommended_next_action
19,struct_central_edz_shell_shell_r0p85_w0p15_a0p5,central_edz_shell,shell_r0p85_w0p15,annular central EDZ shell centred at r = 0.85 m with width 0.15 m,0.5,6573,0.05928079616125961,0.3285201264624613,6573,30,11,11,0.00472623341268806,0.03533556870456891,5.178229345417138e-09,0.5,5.17822930189283e-09,0.5,0.04617192088050639,269.82123832556573,1.6107249870476557,1.2302392827965005,3.4744237387763093,75,52.0,0.00318121958065376,,,,,,0.85,0.15,,,,,,0.0581420791850563,1,do_not_run_for_active_objective_without_new_modelling_decision
7,struct_bedding_parallel_band_bed_o0_w0p25_a0p5,bedding_parallel_band,bed_o0_w0p25,"bedding-parallel band using theta=144 deg, normal offset 0.00 m, width 0.25 m",0.5,7673,0.12525522176696077,0.8299746813951147,7673,30,17,17,0.0006558360493695418,0.006409052498758242,5.014958447177497e-09,0.5,5.014958441850252e-09,0.5,0.08357149847985869,269.81816625843857,1.6107158175148955,1.2297036813049107,3.4744237387763093,75,52.0,0.00010915245348996905,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/structural_edz_field_family_plan/struct_bedding_parallel_band_bed_o0_w0p25_a0p5/bulk_w_projections.vtu,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/structural_edz_field_family_plan/struct_bedding_parallel_band_bed_o0_w0p25_a0p5/permeability_fit_evaluation.csv,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/structural_edz_field_family_plan/struct_bedding_parallel_band_bed_o0_w0p25_a0p5/permeability_fit_summary.json,,,,,144.0,0.0,0.25,,,0.06025700994588927,2,do_not_run_for_active_objective_without_new_modelling_decision
34,struct_central_edz_cap_decay_cap_r1p15_d0p2_a0p5,central_edz_cap_decay,cap_r1p15_d0p2,central EDZ cap with full weight inside r <= 1.15 m and exponential decay length 0.20 m,0.5,9939,0.2659868501191306,0.8157192751034057,9939,30,30,30,0.038211326256577124,0.2604971560959975,5.02115393093601e-09,0.5,5.021153956453031e-09,0.5,0.13700771497986614,270.3123045508416,1.6121900553369393,1.2389462799722006,3.487894086312437,75,52.0,0.4942474448565122,,,,1.15,0.2,,,,,,,,0.5643224834314114,3,do_not_run_for_active_objective_without_new_modelling_decision
