rank_by_direct_objective,candidate_id,family,shape_id,shape_description,amplitude_log10,shape_nonzero_cells,shape_mean_weight,shape_p95_weight,affected_cells,objective_support_cell_count,objective_support_cells_with_nonzero_shape,objective_support_cells_with_nonzero_applied,mean_abs_applied_log10_multiplier_objective_support,max_abs_applied_log10_multiplier_objective_support,requested_log10_multiplier_min,requested_log10_multiplier_max,applied_log10_multiplier_min,applied_log10_multiplier_max,mean_abs_applied_log10_multiplier_affected,objective_value,weighted_rmse_log10,weighted_mean_abs_log10_residual,max_abs_log10_residual,used_in_objective_rows,effective_objective_weight,direct_objective_delta_vs_active,mesh,evaluation_csv,summary_json,cap_radius_m,decay_length_m,shell_center_radius_m,shell_width_m,bedding_theta_deg,band_normal_offset_m,band_width_m,corridor_width_m,decay_along_borehole_m,execution_priority_score
180,struct_open_twin_depth_decay_corridor_open_decay_w0p5_d0p45_a2,open_twin_depth_decay_corridor,open_decay_w0p5_d0p45,open-twin corridor around BCD-A32/A33 with width 0.50 m and decay along borehole distance 0.45 m,2.0,9265,0.164235092811235,0.7388443402260386,9265,30,30,30,0.4658446807586358,1.5176599439938108,2.002559466716766e-08,2.0,2.0025594685525486e-08,2.0,0.3630012121520205,308.76971299754865,1.723061098177703,1.357359318028339,4.083303110003673,75,52.0,38.951655891563576,,,,,,,,,,,0.5,0.45,39.01612089762433
181,struct_central_edz_cap_decay_cap_r1p5_d0p8_a1,central_edz_cap_decay,cap_r1p5_d0p8,central EDZ cap with full weight inside r <= 1.50 m and exponential decay length 0.80 m,1.0,10239,0.7161208496677735,1.0,10239,30,30,30,0.5537038250974443,1.0,0.0013749874421729008,1.0,0.0013749874421728765,1.0,0.7161208496677735,309.5068103571696,1.7251165243730908,1.3565945827841692,4.255783251489838,75,52.0,39.68875325118455,,,,1.5,0.8,,,,,,,,39.76472385543289
182,struct_central_edz_cap_decay_cap_r1p5_d0p8_am1,central_edz_cap_decay,cap_r1p5_d0p8,central EDZ cap with full weight inside r <= 1.50 m and exponential decay length 0.80 m,-1.0,10239,0.7161208496677735,1.0,10239,30,30,30,0.5537038250974443,1.0,-1.0,-0.0013749874421729008,-1.0,-0.00137498744217291,0.7161208496677735,309.5068103571697,1.7251165243730908,1.3565945827841697,4.255783251489838,75,52.0,39.68875325118461,,,,1.5,0.8,,,,,,,,39.76472385543295
183,struct_central_edz_shell_shell_r1p15_w0p3_a2,central_edz_shell,shell_r1p15_w0p3,annular central EDZ shell centred at r = 1.15 m with width 0.30 m,2.0,8734,0.4609594937265872,0.9908044213500888,8734,30,26,26,0.41072069539840056,1.8197061076870904,2.1552262562963628e-08,2.0,2.1552262601529852e-08,2.0,1.0807795411647643,309.8562887504391,1.7260902038512198,1.3457715905855407,3.88587489168674,75,52.0,40.038231644454015,,,,,,1.15,0.3,,,,,,40.104975542159835
184,struct_central_edz_shell_shell_r1p45_w0p5_a1,central_edz_shell,shell_r1p45_w0p5,annular central EDZ shell centred at r = 1.45 m with width 0.50 m,1.0,9770,0.6763907796264227,0.9986910098754374,9770,30,30,30,0.5272443829935721,0.9999919155134444,1.0212055318546018e-08,1.0,1.021205532898451e-08,1.0,0.7088603063044977,310.41207816018965,1.7276375548045528,1.358186791992737,4.355830646703527,75,52.0,40.594021054204575,,,,,,1.45,0.5,,,,,,40.665265355736096
185,struct_central_edz_shell_shell_r1p45_w0p5_am1,central_edz_shell,shell_r1p45_w0p5,annular central EDZ shell centred at r = 1.45 m with width 0.50 m,-1.0,9770,0.6763907796264227,0.9986910098754374,9770,30,30,30,0.5272443829935721,0.9999919155134444,-1.0,-1.0212055318546018e-08,-1.0,-1.0212055328030203e-08,0.7088603063044977,310.4120781601897,1.727637554804553,1.3581867919927366,4.355830646703527,75,52.0,40.59402105420463,,,,,,1.45,0.5,,,,,,40.66526535573615
186,struct_central_edz_cap_decay_cap_r1p15_d0p8_a1p5,central_edz_cap_decay,cap_r1p15_d0p8,central EDZ cap with full weight inside r <= 1.15 m and exponential decay length 0.80 m,1.5,10239,0.5519134482870139,0.9503535043083874,10239,30,30,30,0.5616065723773943,1.2743816358981954,0.0013316379238436835,1.5,0.0013316379238436638,1.5,0.827870172430521,312.1064975205494,1.7323463899060914,1.3662539307624955,4.230427862751984,75,52.0,42.28844041456432,,,,1.15,0.8,,,,,,,,42.36496976542647
187,struct_open_twin_depth_decay_corridor_open_decay_w0p25_d0p45_a2,open_twin_depth_decay_corridor,open_decay_w0p25_d0p45,open-twin corridor around BCD-A32/A33 with width 0.25 m and decay along borehole distance 0.45 m,2.0,5744,0.0732213309069454,0.5341565615550136,5744,30,30,30,0.4950617988454643,1.6156099319351331,2.0141909811209287e-08,2.0,2.0141909834074518e-08,2.0,0.261042203048821,313.8605665234486,1.7372075473948032,1.3701587533901969,4.1218553012311006,75,52.0,44.04250941746352,,,,,,,,,,,0.25,0.45,44.07125462847876
188,struct_open_twin_depth_decay_corridor_open_decay_w0p12_d0p45_a2,open_twin_depth_decay_corridor,open_decay_w0p12_d0p45,open-twin corridor around BCD-A32/A33 with width 0.12 m and decay along borehole distance 0.45 m,2.0,2945,0.031074956642174273,0.22415634074186683,2945,30,30,30,0.49966109030425104,1.6428810039850796,2.000324978125428e-08,2.0,2.0003249772664008e-08,2.0,0.21607910428470112,314.9123861057108,1.7401160054878273,1.372923521910954,4.123199033223173,75,52.0,45.09432899972575,,,,,,,,,,,0.12,0.45,45.09485939524716
189,struct_central_edz_shell_shell_r1p15_w0p5_a1p5,central_edz_shell,shell_r1p15_w0p5,annular central EDZ shell centred at r = 1.15 m with width 0.50 m,1.5,9632,0.5859176809124615,0.9966798012593792,9632,30,28,28,0.5489902293000773,1.4498427847720412,1.522949883870595e-08,1.5,1.5229498821139312e-08,1.5,0.934262531384348,318.0658847083546,1.7488069689086356,1.3766041606227333,4.3171814967525926,75,52.0,48.24782760236951,,,,,,1.15,0.5,,,,,,48.320818915026436
