cell_id,material_id,centroid_x,centroid_y,radial_distance_from_origin_m,within_approx_1p5m_center_support,current_log10_k_geom_m2,ert_ready_support_lookup_count,inside_ert_ready_support_cells,bcdma32_nearest_distance_m,bcdma32_distance_along_m,bcdma33_nearest_distance_m,bcdma33_distance_along_m
0,1,1.0743646454062183,0.72975316332911,1.2987682898375952,True,-19.464854396841147,0,False,2.4141167187308232,0.0,1.9089658326601975,0.0
1,1,1.0651557494179666,0.7156564721583508,1.2832462572165508,True,-19.471209638958214,0,False,2.3994849027430303,0.0,1.8924390601448853,0.0
2,1,-1.0796590682780967,0.7182880872587488,1.2967657768513787,True,-19.146338070471526,0,False,1.095173874134896,0.0,2.267224961043312,0.0
3,1,-1.0962165310596033,0.7175617737308561,1.3101853235661443,True,-19.14880661339783,0,False,1.09470100282713,0.0,2.277171207136186,0.0
4,1,1.1471629723176284,-0.1791184335325,1.1610625729424546,True,-19.48250468295668,0,False,2.2271429462125716,0.0,1.1691430287130247,0.0
5,1,-0.5345608592906154,1.1888026457469534,1.3034596437252968,True,-19.38080516645715,0,False,1.655065808919853,0.0,2.3976296736604854,0.0
6,1,1.1383827911515498,-0.168041985277626,1.1507186832610476,True,-19.486095981520933,0,False,2.2194122837485235,0.0,1.1714077373858025,0.0
7,1,0.09737927441354133,-1.19365842675646,1.1976239655467884,True,-18.953957613435445,0,False,1.4257324613054008,0.0,0.2937815432236264,0.06133481174909353
8,1,0.08812151379549303,-1.1816571576269865,1.1849384116335744,True,-18.948909601190007,0,False,1.411276305960964,0.0,0.29851973320482783,0.04693737628019209
9,1,1.147124440821705,-0.215087105676266,1.1671147954501744,True,-19.459859889319077,0,False,2.2241996307941223,0.0,1.14295059275693,0.0
10,1,1.1549863605250819,-0.20415903278980116,1.17289147139394,True,-19.469658834107204,0,False,2.2328594105029516,0.0,1.1562765562457469,0.0
11,1,-0.16971638512252882,-1.1797681204712167,1.1919129454197759,True,-18.963817158038733,0,False,1.2071942491394692,0.0,0.5425670891897125,0.0
12,1,1.2643034080317668,-0.06541669699454682,1.265994649201337,True,-19.570554000353365,1,True,2.3561616329992887,0.0,1.3321767668496491,0.0
13,1,-0.7038716296209274,-1.0867573959351366,1.2947883644074578,True,-18.935308474690117,1,True,0.7993016957290056,0.0,1.0590162918911652,0.0
14,1,-0.6992284381832522,-1.0709447758258133,1.2790008294105175,True,-18.93399557801082,1,True,0.787473753505312,0.0,1.0537665223043056,0.0
15,1,-0.7841294752912776,-0.9687516195587073,1.2463301065200152,True,-18.93218515871465,0,False,0.6578333550408828,0.0,1.1402652217030302,0.0
16,1,-0.7988466707545626,-0.9782373196571199,1.2629743690770587,True,-18.936008469590437,1,True,0.6601750865678665,0.0,1.1544248987366736,0.0
17,1,-0.493761441363048,1.2075360260620382,1.3045856105348603,True,-19.380200565226133,0,False,1.6863292372234222,0.0,2.4003271303376477,0.0
18,1,-0.5072699583986652,1.1977702673018715,1.300759940929217,True,-19.3783113187684,0,False,1.6725544410850877,0.0,2.396015949915674,0.0
19,1,-1.0056823452368895,0.8258948462977241,1.3013451796745978,True,-19.219273571221187,1,True,1.2045301783488167,0.0,2.3072143520534887,0.0
20,1,-1.02463019916963,0.8185198984742906,1.311427416690973,True,-19.21631557500159,0,False,1.1962791042539993,0.0,2.31250622148164,0.0
21,1,0.266571081719505,-1.1829869210039785,1.2126492472580768,True,-18.93571284627701,0,False,1.561871518552273,0.0,0.13067566503421132,0.10755408472631944
22,1,0.25545282422297316,-1.1714909554443234,1.1990192676063829,True,-18.93034390651649,0,False,1.546420644426522,0.0,0.13733648528551334,0.09301426535028123
23,1,-0.5066835797143523,1.1803844067533398,1.2845371141615896,True,-19.367488089289083,0,False,1.6563966748812151,0.0,2.3795882654997245,0.0
24,1,-0.493595707960994,1.1711181065287801,1.270887226451297,True,-19.357741274573268,1,True,1.6522178068258508,0.0,2.3662319627415003,0.0
25,1,-1.18232230775111,-0.4470321660619308,1.264010995561325,True,-18.94160414136155,1,True,0.036306449920380075,0.1263269861303315,1.6461203639386652,0.0
26,1,-1.1955802616710884,-0.45670601335152167,1.2798408278879638,True,-18.952078905835478,1,True,0.041887586535074066,0.14176096091373444,1.6550781564996435,0.0
27,1,-1.156031563681875,-0.4767528201769851,1.2504807986432538,True,-18.937247304846927,1,True,0.07219259141912467,0.10939461024645761,1.6110152623802079,0.0
28,1,1.22452642046339,-0.26836910796129965,1.2535896188628983,True,-19.449653681241834,0,False,2.298272974306355,0.0,1.161997696710376,0.0
29,1,-1.1668179207731033,-0.4896318652367417,1.2653866696359966,True,-18.947484337207804,0,False,0.08154214624711006,0.12335172762323804,1.6167156530735947,0.0
