Position,Vol.Wat.Content[%],WC-95%Conf.Int.
3A,15.1376257961633,1.16732181404283
3AB1,15.5204349516743,1.20304333830452
3AB2,14.6790154139265,1.40391044654492
3B,14.2413196131957,1.27180990115005
3C,19.1100927265753,1.76037664880768
3D,15.6442132582135,1.3327333510366
3E,15.3691764780719,1.17525547044355
3F,15.4144246020702,1.55399421277786
3G,17.0602441909094,1.5034413565206
3H,15.7313084941794,1.17152699530055
3I,11.6546337195479,1.83106713556145
3J,13.7707904749348,1.39446021506172
3K,12.8833399388358,1.82540387059407
3L,16.0541178372948,2.04657382630374
3M,15.1565159474997,1.32766023360259
3N,16.3841110445973,0.746235553559506
