Position,Vol.Wat.Content[%],WC-95%Conf.Int.
3A,12.402986884933,1.92205021595101
3AB1,16.0961078820678,1.85313394425348
3AB2,15.0449239390441,1.0219056921501
3B,17.4003674364944,1.72227574267526
3C,14.5887600904971,2.58037013972093
3D,16.115663312234,2.01567564235329
3E,14.4927484395568,2.44187504523284
3F,14.7225739402791,1.87527283077247
3G,16.1096175073343,3.16612714488708
3H,15.507960632486,4.91909328807168
3I,8.221245506069,5.0544704353687
3J,14.4760132782125,4.28407851793209
3K,13.1190794537652,2.20915784477963
3L,18.1591897892456,3.07167385478832
3M,13.7532994110843,1.98963157431821
3N,13.85091063931,1.62628882652241
