Position,Vol.Wat.Content[%],WC-95%Conf.Int.
3A,16.1965345099148,0.916073809051169
3AB1,15.7957190480435,2.23992121939721
3AB2,13.6410285485681,1.74151663054381
3B,13.5948717189404,0.708706114405611
3C,16.4793794545348,1.86299195488469
3D,16.2312989499646,2.0387195451947
3E,17.2241548440917,2.15273901839288
3F,13.7850806851706,1.03621934798737
3G,17.6042215499183,1.66841080807096
3H,17.8481262558797,1.97944982296341
3I,14.8860470634352,1.79673875428058
3J,13.082073343247,1.58499989032104
3K,17.8328081639075,1.84780592168758
3L,15.1551763189062,1.54947187891972
3M,15.2325255622314,2.29334381875057
3N,16.5616308666916,0.68003128682463
