--- Sheet: A3 ---
Datum	MV EDZ 0-50	MV EDZ 0-10	MV EDZ 10-20	MV EDZ 20-30	MV EDZ 30-40	MV EDZ 40-50
2019-12-01T00:00:00	10.258827128946395	10.193064805758329	10.21376954722269	10.24863489505585	10.286405040345107	10.355389925799653
2019-12-10T00:00:00	10.240352406054956	10.168243408315147	10.199296636174136	10.235680167695314	10.251042103872999	10.350285983294487
2019-12-20T00:00:00	10.225405543632814	10.156096208976306	10.176401484882813	10.232725112065147	10.245091308521761	10.320521919658123
2019-12-31T00:00:00	10.220609796026846	10.140554576874031	10.180134450259878	10.230855827390561	10.227048880076511	10.326586757917422
2020-01-10T00:00:00	10.228326684597347	10.140085673077547	10.183490808343556	10.229381309182918	10.245289387953578	10.34467467566019
2020-01-20T00:00:00	10.23209024696218	10.153969144862153	10.197700532452544	10.236025207620415	10.249006958007813	10.333029731509876
2020-01-31T00:00:00	10.228273727282248	10.137977101731986	10.179416001202544	10.238985122134878	10.253974294009879	10.338197708007813
2020-02-10T03:00:00	10.22462306732875	10.127470958588908	10.180134450259878	10.223004300531056	10.236888066543454	10.360819050531056
2020-02-20T00:00:00	10.216446712576367	10.117488925595623	10.169862667008331	10.237011362320828	10.234177470662772	10.327873841788804
2020-02-29T00:00:00	10.22247812538346	10.125749140177234	10.188055338754197	10.23641961148405	10.23782530391174	10.33488881065244
2020-03-10T00:00:00	10.221717914457855	10.126772724665871	10.17176946607858	10.227171571515044	10.249006958007813	10.346491610900376
2020-03-20T00:00:00	10.231082402049768	10.129800369100273	10.180613567382814	10.232331433408122	10.25521801656928	10.362387573645726
2020-03-30T09:00:00	10.21176716562027	10.107102441543454	10.168671899640046	10.20836608642982	10.231962429921552	10.349349786326513
2020-04-10T09:00:00	10.214184417620704	10.12421486031928	10.150193740936533	10.213720800918452	10.23836811445151	10.354034687282091
2020-04-20T12:00:00	10.200978567166551	10.076536191930849	10.138913942382814	10.218601414296554	10.236394958976305	10.341563374265561
2020-04-30T00:00:00	10.201762131045228	10.097234749459258	10.143370537876098	10.205694213560498	10.223371649640045	10.349609801757815
2020-05-10T00:00:00	10.196544346118754	10.095405064025377	10.149015513599238	10.19407791913901	10.218479251654507	10.32993474726401
2020-05-20T00:00:00	10.203068773697693	10.104802643635397	10.154914204521244	10.200119385112668	10.221657935474237	10.3374217410011
2020-05-31T00:00:00	10.199203659997433	10.099753724601307	10.148779958782608	10.197700532452544	10.216281615871967	10.340009355283122
2020-06-10T00:00:00	10.212397466333936	10.120037150737666	10.160120674691697	10.205451497328578	10.240837278320313	10.34415582325833
2020-06-20T00:00:00	10.204010100416983	10.11725745006618	10.15349679633426	10.198667710913288	10.220190216078578	10.333804157452544
2020-06-30T21:00:00	10.20244147557918	10.115869231445313	10.148308939800167	10.193354212333743	10.226558189864734	10.330192496424655
2020-07-10T00:00:00	10.208408980499161	10.127470958588908	10.156332700518142	10.198667710913288	10.22803062310337	10.337939022121967
2020-07-20T00:00:00	10.21192472182161	10.13938254400988	10.163678925918454	10.205208811313597	10.22288186593653	10.336646045946864
2020-07-31T21:00:00	10.208042028320314	10.13330015054397	10.158462484157091	10.199877363870415	10.215549614516078	10.330965925208227
2020-08-10T00:00:00	10.221348472767762	10.141023601538286	10.169148115936533	10.217624324678784	10.240343203811015	10.34363709172424
2020-08-20T00:00:00	10.21713117389233	10.13821126656928	10.172962197548102	10.208852274317215	10.228521675918453	10.340527240742835
2020-08-31T00:00:00	10.215972993907464	10.14525026256618	10.167719829650377	10.210311563186016	10.226067620520727	10.329677028320312
2020-09-10T00:00:00	10.230234084143193	10.16083178103209	10.183490808343556	10.224474104895727	10.238368114451513	10.34467467566019
--- Sheet: A4 ---
Datum	MV EDZ 0-50	MV EDZ 0-10	MV EDZ 10-20	MV EDZ 20-30	MV EDZ 30-40	MV EDZ 40-50
2019-12-01T00:00:00	10.219847562987436	10.193154034812604	10.2746182695812	10.194221888804341	10.330660818042357	10.406990478925
2019-12-10T00:00:00	10.246748076665895	10.203794553448969	10.234818648093597	10.295186879630787	10.348262382711777	10.375214227272107
2019-12-20T00:00:00	10.256177857300003	10.210352925551241	10.258356378542977	10.297978609914878	10.357376477623967	10.386550693300002
2019-12-31T00:00:00	10.247627519329788	10.201371116878722	10.247172933217563	10.29265211578781	10.348782190976241	10.362102544420868
2020-01-10T00:00:00	10.24419984445921	10.203552073815704	10.238517001683473	10.28784438925372	10.352163890847109	10.34984644206033
2020-01-20T00:00:00	10.243058572134158	10.196533308820868	10.248164539457232	10.284561177275414	10.355029317835744	10.353750712024173
2020-01-31T00:00:00	10.254941577411865	10.220598622059505	10.245934105299174	10.292398805596694	10.352684605619835	10.35244853327934
2020-02-10T03:00:00	10.251501586952056	10.22084321687872	10.244201015324998	10.284561177275414	10.340479762877067	10.357922760453926
2020-02-20T00:00:00	10.25220675424654	10.214981281093596	10.242222154085331	10.29265211578781	10.338408990563018	10.343354433925
2020-02-29T00:00:00	10.252471254758378	10.208893605861157	10.252881271497522	10.292398805596697	10.354768673388431	10.3576617808
2020-03-10T00:00:00	10.241917942791677	10.204037063299175	10.235064993480991	10.279268314604959	10.314478176280993	10.338950655841323
2020-03-20T00:00:00	10.23932321626306	10.214737411480993	10.229357561960331	10.267020173001654	10.319807755123968	10.320601475824795
2020-03-30T09:00:00	10.238342297128824	10.203455090423141	10.235656345695867	10.273436454390083	10.316526467190084	10.318549342932233
2020-04-10T09:00:00	10.242093382378046	10.208407407700001	10.226706202014052	10.28380423817934	10.31499006770661	10.330169297762811
2020-04-20T12:00:00	10.242289892782209	10.204366925187603	10.240610812500002	10.27808051485372	10.315522563005786	10.3209094625562
2020-04-30T00:00:00	10.241461871089804	10.212884989914876	10.235754921319835	10.273536865914878	10.308038700268597	10.313734442886778
2020-05-10T00:00:00	10.240690291805723	10.209185382774383	10.234375302542976	10.276953734410744	10.300499378450414	10.311075469299999
2020-05-20T00:00:00	10.235437376717275	10.190984771832232	10.234572332923142	10.278764927435539	10.307834586714876	10.308623932969422
2020-05-31T00:00:00	10.24455113453205	10.203552073815704	10.23555777490661	10.290879579005786	10.314990067706614	10.312711373961157
2020-06-10T00:00:00	10.246792039763093	10.207605444981251	10.24195021190067	10.28883034864654	10.31522045828125	10.315602789973813
2020-06-20T00:00:00	10.244335962138393	10.206743094911324	10.236629991841077	10.287579017174238	10.32416051676556	10.335937815417317
2020-06-30T21:00:00	10.246132693176694	10.196291735695869	10.243953551910742	10.297470750638016	10.31857669198347	10.341021934188431
2020-07-10T00:00:00	10.256442871436967	10.208164353944834	10.248164539457232	10.308926819258886	10.328084137257232	10.343354433925
2020-07-20T00:00:00	10.259714194552863	10.219131687700001	10.254373032096694	10.303063850410746	10.325253278450415	10.345689381233885
2020-07-31T21:00:00	10.252735789511888	10.204764774151446	10.245686430366323	10.305356151944835	10.32037222506715	10.34179916214814
2020-08-10T00:00:00	10.256266191541027	10.205735478325	10.253627015820868	10.304337049093597	10.339961888496902	10.343873099586155
2020-08-20T00:00:00	10.256442871436967	10.214981281093596	10.246181810448968	10.304846540085332	10.331176516802689	10.336105805784506
2020-08-31T00:00:00	10.247979402925	10.208164353944834	10.24321134296963	10.288602778763018	10.32191243188533	10.31860062268533
2020-09-10T00:00:00	10.255647931751092	10.2166892144562	10.247916592571901	10.300519719315703	10.314478176280993	10.32759319311405
--- Sheet: A7 ---
Datum	MV EDZ 0-50	MV EDZ 0-10	MV EDZ 10-20	MV EDZ 20-30	MV EDZ 30-40	MV EDZ 40-50
2019-12-01T00:00:00	10.30936920409209	10.193832632479339	10.341360426714877	10.40337795603306	10.43946490357438	10.486508598099174
2019-12-10T00:00:00	10.335893270237381	10.21884168952996	10.353570098125001	10.44825561329029	10.439194648125	10.501705698951447
2019-12-20T00:00:00	10.267565303610823	10.154201427210745	10.293696072479339	10.365881440433885	10.382318911735537	10.426096653161157
2019-12-31T00:00:00	10.285405688626433	10.157038413161159	10.323299548099172	10.385874213987606	10.392895250578512	10.45747748126033
2020-01-10T00:00:00	10.316719833192636	10.206661333125	10.343693281802686	10.407907813703513	10.419279596885332	10.504478628703513
2020-01-20T00:00:00	10.286839493829344	10.168429869359503	10.289644743553719	10.409241786714874	10.410985983223142	10.50808795481405
2020-01-31T00:00:00	10.319721690447452	10.204962111508266	10.337736405950412	10.431765484235537	10.458457874132232	10.555190972169424
2020-02-10T03:00:00	10.3265595020532	10.194073897794421	10.340583352257232	10.452056096967974	10.478971790067149	10.568521273125002
2020-02-20T00:00:00	10.351814575788241	10.208362035371898	10.390599607706612	10.47690360231405	10.501871989524794	10.596818370000001
2020-02-29T00:00:00	10.36273951630593	10.210794178450413	10.406005986528925	10.485149931342976	10.516882686942148	10.612377976301653
