source_file,source_sheet,sensor,date_iso,rh_percent,valid_rh_0_100,low_outlier_rh_lt_50,above_95_percent_open_twin_caution,liquid_pressure_gauge_pa_kelvin,liquid_pressure_abs_pa_if_gas_101325pa,assumed_temperature_K,assumed_liquid_density_kg_m3,kelvin_coefficient_pa
cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH5.xlsx,OT_RH5,RH5,2022-01-11T00:00:00,95.9927206227757,True,False,True,-6162292.456396863,-6060967.456396863,298.15,1095.0,150675312.70202932
cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH5.xlsx,OT_RH5,RH5,2022-01-12T00:00:00,95.9883782001388,True,False,True,-6169108.709588695,-6067783.709588695,298.15,1095.0,150675312.70202932
cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH5.xlsx,OT_RH5,RH5,2022-01-13T00:00:00,95.9842785763891,True,False,True,-6175544.127016495,-6074219.127016495,298.15,1095.0,150675312.70202932
cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH5.xlsx,OT_RH5,RH5,2022-01-14T00:00:00,95.9888554485776,True,False,True,-6168359.562865568,-6067034.562865568,298.15,1095.0,150675312.70202932
cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH5.xlsx,OT_RH5,RH5,2022-01-15T00:00:00,95.9899083457403,True,False,True,-6166706.8216341855,-6065381.8216341855,298.15,1095.0,150675312.70202932
cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH5.xlsx,OT_RH5,RH5,2022-01-16T00:00:00,95.98534781098,True,False,True,-6173865.660903191,-6072540.660903191,298.15,1095.0,150675312.70202932
cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH5.xlsx,OT_RH5,RH5,2022-01-17T00:00:00,95.9769734885338,True,False,True,-6187012.028851941,-6085687.028851941,298.15,1095.0,150675312.70202932
cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH5.xlsx,OT_RH5,RH5,2022-01-18T00:00:00,95.9521854236113,True,False,True,-6225932.112443324,-6124607.112443324,298.15,1095.0,150675312.70202932
cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH5.xlsx,OT_RH5,RH5,2022-01-19T00:00:00,95.9456927986111,True,False,True,-6236127.934425289,-6134802.934425289,298.15,1095.0,150675312.70202932
cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH5.xlsx,OT_RH5,RH5,2022-01-20T00:00:00,95.9317196805555,True,False,True,-6258073.236990801,-6156748.236990801,298.15,1095.0,150675312.70202932
cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH5.xlsx,OT_RH5,RH5,2022-01-21T00:00:00,95.9128018194444,True,False,True,-6287789.536685184,-6186464.536685184,298.15,1095.0,150675312.70202932
cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH5.xlsx,OT_RH5,RH5,2022-01-22T00:00:00,95.9161777013887,True,False,True,-6282486.24967477,-6181161.24967477,298.15,1095.0,150675312.70202932
cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH5.xlsx,OT_RH5,RH5,2022-01-23T00:00:00,95.9037627500001,True,False,True,-6301990.235348717,-6200665.235348717,298.15,1095.0,150675312.70202932
cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH5.xlsx,OT_RH5,RH5,2022-01-24T00:00:00,95.8858101944443,True,False,True,-6330198.306189511,-6228873.306189511,298.15,1095.0,150675312.70202932
cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH5.xlsx,OT_RH5,RH5,2022-01-25T00:00:00,95.8842127013889,True,False,True,-6332708.633528806,-6231383.633528806,298.15,1095.0,150675312.70202932
cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH5.xlsx,OT_RH5,RH5,2022-01-26T00:00:00,95.8807016597223,True,False,True,-6338226.0901798,-6236901.0901798,298.15,1095.0,150675312.70202932
cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH5.xlsx,OT_RH5,RH5,2022-01-27T00:00:00,95.8558708402779,True,False,True,-6377252.463255796,-6275927.463255796,298.15,1095.0,150675312.70202932
cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH5.xlsx,OT_RH5,RH5,2022-01-28T00:00:00,95.8458587458745,True,False,True,-6392991.240987896,-6291666.240987896,298.15,1095.0,150675312.70202932
cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH5.xlsx,OT_RH5,RH5,2022-01-31T00:00:00,95.7964217866667,True,False,True,-6470729.091238938,-6369404.091238938,298.15,1095.0,150675312.70202932
cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH5.xlsx,OT_RH5,RH5,2022-03-03T00:00:00,95.2788866666667,True,False,True,-7286951.3165360615,-7185626.3165360615,298.15,1095.0,150675312.70202932
cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH5.xlsx,OT_RH5,RH5,2022-03-04T00:00:00,95.2407,True,False,True,-7347352.329563347,-7246027.329563347,298.15,1095.0,150675312.70202932
cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH5.xlsx,OT_RH5,RH5,2022-03-05T00:00:00,95.23385875,True,False,True,-7358175.900860541,-7256850.900860541,298.15,1095.0,150675312.70202932
cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH5.xlsx,OT_RH5,RH5,2022-03-06T00:00:00,95.2306607142857,True,False,True,-7363235.793723355,-7261910.793723355,298.15,1095.0,150675312.70202932
cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH5.xlsx,OT_RH5,RH5,2022-03-07T00:00:00,95.20321,True,False,True,-7406674.967353846,-7305349.967353846,298.15,1095.0,150675312.70202932
cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH5.xlsx,OT_RH5,RH5,2022-03-16T00:00:00,95.0422375,True,False,True,-7661657.022177308,-7560332.022177308,298.15,1095.0,150675312.70202932
cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH5.xlsx,OT_RH5,RH5,2022-03-17T00:00:00,95.0232275,True,False,True,-7691797.560375727,-7590472.560375727,298.15,1095.0,150675312.70202932
cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH5.xlsx,OT_RH5,RH5,2022-03-19T00:00:00,94.98873,True,False,False,-7746509.081960369,-7645184.081960369,298.15,1095.0,150675312.70202932
cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH5.xlsx,OT_RH5,RH5,2022-03-20T00:00:00,94.97115,True,False,False,-7774397.834099662,-7673072.834099662,298.15,1095.0,150675312.70202932
cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH5.xlsx,OT_RH5,RH5,2022-03-21T00:00:00,94.96535,True,False,False,-7783600.033928991,-7682275.033928991,298.15,1095.0,150675312.70202932
cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH5.xlsx,OT_RH5,RH5,2022-03-22T00:00:00,94.96378,True,False,False,-7786091.0708852345,-7684766.0708852345,298.15,1095.0,150675312.70202932
cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH5.xlsx,OT_RH5,RH5,2022-03-23T00:00:00,94.95593,True,False,False,-7798546.873449215,-7697221.873449215,298.15,1095.0,150675312.70202932
