source_file,source_sheet,source_row_1based,group,label,original_x,original_y,original_z,bgr_model_x,bgr_model_y,bgr_model_z,model_xy_x_from_bgr,model_xy_y_from_bgr_z,bgr_to_model_transform_note,lookup_x,lookup_y,lookup_status,inside_mesh_bbox,distance_to_mesh_bbox_m,containing_cell_id,nearest_cell_id,lookup_cell_id,lookup_material_id,nearest_centroid_x,nearest_centroid_y,nearest_centroid_distance_m
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,13,NMR,NMR_4H,2579354.169,1247474.241,513.778,-5.642890090767658,5.940128416399899,1.8380129999999892,-1.012890090767658,0.5580129999999892,model x = BGR X + 4.63; model y = BGR Z + -1.28; BGR Y is ignored for this 2D lookup,-1.012890090767658,0.5580129999999892,inside_cell,True,0.0,477,477,477,1,-1.004637680632892,0.5603068124299381,0.00856526990212066
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,14,NMR,NMR_4I,2579354.271,1247474.453,514.05,-5.448567067109508,6.072742753658256,2.110012999999924,-0.818567067109508,0.830012999999924,model x = BGR X + 4.63; model y = BGR Z + -1.28; BGR Y is ignored for this 2D lookup,-0.818567067109508,0.830012999999924,inside_mesh_bbox_nearest_cell,True,0.0,-1,2919,2919,1,-0.8171711281001196,0.8434969533449715,0.013556018719718281
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,15,NMR,NMR_4J,2579354.621,1247474.584,514.296,-5.079952808463071,6.011224236435661,2.3560130000000186,-0.4499528084630713,1.0760130000000185,model x = BGR X + 4.63; model y = BGR Z + -1.28; BGR Y is ignored for this 2D lookup,-0.4499528084630713,1.0760130000000185,inside_mesh_bbox_nearest_cell,True,0.0,-1,3154,3154,1,-0.471765264057622,1.0909886276757035,0.026458507957649213
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,16,NMR,NMR_4K,2579354.8,1247474.834,514.328,-4.799945341345843,6.1382550133468,2.388012999999944,-0.16994534134584338,1.108012999999944,model x = BGR X + 4.63; model y = BGR Z + -1.28; BGR Y is ignored for this 2D lookup,-0.16994534134584338,1.108012999999944,inside_mesh_bbox_nearest_cell,True,0.0,-1,2950,2950,1,-0.17587616688718233,1.1924690683062733,0.08466405474205194
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,17,NMR,NMR_4L,2579355.086,1247474.995,514.299,-4.471761765525789,6.134713731277728,2.359012999999948,0.1582382344742106,1.079012999999948,model x = BGR X + 4.63; model y = BGR Z + -1.28; BGR Y is ignored for this 2D lookup,0.1582382344742106,1.079012999999948,inside_mesh_bbox_nearest_cell,True,0.0,-1,3036,3036,1,0.149878311187668,1.2007350232746967,0.12200876717455733
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,18,NMR,NMR_4M,2579355.295,1247475.236,514.241,-4.170271548222123,6.238952153489542,2.301012999999955,0.4597284517778766,1.0210129999999549,model x = BGR X + 4.63; model y = BGR Z + -1.28; BGR Y is ignored for this 2D lookup,0.4597284517778766,1.0210129999999549,inside_mesh_bbox_nearest_cell,True,0.0,-1,422,422,1,0.49175017505998264,1.0800130437567466,0.06712969480981652
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,19,NMR,NMR_S,2579355.463,1247475.311,512.28,-3.9872776195275534,6.219920021513552,0.3400129999999421,0.6427223804724465,-0.9399870000000579,model x = BGR X + 4.63; model y = BGR Z + -1.28; BGR Y is ignored for this 2D lookup,0.6427223804724465,-0.9399870000000579,inside_mesh_bbox_nearest_cell,True,0.0,-1,2613,2613,1,0.6748597929336263,-0.966685616773831,0.04178073021540911
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,20,NMR,NMR_4T,2579354.324,1247474.379,512.259,-5.439659818933414,5.98215765052598,0.319012999999984,-0.8096598189334143,-0.960987000000016,model x = BGR X + 4.63; model y = BGR Z + -1.28; BGR Y is ignored for this 2D lookup,-0.8096598189334143,-0.960987000000016,inside_cell,True,0.0,1551,1551,1551,1,-0.8173072748168283,-0.9559327399624477,0.009166740206645091
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,21,NMR,NMR_4F,2579354.026,1247474.237,512.938,-5.768737657981749,6.008153337230222,0.9980129999999576,-1.138737657981749,-0.2819870000000424,model x = BGR X + 4.63; model y = BGR Z + -1.28; BGR Y is ignored for this 2D lookup,-1.138737657981749,-0.2819870000000424,inside_mesh_bbox_nearest_cell,True,0.0,-1,2729,2729,1,-1.1605386426434101,-0.28032626794061866,0.021864147895383025
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,23,Charac. Bohrungen,BCD-A32 Anfang,2579351.32,1247479.06,512.843134,-5.701184778619608,11.53799977141446,0.9031469999999332,-1.0711847786196085,-0.37685300000006683,model x = BGR X + 4.63; model y = BGR Z + -1.28; BGR Y is ignored for this 2D lookup,-1.0711847786196085,-0.37685300000006683,inside_mesh_bbox_nearest_cell,True,0.0,-1,3254,3254,1,-1.1383478668688964,-0.4384497811741117,0.0911320134430531
