source_file,sample_vtk_member,points,cells,cell_data,point_data,scalars
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2021/11-2021/dcinv.result_1.vtk,3126,5966,5966,3126,Resistivity(log10);Resistivity/Ohmm;_Attribute;_Marker;ratio
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2021/12-2021/dcinv.result_1.vtk,3126,5966,5966,3126,Resistivity(log10);Resistivity/Ohmm;_Attribute;_Marker;ratio
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2022/01-2022/dcinv.result_1.vtk,3126,5966,5966,3126,Resistivity(log10);Resistivity/Ohmm;_Attribute;_Marker;ratio
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2022/02-2022/dcinv.result_1.vtk,3126,5966,5966,3126,Resistivity(log10);Resistivity/Ohmm;_Attribute;_Marker;ratio
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2022/03-2022/dcinv.result_1.vtk,3126,5966,5966,3126,Resistivity(log10);Resistivity/Ohmm;_Attribute;_Marker;ratio
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2022/04-2022/dcinv.result_1.vtk,3126,5966,5966,3126,Resistivity(log10);Resistivity/Ohmm;_Attribute;_Marker;ratio
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2022/05-2022/dcinv.result_1.vtk,3126,5966,5966,3126,Resistivity(log10);Resistivity/Ohmm;_Attribute;_Marker;ratio
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2022/06-2022/dcinv.result_1.vtk,3126,5966,5966,3126,Resistivity(log10);Resistivity/Ohmm;_Attribute;_Marker;ratio
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2022/07-2022/dcinv.result_1.vtk,3126,5966,5966,3126,Resistivity(log10);Resistivity/Ohmm;_Attribute;_Marker;ratio
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2022/08-2022/dcinv.result_1.vtk,3126,5966,5966,3126,Resistivity(log10);Resistivity/Ohmm;_Attribute;_Marker;ratio
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2022/09-2022/dcinv.result_1.vtk,3126,5966,5966,3126,Resistivity(log10);Resistivity/Ohmm;_Attribute;_Marker;ratio
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2022/10-2022/dcinv.result_1.vtk,3126,5966,5966,3126,Resistivity(log10);Resistivity/Ohmm;_Attribute;_Marker;ratio
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2022/11-2022/dcinv.result_1.vtk,3126,5966,5966,3126,Resistivity(log10);Resistivity/Ohmm;_Attribute;_Marker;ratio
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2022/12-2022/dcinv.result_1.vtk,3126,5966,5966,3126,Resistivity(log10);Resistivity/Ohmm;_Attribute;_Marker;ratio
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2023/01-2023/dcinv.result_1.vtk,3126,5966,5966,3126,Resistivity(log10);Resistivity/Ohmm;_Attribute;_Marker;ratio
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2023/02-2023/dcinv.result_1.vtk,3126,5966,5966,3126,Resistivity(log10);Resistivity/Ohmm;_Attribute;_Marker;ratio
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2023/03-2023/dcinv.result_1.vtk,3126,5966,5966,3126,Resistivity(log10);Resistivity/Ohmm;_Attribute;_Marker;ratio
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2023/04-2023/dcinv.result_1.vtk,3126,5966,5966,3126,Resistivity(log10);Resistivity/Ohmm;_Attribute;_Marker;ratio
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2023/05-2023/dcinv.result_1.vtk,3126,5966,5966,3126,Resistivity(log10);Resistivity/Ohmm;_Attribute;_Marker;ratio
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2023/06-2023/dcinv.result_1.vtk,3126,5966,5966,3126,Resistivity(log10);Resistivity/Ohmm;_Attribute;_Marker;ratio
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2023/07-2023/dcinv.result_1.vtk,3126,5966,5966,3126,Resistivity(log10);Resistivity/Ohmm;_Attribute;_Marker;ratio
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2023/08-2023/dcinv.result_1.vtk,3126,5966,5966,3126,Resistivity(log10);Resistivity/Ohmm;_Attribute;_Marker;ratio
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2023/09-2023/dcinv.result_1.vtk,3126,5966,5966,3126,Resistivity(log10);Resistivity/Ohmm;_Attribute;_Marker;ratio
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2023/10-2023/dcinv.result_1.vtk,3126,5966,5966,3126,Resistivity(log10);Resistivity/Ohmm;_Attribute;_Marker;ratio
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2023/11-2023/dcinv.result_1.vtk,3126,5966,5966,3126,Resistivity(log10);Resistivity/Ohmm;_Attribute;_Marker;ratio
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2023/12-2023/dcinv.result_1.vtk,3126,5966,5966,3126,Resistivity(log10);Resistivity/Ohmm;_Attribute;_Marker;ratio
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2024/01-2024/dcinv.result_1.vtk,3126,5966,5966,3126,Resistivity(log10);Resistivity/Ohmm;_Attribute;_Marker;ratio
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2024/02-2024/dcinv.result_1.vtk,3126,5966,5966,3126,Resistivity(log10);Resistivity/Ohmm;_Attribute;_Marker;ratio
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2024/03-2024/dcinv.result_1.vtk,3126,5966,5966,3126,Resistivity(log10);Resistivity/Ohmm;_Attribute;_Marker;ratio
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2024/04-2024/dcinv.result_1.vtk,3126,5966,5966,3126,Resistivity(log10);Resistivity/Ohmm;_Attribute;_Marker;ratio
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2024/05-2024/dcinv.result_1.vtk,3126,5966,5966,3126,Resistivity(log10);Resistivity/Ohmm;_Attribute;_Marker;ratio
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2024/06-2024/dcinv.result_1.vtk,3126,5966,5966,3126,Resistivity(log10);Resistivity/Ohmm;_Attribute;_Marker;ratio
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2024/07-2024/dcinv.result_1.vtk,3126,5966,5966,3126,Resistivity(log10);Resistivity/Ohmm;_Attribute;_Marker;ratio
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2024/08-2024/dcinv.result_1.vtk,3126,5966,5966,3126,Resistivity(log10);Resistivity/Ohmm;_Attribute;_Marker;ratio
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2024/09-2024/dcinv.result_1.vtk,3126,5966,5966,3126,Resistivity(log10);Resistivity/Ohmm;_Attribute;_Marker;ratio
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2024/11-2024/dcinv.result_1.vtk,3126,5966,5966,3126,Resistivity(log10);Resistivity/Ohmm;_Attribute;_Marker;ratio
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2024/12-2024/dcinv.result_1.vtk,3126,5966,5966,3126,Resistivity(log10);Resistivity/Ohmm;_Attribute;_Marker;ratio
