source_file,zone_name,measurement_type,model_role,model_quantity,nodes,elements,zonetype,datapacking,coordinate_values_read,coordinate_complete,x_min,x_max,x_mean,y_min,y_max,y_mean,z_min,z_max,z_mean
cda_knowledge_base/measurements/other_hm_monitoring/source_files/VisualisationCDA.dat,Kluft_7,fracture_or_crack_geometry,structural/deformation support,crack or fracture aperture/geometry context,3348,90,FEQuadrilateral,BLOCK,10044,True,-21.96692848,29.7902565,3.4422103913416997,-7.976696968,16.36181641,5.097958352942832,-4.19468689,6.995742798,1.3307735924198003
cda_knowledge_base/measurements/other_hm_monitoring/source_files/VisualisationCDA.dat,Kluft_8,fracture_or_crack_geometry,structural/deformation support,crack or fracture aperture/geometry context,3348,112,FEQuadrilateral,BLOCK,10044,True,-21.96692848,29.7902565,3.4422103913416997,-7.976696968,16.36181641,5.097958352942832,-4.19468689,6.995742798,1.3307735924198003
cda_knowledge_base/measurements/other_hm_monitoring/source_files/VisualisationCDA.dat,Kluft_9,fracture_or_crack_geometry,structural/deformation support,crack or fracture aperture/geometry context,3348,54,FEQuadrilateral,BLOCK,10044,True,-21.96692848,29.7902565,3.4422103913416997,-7.976696968,16.36181641,5.097958352942832,-4.19468689,6.995742798,1.3307735924198003
cda_knowledge_base/measurements/other_hm_monitoring/source_files/VisualisationCDA.dat,Kluft_10,fracture_or_crack_geometry,structural/deformation support,crack or fracture aperture/geometry context,3348,48,FEQuadrilateral,BLOCK,10044,True,-21.96692848,29.7902565,3.4422103913416997,-7.976696968,16.36181641,5.097958352942832,-4.19468689,6.995742798,1.3307735924198003
cda_knowledge_base/measurements/other_hm_monitoring/source_files/VisualisationCDA.dat,Kluft_11,fracture_or_crack_geometry,structural/deformation support,crack or fracture aperture/geometry context,3348,112,FEQuadrilateral,BLOCK,10044,True,-21.96692848,29.7902565,3.4422103913416997,-7.976696968,16.36181641,5.097958352942832,-4.19468689,6.995742798,1.3307735924198003
cda_knowledge_base/measurements/other_hm_monitoring/source_files/VisualisationCDA.dat,Kluft_12,fracture_or_crack_geometry,structural/deformation support,crack or fracture aperture/geometry context,3348,144,FEQuadrilateral,BLOCK,10044,True,-21.96692848,29.7902565,3.4422103913416997,-7.976696968,16.36181641,5.097958352942832,-4.19468689,6.995742798,1.3307735924198003
cda_knowledge_base/measurements/other_hm_monitoring/source_files/VisualisationCDA.dat,Kluft_13,fracture_or_crack_geometry,structural/deformation support,crack or fracture aperture/geometry context,3348,300,FEQuadrilateral,BLOCK,10044,True,-21.96692848,29.7902565,3.4422103913416997,-7.976696968,16.36181641,5.097958352942832,-4.19468689,6.995742798,1.3307735924198003
cda_knowledge_base/measurements/other_hm_monitoring/source_files/VisualisationCDA.dat,Kluft_14,fracture_or_crack_geometry,structural/deformation support,crack or fracture aperture/geometry context,3348,126,FEQuadrilateral,BLOCK,10044,True,-21.96692848,29.7902565,3.4422103913416997,-7.976696968,16.36181641,5.097958352942832,-4.19468689,6.995742798,1.3307735924198003
cda_knowledge_base/measurements/other_hm_monitoring/source_files/VisualisationCDA.dat,Kluft_15,fracture_or_crack_geometry,structural/deformation support,crack or fracture aperture/geometry context,3348,240,FEQuadrilateral,BLOCK,10044,True,-21.96692848,29.7902565,3.4422103913416997,-7.976696968,16.36181641,5.097958352942832,-4.19468689,6.995742798,1.3307735924198003
cda_knowledge_base/measurements/other_hm_monitoring/source_files/VisualisationCDA.dat,Kluft_16,fracture_or_crack_geometry,structural/deformation support,crack or fracture aperture/geometry context,3348,260,FEQuadrilateral,BLOCK,10044,True,-21.96692848,29.7902565,3.4422103913416997,-7.976696968,16.36181641,5.097958352942832,-4.19468689,6.995742798,1.3307735924198003
cda_knowledge_base/measurements/other_hm_monitoring/source_files/VisualisationCDA.dat,Kluft_17,fracture_or_crack_geometry,structural/deformation support,crack or fracture aperture/geometry context,3348,170,FEQuadrilateral,BLOCK,10044,True,-21.96692848,29.7902565,3.4422103913416997,-7.976696968,16.36181641,5.097958352942832,-4.19468689,6.995742798,1.3307735924198003
cda_knowledge_base/measurements/other_hm_monitoring/source_files/VisualisationCDA.dat,Kluft_18,fracture_or_crack_geometry,structural/deformation support,crack or fracture aperture/geometry context,3348,1481,FEQuadrilateral,BLOCK,10044,True,-21.96692848,29.7902565,3.4422103913416997,-7.976696968,16.36181641,5.097958352942832,-4.19468689,6.995742798,1.3307735924198003
cda_knowledge_base/measurements/other_hm_monitoring/source_files/VisualisationCDA.dat,Kluft_19,fracture_or_crack_geometry,structural/deformation support,crack or fracture aperture/geometry context,3348,9,FEQuadrilateral,BLOCK,10044,True,-21.96692848,29.7902565,3.4422103913416997,-7.976696968,16.36181641,5.097958352942832,-4.19468689,6.995742798,1.3307735924198003
cda_knowledge_base/measurements/other_hm_monitoring/source_files/VisualisationCDA.dat,Kluft_20,fracture_or_crack_geometry,structural/deformation support,crack or fracture aperture/geometry context,3348,2,FEQuadrilateral,BLOCK,10044,True,-21.96692848,29.7902565,3.4422103913416997,-7.976696968,16.36181641,5.097958352942832,-4.19468689,6.995742798,1.3307735924198003
cda_knowledge_base/measurements/other_hm_monitoring/source_files/VisualisationCDA.dat,Kluft_21,fracture_or_crack_geometry,structural/deformation support,crack or fracture aperture/geometry context,3348,1656,FEQuadrilateral,BLOCK,10044,True,-21.96692848,29.7902565,3.4422103913416997,-7.976696968,16.36181641,5.097958352942832,-4.19468689,6.995742798,1.3307735924198003
