segment_label,segment_group,start_label,end_label,segment_length_2d_m,tangent_x,tangent_y,sample_count,inside_cell_samples,fallback_samples,outside_samples
BCD-A3,Taupe,BCD-A3 Anfang,BCD-A3 Ende,4.499999984171918,-0.9848077524568043,-0.17364818081678132,46,39,0,7
BCD-A32,Charac. Bohrungen,BCD-A32 Anfang,BCD-A32 Ende,3.9890156474488183,-0.960117289869176,-0.27959754951406285,41,40,1,0
BCD-A33,Charac. Bohrungen,BCD-A33 Anfang,BCD-A33 Ende,4.0019499251900905,0.33265801125746974,-0.9430475319655023,42,40,2,0
BCD-A34,Charac. Bohrungen,BCD-A34 Anfang,BCD-A34 Ende,3.998689126113928,-0.312679206450377,-0.9498587862696025,41,0,0,41
BCD-A35,Charac. Bohrungen,BCD-A35 Anfang,BCD-A35 Ende,3.9890223393278927,0.9576091780545403,-0.28807058528372487,41,0,0,41
BCD-A4,Taupe,BCD-A4 Anfang,BCD-A4 Ende,4.399999999999978,-1.1348778886341255e-08,-1.0,45,38,1,6
BCD-A7,Taupe,BCD-A7 Anfang,BCD-A7 Ende,4.299999983169249,0.9848077524446469,-0.1736481808857291,44,0,0,44
BCD-A8,Taupe,BCD-A8 Anfang,BCD-A8 Ende,4.0,-1.1261480192814588e-08,-1.0,41,0,0,41
