series_id,sensor,edz_band_cm,row_count,date_min,date_max,baseline_rows,baseline_date_min,baseline_date_max,baseline_taupe_value,robust_scale_taupe_value,min_taupe_value,max_taupe_value,first_taupe_value,final_taupe_value,net_change_taupe_value,net_change_standardized
A3_0-10cm,A3,0-10,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.172468141016594,0.015973039412525022,10.076536191930847,10.193064805758327,10.193064805758327,10.133066620262465,-0.059998185495862444,-3.756215955293753
A3_0-50cm,A3,0-50,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.241528359544722,0.011884710952934663,10.180355204899032,10.258827128946397,10.258827128946397,10.20694158506231,-0.051885543884086616,-4.3657388126275505
A3_10-20cm,A3,10-20,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.19648922275988,0.02028542848489125,10.10227635599335,10.21376954722269,10.21376954722269,10.128169464464424,-0.08560008275826547,-4.2197818410402865
A3_20-30cm,A3,20-30,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.239013391605438,0.019986026326957246,10.143840287746963,10.24863489505585,10.24863489505585,10.175588865871966,-0.07304602918388525,-3.6548550466663015
A3_30-40cm,A3,30-40,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.26084615091329,0.014061655515900886,10.199030527480954,10.286405040345109,10.286405040345109,10.22410655182238,-0.062298488522728235,-4.430380793519031
A3_40-50cm,A3,40-50,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.34206594291742,0.017342096978480947,10.320521919658123,10.457128084040871,10.355389925799653,10.381822134208743,0.026432208409090663,1.524164490712354
A4_0-10cm,A4,0-10,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.202433837937605,0.028686225334976008,10.170141415639051,10.287483828325,10.193154034812604,10.239027085515083,0.045873050702478935,1.5991316447810124
A4_0-50cm,A4,0-50,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.240924498984446,0.009064386976426272,10.219847562987436,10.266094941878563,10.219847562987436,10.228541927841754,0.008694364854317627,0.9591784725132586
A4_10-20cm,A4,10-20,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.255931098739259,0.010412933002684628,10.198450859700005,10.2746182695812,10.2746182695812,10.205476576605992,-0.069141692975208,-6.639982506118317
A4_20-30cm,A4,20-30,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.262462459450001,0.01760379098208259,10.19422188880434,10.318135730457232,10.19422188880434,10.238145215457234,0.043923326652894445,2.4951061221756317
