candidate_id,rows,date_min,date_max,compared_to_active_curve_rows,after_active_curve_rows,source_row_count_total,source_sensors,median_sensor_count,pressure_mpa_p50,pressure_mpa_range,overlap_abs_residual_mpa_mae,overlap_abs_residual_mpa_median,overlap_residual_mpa_rmse,dates_with_preferred_overlap,abs_delta_vs_preferred_mpa_median,abs_delta_vs_preferred_mpa_mae,abs_delta_vs_preferred_mpa_p90
all_valid_median,1064,2021-12-16,2025-09-04,577,487,4228,RH5;RH5+RH6;RH5+RH6+RH7;RH5+RH6+RH7+RH8;RH5+RH7;RH6;RH6+RH7+RH8;RH7,4.0,-7.563626454910164,83.8057271324431,16.425304607487746,12.616844898778028,19.280594167340226,1063,1.3431451446783607,1.3948263417988969,1.557067143598762
rh5_only,1037,2022-01-11,2025-09-04,550,487,1042,RH5,1.0,-8.134768821469873,3.0314422710179043,15.24430547633299,11.425179001013,18.022794173086517,1037,0.7766091520113569,0.7930943406727904,0.9501724894661908
rh5_rh6_below95_median,1062,2021-12-16,2025-09-04,575,487,1719,RH5;RH5+RH6;RH6,2.0,-9.160118746008695,2.0543415381305694,14.720283833110022,12.163787048895347,17.56512528040043,1062,0.0,0.3354573406736398,0.9496962218024196
rh5_rh6_mean,1063,2021-12-16,2025-09-04,576,487,2106,RH5;RH5+RH6;RH6,2.0,-8.862104182461579,2.6101266518804263,15.14571700718204,12.214684230216594,18.094071638583483,1063,0.0,1.0377905403980757e-07,0.0
rh5_rh6_median,1063,2021-12-16,2025-09-04,576,487,2106,RH5;RH5+RH6;RH6,2.0,-8.862104182461579,2.6101266518804263,15.145716829491423,12.214684230216594,18.094071519270447,1063,0.0,0.0,0.0
rh6_only,1059,2021-12-16,2025-09-04,572,487,1064,RH6,1.0,-9.638957096410753,2.6657100814526293,14.351535637076312,11.211911066087866,17.43802547461543,1059,0.7733642823409248,0.7766181554089651,0.9497604775451414
