semantic_activation_gate,rows,mapped_trend_rows,outside_current_mesh_rows,trend_ready_gate_rows,wc_percent_candidate_physical_rows,topp_candidate_physical_rows,linear_eps6_candidate_physical_rows,taupe_value_min,taupe_value_median,taupe_value_max,standardized_anomaly_min,standardized_anomaly_median,standardized_anomaly_max,band_mean_porosity_min,band_mean_porosity_median,band_mean_porosity_max,group_type,group_key,mapping_status,operator_status,sensor,edz_band_cm
excluded_current_mesh_outside_support,2544,0,2544,0,0,0,0,9.87126613789583,10.240328601292855,11.004376182086776,-0.7397164028463651,1.7950920389377036,6.668247847911397,,,,semantic_activation_gate,excluded_current_mesh_outside_support,,,,
trend_diagnostic_ready_pending_ogs_outputs_absolute_calibration_blocked,2544,2544,0,2544,2120,0,2544,10.076536191930847,10.238023495051236,10.457128084040871,-6.553317429259198,-1.6099807897118987,6.634845905095924,0.0756638555435984,0.11436992124570369,0.1703187298601793,semantic_activation_gate,trend_diagnostic_ready_pending_ogs_outputs_absolute_calibration_blocked,,,,
,2544,0,2544,0,0,0,0,9.87126613789583,10.240328601292855,11.004376182086776,-0.7397164028463651,1.7950920389377036,6.668247847911397,,,,mapping_status,band_samples_outside_mesh,band_samples_outside_mesh,,,
,2544,2544,0,2544,2120,0,2544,10.076536191930847,10.238023495051236,10.457128084040871,-6.553317429259198,-1.6099807897118987,6.634845905095924,0.0756638555435984,0.11436992124570369,0.1703187298601793,mapping_status,mapped_band_samples,mapped_band_samples,,,
,2544,0,2544,0,0,0,0,9.87126613789583,10.240328601292855,11.004376182086776,-0.7397164028463651,1.7950920389377036,6.668247847911397,,,,operator_status,band_samples_outside_mesh,,band_samples_outside_mesh,,
,2544,2544,0,2544,2120,0,2544,10.076536191930847,10.238023495051236,10.457128084040871,-6.553317429259198,-1.6099807897118987,6.634845905095924,0.0756638555435984,0.11436992124570369,0.1703187298601793,operator_status,trend_operator_ready_absolute_calibration_pending,,trend_operator_ready_absolute_calibration_pending,,
,1272,1272,0,1272,848,0,1272,10.076536191930847,10.210375968807444,10.457128084040871,-6.005866924144911,-1.90369470819468,6.634845905095924,0.0756638555435984,0.10974334099510115,0.1703187298601793,sensor,A3,,,A3,
,1272,1272,0,1272,1272,0,1272,10.170141415639051,10.259975160002686,10.406990478925,-6.553317429259198,-0.7694690733576965,3.1625728267221827,0.1078447474245111,0.1151885287327197,0.1546897095322866,sensor,A4,,,A4,
,1272,0,1272,0,0,0,0,10.154201427210744,10.673114943166322,11.004376182086776,-0.5673077910428976,2.948432063591729,6.668247847911397,,,,sensor,A7,,,A7,
,1272,0,1272,0,0,0,0,9.87126613789583,10.121241492759413,10.26354379525874,-0.7397164028463651,1.1239816371665388,2.7122021656279327,,,,sensor,A8,,,A8,
