cell_id,material_id,centroid_x,centroid_y,bbox_min_x,bbox_min_y,bbox_max_x,bbox_max_y
0,1,1.0743646454062168,0.72975316332911,1.05650923198213,0.712995312707477,1.08513780768456,0.74750413851187
1,1,1.0651557494179666,0.7156564721583507,1.05382020858721,0.705214064999592,1.08513780768456,0.728760038767983
2,1,-1.0796590682780967,0.7182880872587486,-1.08793642347342,0.698835198693459,-1.0655952257028,0.740482558287914
3,1,-1.0962165310596033,0.7175617737308561,-1.11526761404732,0.698835198693459,-1.08544555565807,0.740482558287914
4,1,1.1471629723176269,-0.1791184335325,1.12551760826113,-0.191678557220293,1.15971380552218,-0.161554737533161
5,1,-0.5345608592906154,1.1888026457469534,-0.542676512069877,1.17066767671978,-0.519184323337035,1.2073285909373
6,1,1.1383827911515498,-0.168041985277626,1.12551760826113,-0.184122005844046,1.15625750316957,-0.158449212455671
7,1,0.09737927441354133,-1.1936584267564598,0.080331824158492,-1.20359069050605,0.108977638810043,-1.17761719845798
8,1,0.08812151379549303,-1.1816571576269868,0.080331824158492,-1.19976739130535,0.102828360272089,-1.16758688311763
9,1,1.1471244408217067,-0.215087105676266,1.13612804641205,-0.224462775879687,1.16482819386594,-0.204889457907158
10,1,1.1549863605250834,-0.20415903278980133,1.14041708218713,-0.215909083241953,1.16482819386594,-0.191678557220293
11,1,-0.16971638512252865,-1.1797681204712167,-0.187178506964435,-1.19272391619939,-0.158241117402692,-1.16508899989191
12,1,1.2643034080317666,-0.06541669699454679,1.24483809373828,-0.0793606937330356,1.28733840489494,-0.0452207578748807
13,1,-0.7038716296209273,-1.0867573959351366,-0.715982239582141,-1.107631837853,-0.68794234222151,-1.0695851892821
14,1,-0.6992284381832524,-1.0709447758258133,-0.715982239582141,-1.08305516067031,-0.68794234222151,-1.06019397752503
15,1,-0.7841294752912776,-0.9687516195587073,-0.797718073060007,-0.984845164641569,-0.768671483766155,-0.957857974084063
16,1,-0.7988466707545626,-0.97823731965712,-0.81282307015601,-0.992008820245728,-0.785998869047671,-0.957857974084063
17,1,-0.493761441363048,1.2075360260620365,-0.510791216135166,1.18913394635295,-0.478658772230184,1.21770894586428
18,1,-0.507269958398665,1.19777026730187,-0.519184323337035,1.18841166958378,-0.491834335723794,1.21576518596888
19,1,-1.005682345236889,0.8258948462977242,-1.02189923189601,0.808451290259976,-0.987593809474957,0.839891856603774
20,1,-1.02463019916963,0.8185198984742906,-1.04443737127318,0.807216548559122,-1.0075539943397,0.839891856603774
21,1,0.266571081719505,-1.18298692100398,0.254401900735952,-1.19815262521242,0.275297140219438,-1.16371514530229
22,1,0.2554528242229733,-1.1714909554443234,0.241942367729843,-1.18709299249723,0.270014204203125,-1.16366472853345
23,1,-0.5066835797143523,1.1803844067533398,-0.519184323337035,1.16360760432329,-0.491834335723794,1.18913394635295
24,1,-0.493595707960994,1.1711181065287801,-0.509032080082228,1.1606127689101,-0.47992070807696,1.18913394635295
25,1,-1.18232230775111,-0.4470321660619307,-1.19660813530999,-0.471946356331259,-1.17099194151601,-0.42841989571192
26,1,-1.1955802616710867,-0.45670601335152167,-1.21076580327594,-0.471946356331259,-1.17936684642733,-0.440730246142613
27,1,-1.1560315636818734,-0.4767528201769853,-1.17936684642733,-0.48980945034962,-1.13865375091804,-0.468502653850077
28,1,1.22452642046339,-0.26836910796129965,1.2113957729461,-0.28404646742719,1.24299003456601,-0.257567462293087
