target_id,lookup_table,sample_source,lookup_label,lookup_cell_id,lookup_status,lookup_x,lookup_y,lookup_material_id,cell_weight,distance_along_segment_m,band_min_m,band_max_m
taupe_01290,borehole_line_mesh_samples.csv,Taupe band line sample,BCD-A4,1640,inside_cell,-0.0206802571730929,-1.3089870000000396,1,0.16666666666666666,0.199999999999999,0.0,0.5
taupe_01290,borehole_line_mesh_samples.csv,Taupe band line sample,BCD-A4,9815,inside_cell,-0.0206802583079708,-1.408987000000039,0,0.16666666666666666,0.2999999999999985,0.0,0.5
taupe_01290,borehole_line_mesh_samples.csv,Taupe band line sample,BCD-A4,9075,inside_cell,-0.0206802594428486,-1.5089870000000385,0,0.16666666666666666,0.399999999999998,0.0,0.5
taupe_01290,borehole_line_mesh_samples.csv,Taupe band line sample,BCD-A4,6365,inside_cell,-0.0206802605777265,-1.608987000000038,0,0.16666666666666666,0.4999999999999975,0.0,0.5
taupe_01291,borehole_line_mesh_samples.csv,Taupe band line sample,BCD-A4,3019,inside_mesh_bbox_nearest_cell,-0.0206802549033371,-1.1089870000000406,1,0.5,0.0,0.0,0.1
taupe_01291,borehole_line_mesh_samples.csv,Taupe band line sample,BCD-A4,2380,inside_cell,-0.020680256038215,-1.20898700000004,1,0.5,0.0999999999999995,0.0,0.1
taupe_01292,borehole_line_mesh_samples.csv,Taupe band line sample,BCD-A4,1640,inside_cell,-0.0206802571730929,-1.3089870000000396,1,1.0,0.199999999999999,0.1,0.2
taupe_01293,borehole_line_mesh_samples.csv,Taupe band line sample,BCD-A4,9815,inside_cell,-0.0206802583079708,-1.408987000000039,0,1.0,0.2999999999999985,0.2,0.3
taupe_01294,borehole_line_mesh_samples.csv,Taupe band line sample,BCD-A4,9075,inside_cell,-0.0206802594428486,-1.5089870000000385,0,1.0,0.399999999999998,0.3,0.4
taupe_01295,borehole_line_mesh_samples.csv,Taupe band line sample,BCD-A4,6365,inside_cell,-0.0206802605777265,-1.608987000000038,0,1.0,0.4999999999999975,0.4,0.5
taupe_01296,borehole_line_mesh_samples.csv,Taupe band line sample,BCD-A4,3019,inside_mesh_bbox_nearest_cell,-0.0206802549033371,-1.1089870000000406,1,0.16666666666666666,0.0,0.0,0.5
taupe_01296,borehole_line_mesh_samples.csv,Taupe band line sample,BCD-A4,2380,inside_cell,-0.020680256038215,-1.20898700000004,1,0.16666666666666666,0.0999999999999995,0.0,0.5
