source_file,source_sheet,source_row_1based,measurement_type,original_3d_x,original_3d_y,original_3d_z,model_xz_x,model_xz_y,model_xz_z,model_xy_x,model_xy_y,model_xy_z
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,26,Suction,8.95,0.0,1.15,13.579999999999998,0.0,-0.13000000000000012,13.579999999999998,-0.13000000000000012,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,27,Suction,7.71,0.0,-0.2,12.34,0.0,-1.48,12.34,-1.48,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,28,Suction,9.15,0.0,1.15,13.780000000000001,0.0,-0.13000000000000012,13.780000000000001,-0.13000000000000012,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,29,Suction,7.71,0.0,-0.4,12.34,0.0,-1.6800000000000002,12.34,-1.6800000000000002,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,30,Taupe,-5.8007414808023565,0.0,1.318985199999986,-1.1707414808023566,0.0,0.03898519999998595,-1.1707414808023566,0.03898519999998595,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,31,Taupe,-10.232375430802357,0.0,0.5376130999999873,-5.602375430802357,0.0,-0.7423869000000127,-5.602375430802357,-0.7423869000000127,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,32,Taupe,-4.650679870802357,0.0,0.17103589999993574,-0.02067987080235678,0.0,-1.1089641000000643,-0.02067987080235678,-1.1089641000000643,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,33,Taupe,-4.650680830802358,0.0,-4.228988500000014,-0.020680830802358052,0.0,-5.508988500000014,-0.020680830802358052,-5.508988500000014,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,34,Taupe,8.800149511197644,0.0,1.135025199999916,13.430149511197644,0.0,-0.14497480000008411,13.430149511197644,-0.14497480000008411,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,35,Taupe,13.034822654197644,0.0,0.3883210999999278,17.664822654197643,0.0,-0.8916789000000722,17.664822654197643,-0.8916789000000722,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,36,Taupe,7.650088500197643,0.0,-0.01298500000001468,12.280088500197643,0.0,-1.2929850000000147,12.280088500197643,-1.2929850000000147,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,37,Taupe,7.650088500197643,0.0,-4.012985000000015,12.280088500197643,0.0,-5.292985000000015,12.280088500197643,-5.292985000000015,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,38,Permeablilty,-4.650540388,0.0,0.206104888,-0.020540387999999687,0.0,-1.073895112,-0.020540387999999687,-1.073895112,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,39,Permeablilty,-4.653474604,0.0,0.056185966,-0.023474604000000454,0.0,-1.223814034,-0.023474604000000454,-1.223814034,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,40,Permeablilty,-4.655430748,0.0,-0.043759982,-0.02543074799999978,0.0,-1.3237599820000001,-0.02543074799999978,-1.3237599820000001,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,41,Permeablilty,-4.657386892,0.0,-0.14370593,-0.027386891999999996,0.0,-1.4237059300000001,-0.027386891999999996,-1.4237059300000001,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,42,Permeablilty,-4.659343035,0.0,-0.243651878,-0.02934303500000013,0.0,-1.523651878,-0.02934303500000013,-1.523651878,0.0
