source_file,source_sheet,source_row_1based,measurement_type,original_3d_x,original_3d_y,original_3d_z,model_xz_x,model_xz_y,model_xz_z,model_xy_x,model_xy_y,model_xy_z,lookup_coordinate_frame,lookup_x,lookup_y,lookup_status,inside_mesh_bbox,distance_to_mesh_bbox_m,containing_cell_id,nearest_cell_id,lookup_cell_id,lookup_material_id,nearest_centroid_x,nearest_centroid_y,nearest_centroid_distance_m
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,3,NMR,-3.822794512001263,0.0,0.4670130000000085,0.8072054879987371,0.0,-0.8129869999999915,0.8072054879987371,-0.8129869999999915,0.0,2D_Model (x/y),0.8072054879987371,-0.8129869999999915,inside_cell,True,0.0,2353,2353,2353,1,0.8124862094476479,-0.8054252360088383,0.009223139036081315
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,4,NMR,-3.586308666797517,0.0,0.986013000000014,1.0436913332024824,0.0,-0.293986999999986,1.0436913332024824,-0.293986999999986,0.0,2D_Model (x/y),1.0436913332024824,-0.293986999999986,inside_mesh_bbox_nearest_cell,True,0.0,-1,484,484,1,1.1043184809504167,-0.2918674632835267,0.06066418613928878
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,5,NMR,-3.528247232362048,0.0,1.204012999999975,1.1017527676379515,0.0,-0.0759870000000251,1.1017527676379515,-0.0759870000000251,0.0,2D_Model (x/y),1.1017527676379515,-0.0759870000000251,inside_mesh_bbox_nearest_cell,True,0.0,-1,3129,3129,1,1.1586417377215066,-0.09677757615877863,0.06056899350476741
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,6,NMR,-3.5859921031225284,0.0,1.721012999999914,1.0440078968774715,0.0,0.4410129999999139,1.0440078968774715,0.4410129999999139,0.0,2D_Model (x/y),1.0440078968774715,0.4410129999999139,inside_mesh_bbox_nearest_cell,True,0.0,-1,2551,2551,1,1.0761411724679832,0.452356642144978,0.034076760663112486
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,7,NMR,-3.573021876976627,0.0,1.690012999999965,1.0569781230233728,0.0,0.4100129999999649,1.0569781230233728,0.4100129999999649,0.0,2D_Model (x/y),1.0569781230233728,0.4100129999999649,inside_mesh_bbox_nearest_cell,True,0.0,-1,656,656,1,1.0829465718064766,0.4313365899415417,0.033601425865537334
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,8,NMR,-3.739969219433103,0.0,2.0050130000000195,0.8900307805668968,0.0,0.7250130000000194,0.8900307805668968,0.7250130000000194,0.0,2D_Model (x/y),0.8900307805668968,0.7250130000000194,inside_mesh_bbox_nearest_cell,True,0.0,-1,3005,3005,1,0.965141986983978,0.7336511080046634,0.07560628439044786
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,9,NMR,-5.4307033744990285,0.0,0.3170129999999176,-0.8007033744990286,0.0,-0.9629870000000824,-0.8007033744990286,-0.9629870000000824,0.0,2D_Model (x/y),-0.8007033744990286,-0.9629870000000824,inside_cell,True,0.0,1453,16,1453,1,-0.7988466707545626,-0.97823731965712,0.015362929357272381
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,10,NMR,-5.656986367818327,0.0,0.6430129999999394,-1.0269863678183269,0.0,-0.6369870000000606,-1.0269863678183269,-0.6369870000000606,0.0,2D_Model (x/y),-1.0269863678183269,-0.6369870000000606,inside_cell,True,0.0,2808,2808,2808,1,-1.0225834757576167,-0.6385419334923609,0.004669397890921499
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,11,NMR,-5.656986367818327,0.0,0.6430129999999394,-1.0269863678183269,0.0,-0.6369870000000606,-1.0269863678183269,-0.6369870000000606,0.0,2D_Model (x/y),-1.0269863678183269,-0.6369870000000606,inside_cell,True,0.0,2808,2808,2808,1,-1.0225834757576167,-0.6385419334923609,0.004669397890921499
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,12,NMR,-5.777165790946315,0.0,1.3800130000000197,-1.1471657909463149,0.0,0.1000130000000194,-1.1471657909463149,0.1000130000000194,0.0,2D_Model (x/y),-1.1471657909463149,0.1000130000000194,inside_mesh_bbox_nearest_cell,True,0.0,-1,1977,1977,1,-1.1773730518691266,0.09077387389912321,0.03158860654677706
