model_time_s,ogs_open_niche_pressure_pa,ogs_open_niche_pressure_mpa,implied_rh_percent_at_assumed_T_rho,below_valid_collected_rh_min,above_valid_collected_rh_max,below_clean_rh5_rh6_collected_rh_min,above_clean_rh5_rh6_collected_rh_max,curve_role,provenance_status
63416923.063063055,-15455017.180211179,-15.455017180211179,90.25134719104318,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
63576663.423423424,-15960241.580074359,-15.960241580074358,89.94923517233207,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
63736403.78378378,-16481151.986616999,-16.481151986617,89.63880215354227,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
63896144.14414415,-17016968.44704202,-17.016968447042018,89.32060372856519,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
64055884.5045045,-17566861.135458842,-17.566861135458844,88.99522043469398,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
64215624.864864856,-18129952.267597377,-18.12995226759738,88.66325564826015,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
64375365.225225225,-18705318.19609252,-18.70531819609252,88.32533340238724,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
64535105.58558558,-19291991.679494064,-19.291991679494064,87.98209614171752,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
64694845.94594595,-19888964.317487355,-19.888964317487357,87.63420242902814,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
64854586.3063063,-20495189.14416314,-20.495189144163138,87.28232461856324,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
65014326.66666666,-21109583.370565977,-21.10958337056598,86.92714651066653,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
65174067.027027026,-21731031.267166235,-21.731031267166234,86.56936100192226,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
65333807.38738738,-22358387.17635903,-22.35838717635903,86.20966774450054,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
65493547.74774775,-22990478.644585174,-22.990478644585174,85.848770827774,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
65653288.1081081,-23626109.663198967,-23.626109663198967,85.4873764945373,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
65813028.46846846,-24264064.00678475,-24.26406400678475,85.12619090332825,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
65972768.82882883,-24903108.657235846,-24.903108657235848,84.76591794744166,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
66132509.18918918,-25541997.30157248,-25.54199730157248,84.40725714025085,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
66292249.54954955,-26179473.891181592,-26.17947389118159,84.05090157542622,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
66451989.909909904,-26814276.249911822,-26.814276249911824,83.69753596958351,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
66611730.27027027,-27445139.718261313,-27.445139718261313,83.34783479381159,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
66771470.63063063,-28070800.820742138,-28.07080082074214,83.00246049944725,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
66931210.99099098,-28690000.94340716,-28.69000094340716,82.66206184238594,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
67090951.35135135,-29301490.008470427,-29.301490008470427,82.3272723091622,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
67250691.7117117,-29904030.132952996,-29.904030132952997,81.99870864701033,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
