source_file,source_sheet,rows,columns,non_empty_cells,numeric_cells,positive_numeric_cells,positive_numeric_min,positive_numeric_max,top_left_content_preview
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2024_OT,18,8,98,88,86,9.999999999999999e-23,15.0,1. MessEinsatz (April 2024) | BCDA_32 | IntervallDKP3=0.1 m | BCDA_33 | Bohrloch Tiefe | Permeabilität | transmissibility [m²m] | Bohrloch Tiefe | Permeabilität | transmissibility [m²m]
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2024_CT,18,8,106,96,96,9.999999999999999e-23,15.0,1. MessEinsatz (April 2024) | BCDA_34 | IntervallDKP3=0.1 m | BCDA_35 | Bohrloch Tiefe | Permeabilität | transmissibility [m²m] | Bohrloch Tiefe | Permeabilität | transmissibility [m²m]
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2021_BCDA27_19,18,13,152,137,137,9.999999999999999e-23,15.0,1. MessEinsatz (März. 2021) | BCDA_26 | IntervallDKP3=0.1 m | BCDA_27 Closed twin | BFM-D19 Open twin | Bohrloch Tiefe | Permeabilität | transmissibility [m²m] | Bohrloch Tiefe | Permeabilität | transmissibility [m²m] | Bohrloch Tiefe
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,Messdaten_BCDA26,1871,42,6714,6671,6655,0.15,200000.0,0.15 | 0.25 | 0.35 | 0.45 | 0.55 | 0.65 | 0.75 | 0.85 | 0.95 | 1.05 | 1.15 | 1.25
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,Messdaten_BCDA27,1874,42,6776,6733,6717,0.15,200152.46826679487,0.15 | 0.25 | 0.35 | 0.45 | 0.55 | 0.65 | 0.75 | 0.85 | 0.95 | 1.05 | 1.15 | 1.25
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,35,8,228,210,210,4.9999999999999997e-23,15.0,"BCDA_24 (vertical, 2021) | IntervallDKP3=0.1 m | BCDA_25 (horizontal, 2021) | Bohrloch Tiefe | Permeabilität | transmissibility [m²m] | Bohrloch Tiefe | Permeabilität | transmissibility [m²m] | 1.0 | 0.15 | 1e-13"
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2024,35,8,208,190,188,9.999999999999999e-23,15.0,"BCDA_32 (horizontal, 2024) | IntervallDKP3=0.1 m | BCDA_33 (vertical, 2024) | Bohrloch Tiefe | Permeabilität | transmissibility [m²m] | Bohrloch Tiefe | Permeabilität | transmissibility [m²m] | 1.0 | 0.17 | 5e-16"
