candidate_id,description,rows,date_min,date_max,source_row_count,median_sensor_count,above_95_percent_caution_source_rows,compared_to_active_curve_rows,after_active_curve_rows,rh_percent_p50,pressure_mpa_p50,overlap_residual_mpa_mean,overlap_abs_residual_mpa_median,overlap_abs_residual_mpa_mae,overlap_residual_mpa_rmse,candidate_xml,activation_status
all_valid_median,Daily median of all valid non-low-outlier RH5-8 Kelvin pressures.,1064,2021-12-16,2025-09-04,4228,4.0,2492,577,487,95.10450770939828,-7.563626454910164,16.192099428236922,12.616844898778028,16.425304607487746,19.280594167340226,inversion_workflow/processed_observations/rh_boundary_candidate_curve_xml/all_valid_median.xml,candidate_curve_generated_not_verified_boundary_forcing
rh5_only,"RH5 valid non-low-outlier Kelvin pressure, daily values.",1037,2022-01-11,2025-09-04,1042,1.0,387,550,487,94.7442783830457,-8.134768821469873,15.24430547633299,11.425179001013,15.24430547633299,18.022794173086517,inversion_workflow/processed_observations/rh_boundary_candidate_curve_xml/rh5_only.xml,candidate_curve_generated_not_verified_boundary_forcing
rh5_rh6_below95_median,Daily median of RH5/RH6 rows below the open-twin 95 percent caution threshold.,1062,2021-12-16,2025-09-04,1719,2.0,0,575,487,94.10280424959711,-9.160118746008695,14.720283833110022,12.163787048895347,14.720283833110022,17.56512528040043,inversion_workflow/processed_observations/rh_boundary_candidate_curve_xml/rh5_rh6_below95_median.xml,candidate_curve_generated_not_verified_boundary_forcing
rh5_rh6_mean,Daily mean of clean RH5/RH6 Kelvin pressures.,1063,2021-12-16,2025-09-04,2106,2.0,387,576,487,94.28905936079545,-8.862104182461579,15.14571700718204,12.214684230216594,15.14571700718204,18.094071638583483,inversion_workflow/processed_observations/rh_boundary_candidate_curve_xml/rh5_rh6_mean.xml,candidate_curve_generated_not_verified_boundary_forcing
rh5_rh6_median,Daily median of clean RH5/RH6 Kelvin pressures.,1063,2021-12-16,2025-09-04,2106,2.0,387,576,487,94.28905936079545,-8.862104182461579,15.145716829491423,12.214684230216594,15.145716829491423,18.094071519270447,inversion_workflow/processed_observations/rh_boundary_candidate_curve_xml/rh5_rh6_median.xml,candidate_curve_generated_not_verified_boundary_forcing
rh6_only,"RH6 valid non-low-outlier Kelvin pressure, daily values.",1059,2021-12-16,2025-09-04,1064,1.0,0,572,487,93.8031538009404,-9.638957096410751,14.351535637076312,11.211911066087866,14.351535637076312,17.43802547461543,inversion_workflow/processed_observations/rh_boundary_candidate_curve_xml/rh6_only.xml,candidate_curve_generated_not_verified_boundary_forcing
