source_file,source_sheet,sensor,date_iso,source_column,edz_band_cm,edz_min_cm,edz_max_cm,taupe_value,quantity_note
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2019-12-31T00:00:00,MV EDZ 40-50,40-50,40,50,10.326586757917422,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-01-10T00:00:00,MV EDZ 0-50,0-50,0,50,10.228326684597347,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-01-10T00:00:00,MV EDZ 0-10,0-10,0,10,10.140085673077547,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-01-10T00:00:00,MV EDZ 10-20,10-20,10,20,10.183490808343556,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-01-10T00:00:00,MV EDZ 20-30,20-30,20,30,10.229381309182918,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-01-10T00:00:00,MV EDZ 30-40,30-40,30,40,10.245289387953578,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-01-10T00:00:00,MV EDZ 40-50,40-50,40,50,10.34467467566019,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-01-20T00:00:00,MV EDZ 0-50,0-50,0,50,10.23209024696218,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-01-20T00:00:00,MV EDZ 0-10,0-10,0,10,10.153969144862153,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-01-20T00:00:00,MV EDZ 10-20,10-20,10,20,10.197700532452544,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-01-20T00:00:00,MV EDZ 20-30,20-30,20,30,10.236025207620415,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-01-20T00:00:00,MV EDZ 30-40,30-40,30,40,10.249006958007813,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-01-20T00:00:00,MV EDZ 40-50,40-50,40,50,10.333029731509876,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-01-31T00:00:00,MV EDZ 0-50,0-50,0,50,10.228273727282248,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-01-31T00:00:00,MV EDZ 0-10,0-10,0,10,10.137977101731986,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-01-31T00:00:00,MV EDZ 10-20,10-20,10,20,10.179416001202544,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-01-31T00:00:00,MV EDZ 20-30,20-30,20,30,10.238985122134878,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-01-31T00:00:00,MV EDZ 30-40,30-40,30,40,10.253974294009879,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-01-31T00:00:00,MV EDZ 40-50,40-50,40,50,10.338197708007813,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-02-10T03:00:00,MV EDZ 0-50,0-50,0,50,10.22462306732875,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-02-10T03:00:00,MV EDZ 0-10,0-10,0,10,10.127470958588908,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-02-10T03:00:00,MV EDZ 10-20,10-20,10,20,10.180134450259878,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-02-10T03:00:00,MV EDZ 20-30,20-30,20,30,10.223004300531056,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-02-10T03:00:00,MV EDZ 30-40,30-40,30,40,10.236888066543454,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-02-10T03:00:00,MV EDZ 40-50,40-50,40,50,10.360819050531056,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-02-20T00:00:00,MV EDZ 0-50,0-50,0,50,10.216446712576367,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-02-20T00:00:00,MV EDZ 0-10,0-10,0,10,10.117488925595623,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-02-20T00:00:00,MV EDZ 10-20,10-20,10,20,10.169862667008331,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-02-20T00:00:00,MV EDZ 20-30,20-30,20,30,10.237011362320828,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-02-20T00:00:00,MV EDZ 30-40,30-40,30,40,10.234177470662772,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-02-20T00:00:00,MV EDZ 40-50,40-50,40,50,10.327873841788804,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-02-29T00:00:00,MV EDZ 0-50,0-50,0,50,10.22247812538346,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-02-29T00:00:00,MV EDZ 0-10,0-10,0,10,10.125749140177234,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-02-29T00:00:00,MV EDZ 10-20,10-20,10,20,10.188055338754197,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-02-29T00:00:00,MV EDZ 20-30,20-30,20,30,10.23641961148405,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-02-29T00:00:00,MV EDZ 30-40,30-40,30,40,10.23782530391174,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-02-29T00:00:00,MV EDZ 40-50,40-50,40,50,10.33488881065244,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
