group,segment_label,start_label,end_label,sample_index,sample_count,sample_fraction,distance_along_segment_m,segment_length_2d_m,sample_spacing_target_m,lookup_x,lookup_y,lookup_status,inside_mesh_bbox,distance_to_mesh_bbox_m,containing_cell_id,nearest_cell_id,lookup_cell_id,lookup_material_id,nearest_centroid_x,nearest_centroid_y,nearest_centroid_distance_m
Charac. Bohrungen,BCD-A32,BCD-A32 Anfang,BCD-A32 Ende,0,41,0.0,0.0,3.9890156474488188,0.1,-1.0711847786196085,-0.37685300000006683,inside_mesh_bbox_nearest_cell,True,0.0,-1,3254,3254,1,-1.1383478668688964,-0.4384497811741117,0.0911320134430531
Charac. Bohrungen,BCD-A32,BCD-A32 Anfang,BCD-A32 Ende,1,41,0.025,0.09972539118622048,3.9890156474488188,0.1,-1.1669328509364658,-0.4047359750000654,inside_cell,True,0.0,720,720,720,1,-1.1673335420771267,-0.4097815517682264,0.005061462072722651
Charac. Bohrungen,BCD-A32,BCD-A32 Anfang,BCD-A32 Ende,2,41,0.05,0.19945078237244096,3.9890156474488188,0.1,-1.2626809232533234,-0.43261895000006395,inside_cell,True,0.0,136,2926,136,1,-1.2669033101781466,-0.44126878716084966,0.009625395277651078
Charac. Bohrungen,BCD-A32,BCD-A32 Anfang,BCD-A32 Ende,3,41,0.075,0.2991761735586614,3.9890156474488188,0.1,-1.3584289955701807,-0.46050192500006254,inside_cell,True,0.0,8051,8051,8051,0,-1.3725831318185335,-0.46117152212910867,0.014169965887473482
Charac. Bohrungen,BCD-A32,BCD-A32 Anfang,BCD-A32 Ende,4,41,0.1,0.3989015647448819,3.9890156474488188,0.1,-1.454177067887038,-0.4883849000000611,inside_cell,True,0.0,6995,6995,6995,0,-1.4419931457674533,-0.47369230577180393,0.0190871758878133
Charac. Bohrungen,BCD-A32,BCD-A32 Anfang,BCD-A32 Ende,5,41,0.125,0.49862695593110234,3.9890156474488188,0.1,-1.5499251402038956,-0.5162678750000597,inside_cell,True,0.0,8371,8371,8371,0,-1.5642277604823034,-0.5333953426458526,0.022314011176523305
Charac. Bohrungen,BCD-A32,BCD-A32 Anfang,BCD-A32 Ende,6,41,0.15,0.5983523471173228,3.9890156474488188,0.1,-1.645673212520753,-0.5441508500000583,inside_cell,True,0.0,3542,3542,3542,0,-1.6384673418230367,-0.55494973332137,0.01298231310281457
Charac. Bohrungen,BCD-A32,BCD-A32 Anfang,BCD-A32 Ende,7,41,0.175,0.6980777383035432,3.9890156474488188,0.1,-1.7414212848376103,-0.5720338250000567,inside_cell,True,0.0,6191,9461,6191,0,-1.7616537150031302,-0.5293632661300091,0.04722422921218348
Charac. Bohrungen,BCD-A32,BCD-A32 Anfang,BCD-A32 Ende,8,41,0.2,0.7978031294897638,3.9890156474488188,0.1,-1.8371693571544676,-0.5999168000000554,inside_cell,True,0.0,5292,5292,5292,0,-1.85467122542643,-0.5965663446879527,0.01781967855511201
Charac. Bohrungen,BCD-A32,BCD-A32 Anfang,BCD-A32 Ende,9,41,0.225,0.8975285206759842,3.9890156474488188,0.1,-1.9329174294713252,-0.6277997750000539,inside_cell,True,0.0,4648,4648,4648,0,-1.9531543672590768,-0.665476463070921,0.042767586733585376
Charac. Bohrungen,BCD-A32,BCD-A32 Anfang,BCD-A32 Ende,10,41,0.25,0.9972539118622047,3.9890156474488188,0.1,-2.0286655017881827,-0.6556827500000525,inside_cell,True,0.0,7188,6656,7188,0,-2.0684455477925936,-0.6466627797931811,0.04078985073086065
Charac. Bohrungen,BCD-A32,BCD-A32 Anfang,BCD-A32 Ende,11,41,0.275,1.0969793030484252,3.9890156474488188,0.1,-2.12441357410504,-0.6835657250000511,inside_cell,True,0.0,5046,5046,5046,0,-2.1092467088000864,-0.7440328998228877,0.0623403002417705
Charac. Bohrungen,BCD-A32,BCD-A32 Anfang,BCD-A32 Ende,12,41,0.3,1.1967046942346455,3.9890156474488188,0.1,-2.2201616464218974,-0.7114487000000496,inside_cell,True,0.0,5040,5040,5040,0,-2.1804936872657064,-0.7139668758099353,0.039747807398984085
Charac. Bohrungen,BCD-A32,BCD-A32 Anfang,BCD-A32 Ende,13,41,0.325,1.2964300854208661,3.9890156474488188,0.1,-2.3159097187387547,-0.7393316750000483,inside_cell,True,0.0,5896,5896,5896,0,-2.3229357019807164,-0.7132050417244574,0.027054859209272128
Charac. Bohrungen,BCD-A32,BCD-A32 Anfang,BCD-A32 Ende,14,41,0.35,1.3961554766070865,3.9890156474488188,0.1,-2.411657791055612,-0.7672146500000467,inside_cell,True,0.0,5897,5897,5897,0,-2.38920050973918,-0.7573482290403316,0.024529079613382892
Charac. Bohrungen,BCD-A32,BCD-A32 Anfang,BCD-A32 Ende,15,41,0.375,1.495880867793307,3.9890156474488188,0.1,-2.5074058633724694,-0.7950976250000453,inside_cell,True,0.0,5398,5398,5398,0,-2.542851191597657,-0.8283599009833367,0.048608129943250485
Charac. Bohrungen,BCD-A32,BCD-A32 Anfang,BCD-A32 Ende,16,41,0.4,1.5956062589795277,3.9890156474488188,0.1,-2.6031539356893267,-0.8229806000000439,inside_cell,True,0.0,4298,5398,4298,0,-2.542851191597657,-0.8283599009833367,0.06054219870515323
Charac. Bohrungen,BCD-A32,BCD-A32 Anfang,BCD-A32 Ende,17,41,0.425,1.6953316501657478,3.9890156474488188,0.1,-2.6989020080061845,-0.8508635750000424,inside_cell,True,0.0,4298,4298,4298,0,-2.6587740397598068,-0.8573278451565217,0.040645302609751244
Charac. Bohrungen,BCD-A32,BCD-A32 Anfang,BCD-A32 Ende,18,41,0.45,1.7950570413519684,3.9890156474488188,0.1,-2.794650080323042,-0.8787465500000411,inside_cell,True,0.0,4307,4311,4307,0,-2.860056405108223,-0.7902139270437857,0.11007276070590354
Charac. Bohrungen,BCD-A32,BCD-A32 Anfang,BCD-A32 Ende,19,41,0.475,1.8947824325381888,3.9890156474488188,0.1,-2.890398152639899,-0.9066295250000396,inside_cell,True,0.0,6319,6319,6319,0,-2.9372836015048667,-0.879572501014549,0.054132502826129275
Charac. Bohrungen,BCD-A32,BCD-A32 Anfang,BCD-A32 Ende,20,41,0.5,1.9945078237244094,3.9890156474488188,0.1,-2.9861462249567565,-0.9345125000000382,inside_cell,True,0.0,6319,6319,6319,0,-2.9372836015048667,-0.879572501014549,0.07352523008550689
Charac. Bohrungen,BCD-A32,BCD-A32 Anfang,BCD-A32 Ende,21,41,0.525,2.0942332149106297,3.9890156474488188,0.1,-3.081894297273614,-0.9623954750000367,inside_cell,True,0.0,4714,4714,4714,0,-3.17394631725152,-0.933678630657631,0.09642733808935519
Charac. Bohrungen,BCD-A32,BCD-A32 Anfang,BCD-A32 Ende,22,41,0.55,2.1939586060968503,3.9890156474488188,0.1,-3.1776423695904716,-0.9902784500000353,inside_cell,True,0.0,4714,4714,4714,0,-3.17394631725152,-0.933678630657631,0.05672036981971359
Charac. Bohrungen,BCD-A32,BCD-A32 Anfang,BCD-A32 Ende,23,41,0.575,2.2936839972830705,3.9890156474488188,0.1,-3.2733904419073285,-1.018161425000034,inside_cell,True,0.0,4616,4616,4616,0,-3.1658261708699293,-1.0485306120681923,0.11176922620734149
Charac. Bohrungen,BCD-A32,BCD-A32 Anfang,BCD-A32 Ende,24,41,0.6,2.393409388469291,3.9890156474488188,0.1,-3.369138514224186,-1.0460444000000324,inside_cell,True,0.0,5948,5948,5948,0,-3.4871865932411836,-1.07004953931731,0.12046408457812334
Charac. Bohrungen,BCD-A32,BCD-A32 Anfang,BCD-A32 Ende,25,41,0.625,2.4931347796555117,3.9890156474488188,0.1,-3.4648865865410436,-1.0739273750000309,inside_cell,True,0.0,5948,5948,5948,0,-3.4871865932411836,-1.07004953931731,0.022634661658802676
Charac. Bohrungen,BCD-A32,BCD-A32 Anfang,BCD-A32 Ende,26,41,0.65,2.5928601708417323,3.9890156474488188,0.1,-3.560634658857901,-1.1018103500000296,inside_cell,True,0.0,5948,5948,5948,0,-3.4871865932411836,-1.07004953931731,0.08002104372014386
Charac. Bohrungen,BCD-A32,BCD-A32 Anfang,BCD-A32 Ende,27,41,0.675,2.692585562027953,3.9890156474488188,0.1,-3.6563827311747583,-1.1296933250000283,inside_cell,True,0.0,5951,5951,5951,0,-3.680641570467847,-1.1480617230512031,0.03042842964752367
Charac. Bohrungen,BCD-A32,BCD-A32 Anfang,BCD-A32 Ende,28,41,0.7,2.792310953214173,3.9890156474488188,0.1,-3.7521308034916157,-1.1575763000000268,inside_cell,True,0.0,5951,5951,5951,0,-3.680641570467847,-1.1480617230512031,0.07211960629982536
Charac. Bohrungen,BCD-A32,BCD-A32 Anfang,BCD-A32 Ende,29,41,0.725,2.8920363444003936,3.9890156474488188,0.1,-3.847878875808473,-1.1854592750000252,inside_cell,True,0.0,6413,6413,6413,0,-3.8105759062817435,-1.036927000921665,0.15314485945796963
Charac. Bohrungen,BCD-A32,BCD-A32 Anfang,BCD-A32 Ende,30,41,0.75,2.991761735586614,3.9890156474488188,0.1,-3.9436269481253303,-1.2133422500000237,inside_cell,True,0.0,6415,6415,6415,0,-4.002585559500067,-1.0704334897314316,0.1545931163303952
Charac. Bohrungen,BCD-A32,BCD-A32 Anfang,BCD-A32 Ende,31,41,0.775,3.0914871267728348,3.9890156474488188,0.1,-4.039375020442188,-1.2412252250000224,inside_cell,True,0.0,3671,3671,3671,0,-4.116146966983097,-1.2168005571574667,0.08056361570150211
Charac. Bohrungen,BCD-A32,BCD-A32 Anfang,BCD-A32 Ende,32,41,0.8,3.1912125179590554,3.9890156474488188,0.1,-4.135123092759045,-1.2691082000000211,inside_cell,True,0.0,3671,3671,3671,0,-4.116146966983097,-1.2168005571574667,0.05564335404348698
Charac. Bohrungen,BCD-A32,BCD-A32 Anfang,BCD-A32 Ende,33,41,0.825,3.2909379091452755,3.9890156474488188,0.1,-4.230871165075903,-1.2969911750000196,inside_cell,True,0.0,3671,3671,3671,0,-4.116146966983097,-1.2168005571574667,0.13997205727575682
Charac. Bohrungen,BCD-A32,BCD-A32 Anfang,BCD-A32 Ende,34,41,0.85,3.3906633003314957,3.9890156474488188,0.1,-4.3266192373927606,-1.324874150000018,inside_cell,True,0.0,6327,6327,6327,0,-4.466921482233343,-1.32792773827714,0.14033547060053267
Charac. Bohrungen,BCD-A32,BCD-A32 Anfang,BCD-A32 Ende,35,41,0.875,3.4903886915177162,3.9890156474488188,0.1,-4.4223673097096174,-1.3527571250000165,inside_cell,True,0.0,6327,6327,6327,0,-4.466921482233343,-1.32792773827714,0.051005614733165186
