series_id,sensor,edz_band_cm,row_count,date_min,date_max,baseline_rows,baseline_date_min,baseline_date_max,baseline_taupe_value,robust_scale_taupe_value,min_taupe_value,max_taupe_value,first_taupe_value,final_taupe_value,net_change_taupe_value,net_change_standardized,row_count_from_operator,date_min_from_operator,date_max_from_operator,mapping_statuses,operator_statuses,semantic_activation_gate,mapped_trend_rows,outside_current_mesh_rows,segment_labels,band_mean_porosity_min,band_mean_porosity_median,band_mean_porosity_max,taupe_value_min,taupe_value_median,taupe_value_max,standardized_anomaly_min,standardized_anomaly_median,standardized_anomaly_max,wc_percent_candidate_physical_rows,topp_candidate_physical_rows,linear_eps6_candidate_physical_rows,recommended_use
A3_0-10cm,A3,0-10,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.172468141016594,0.015973039412525,10.076536191930847,10.193064805758327,10.193064805758327,10.133066620262465,-0.0599981854958624,-3.756215955293753,212,2019-12-01,2025-10-10,mapped_band_samples,trend_operator_ready_absolute_calibration_pending,trend_series_ready_pending_ogs_outputs_absolute_calibration_blocked,212,0,BCD-A3,0.1081799852487923,0.1081799852487923,0.1081799852487923,10.076536191930847,10.13306662026246,10.193064805758327,-6.005866924144911,-2.466751614175484,1.2894643411186026,212,0,212,trend diagnostic against same-series band-average theta_model anomaly
A3_0-50cm,A3,0-50,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.241528359544722,0.0118847109529346,10.180355204899032,10.258827128946397,10.258827128946397,10.20694158506231,-0.0518855438840866,-4.365738812627551,212,2019-12-01,2025-10-10,mapped_band_samples,trend_operator_ready_absolute_calibration_pending,trend_series_ready_pending_ogs_outputs_absolute_calibration_blocked,212,0,BCD-A3,0.11130669674141,0.11130669674141,0.11130669674141,10.180355204899032,10.217578834913631,10.258827128946397,-5.147214340167427,-2.0151541527543553,1.4555481803622266,212,0,212,trend diagnostic against same-series band-average theta_model anomaly
A3_10-20cm,A3,10-20,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.19648922275988,0.0202854284848912,10.10227635599335,10.21376954722269,10.21376954722269,10.128169464464424,-0.0856000827582654,-4.219781841040287,212,2019-12-01,2025-10-10,mapped_band_samples,trend_operator_ready_absolute_calibration_pending,trend_series_ready_pending_ogs_outputs_absolute_calibration_blocked,212,0,BCD-A3,0.075815082312704,0.075815082312704,0.075815082312704,10.10227635599335,10.151608626008844,10.21376954722269,-4.644361682411584,-2.212454954277245,0.851858982208852,0,0,212,trend diagnostic against same-series band-average theta_model anomaly
A3_20-30cm,A3,20-30,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.239013391605438,0.0199860263269572,10.143840287746963,10.24863489505585,10.24863489505585,10.175588865871966,-0.0730460291838852,-3.6548550466663015,212,2019-12-01,2025-10-10,mapped_band_samples,trend_operator_ready_absolute_calibration_pending,trend_series_ready_pending_ogs_outputs_absolute_calibration_blocked,212,0,BCD-A3,0.1703187298601793,0.1703187298601793,0.1703187298601793,10.143840287746963,10.200240410842264,10.24863489505585,-4.761982312116978,-1.940004487579225,0.4814115268844356,212,0,212,trend diagnostic against same-series band-average theta_model anomaly
A3_30-40cm,A3,30-40,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.26084615091329,0.0140616555159008,10.199030527480954,10.286405040345109,10.286405040345109,10.22410655182238,-0.0622984885227282,-4.430380793519031,212,2019-12-01,2025-10-10,mapped_band_samples,trend_operator_ready_absolute_calibration_pending,trend_series_ready_pending_ogs_outputs_absolute_calibration_blocked,212,0,BCD-A3,0.0756638555435984,0.0756638555435984,0.0756638555435984,10.199030527480954,10.230241327713394,10.286405040345109,-4.396041658283777,-2.1764736851424877,1.8176301789584537,0,0,212,trend diagnostic against same-series band-average theta_model anomaly
A3_40-50cm,A3,40-50,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.34206594291742,0.0173420969784809,10.320521919658123,10.457128084040871,10.355389925799653,10.381822134208743,0.0264322084090906,1.524164490712354,212,2019-12-01,2025-10-10,mapped_band_samples,trend_operator_ready_absolute_calibration_pending,trend_series_ready_pending_ogs_outputs_absolute_calibration_blocked,212,0,BCD-A3,0.1296825422343941,0.1296825422343941,0.1296825422343941,10.320521919658123,10.374186170946864,10.457128084040871,-1.2422963201065131,1.852153639164851,6.634845905095924,212,0,212,trend diagnostic against same-series band-average theta_model anomaly
A4_0-10cm,A4,0-10,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.202433837937605,0.028686225334976,10.170141415639051,10.287483828325,10.193154034812604,10.239027085515083,0.0458730507024789,1.5991316447810124,212,2019-12-01,2025-10-10,mapped_band_samples,trend_operator_ready_absolute_calibration_pending,trend_series_ready_pending_ogs_outputs_absolute_calibration_blocked,212,0,BCD-A4,0.1146518590725733,0.1146518590725733,0.1146518590725733,10.170141415639051,10.220598622059503,10.287483828325,-1.1257117979611122,0.6332232250769839,2.96483728319936,212,0,212,trend diagnostic against same-series band-average theta_model anomaly
A4_0-50cm,A4,0-50,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.240924498984446,0.0090643869764262,10.219847562987436,10.266094941878563,10.219847562987436,10.228541927841754,0.0086943648543176,0.9591784725132586,212,2019-12-01,2025-10-10,mapped_band_samples,trend_operator_ready_absolute_calibration_pending,trend_series_ready_pending_ogs_outputs_absolute_calibration_blocked,212,0,BCD-A4,0.1202752261522741,0.1202752261522741,0.1202752261522741,10.219847562987436,10.247803453518133,10.266094941878563,-2.3252467102105383,0.7588990354864961,2.776849991022865,212,0,212,trend diagnostic against same-series band-average theta_model anomaly
A4_10-20cm,A4,10-20,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.25593109873926,0.0104129330026846,10.198450859700005,10.2746182695812,10.2746182695812,10.205476576605992,-0.069141692975208,-6.639982506118317,212,2019-12-01,2025-10-10,mapped_band_samples,trend_operator_ready_absolute_calibration_pending,trend_series_ready_pending_ogs_outputs_absolute_calibration_blocked,212,0,BCD-A4,0.1140879834188341,0.1140879834188341,0.1140879834188341,10.198450859700005,10.235779566132337,10.2746182695812,-5.520081520205189,-1.9352407819897595,1.7946116466055737,212,0,212,trend diagnostic against same-series band-average theta_model anomaly
A4_20-30cm,A4,20-30,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.26246245945,0.0176037909820825,10.19422188880434,10.318135730457232,10.19422188880434,10.238145215457234,0.0439233266528944,2.495106122175632,212,2019-12-01,2025-10-10,mapped_band_samples,trend_operator_ready_absolute_calibration_pending,trend_series_ready_pending_ogs_outputs_absolute_calibration_blocked,212,0,BCD-A4,0.1157251983928661,0.1157251983928661,0.1157251983928661,10.19422188880434,10.280905191642667,10.318135730457232,-3.8764701714033074,1.047656849109167,3.1625728267221827,212,0,212,trend diagnostic against same-series band-average theta_model anomaly
