run_id,run_kind,run_dir,state_sample_rows,ogs_output_times,diagnostic_rows,compared_rows,compared_series,outside_time_tolerance_rows,operator_not_mapped_rows,taupe_trend_residual_mean,taupe_trend_mae,taupe_trend_rmse,taupe_trend_p50_abs,taupe_trend_p90_abs,combined_active_objective,combined_active_component_count,direct_permeability_objective,nmr_state_objective,nmr_state_rmse,taupe_mae_delta_from_reference,taupe_mae_rank,combined_objective_rank
local_basis_sampler_001_basis_004_det_l_0p0015_s_1p000,local_basis,inversion_workflow/runs/local_basis_sampler_001_basis_004_det_l_0p0015_s_1p000,37184,83,5088,1860,12,684,2544,-0.4839182704319363,1.863210860373134,2.354270500138585,1.471316813333661,4.060254652229332,3156.361469672912,2,269.8180571059851,2886.5434125669267,5.483444223074778,-1.758371226401323e-12,25.0,18.0
local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000,local_basis,inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000,37184,83,5088,1860,12,684,2544,-0.4839129780414623,1.863211058631399,2.3542717467881773,1.4713109260493238,4.060256925206716,3156.353066948979,2,269.8180571059851,2886.535009842994,5.483436241919646,1.982565065450359e-07,29.0,9.0
local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000,local_basis,inversion_workflow/runs/local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000,37184,83,5088,1860,12,684,2544,-0.4838879518864569,1.8632029805911825,2.35426272831001,1.4713293896934605,4.060255279982376,3156.3542661780352,2,269.8180571059851,2886.53620907205,5.4834373809835,-7.87978370997422e-06,18.0,10.0
local_bracketed_001_length_0p013m_shift_0p875,local_smooth,inversion_workflow/runs/local_bracketed_001_length_0p013m_shift_0p875,37184,83,5088,1860,12,684,2544,-0.4918064686081445,1.8653369783151752,2.3562888918310705,1.473550856261601,4.076732145543195,3167.3446884169725,2,277.42946417328494,2889.915224243688,5.486645932249661,0.0021261179402827235,60.0,59.0
local_bracketed_002_length_0p013m_shift_1p125,local_smooth,inversion_workflow/runs/local_bracketed_002_length_0p013m_shift_1p125,37184,83,5088,1860,12,684,2544,-0.4896753710792632,1.8642668268320768,2.355019234309789,1.47479981868152,4.072225544249527,3167.2098371738107,2,277.42946417328494,2889.7803730005257,5.486517919903492,0.0010559664571843097,52.0,58.0
local_bracketed_003_length_0p031m,local_smooth,inversion_workflow/runs/local_bracketed_003_length_0p031m,37184,83,5088,1860,12,684,2544,-0.4611706376525547,1.8320808005603844,2.321319519720716,1.428305993898742,4.012553976534117,3219.345218679995,2,271.3861777595394,2947.959040920456,5.541471526251375,-0.031130059814508115,3.0,70.0
local_refined_001_length_0p013m,local_smooth,inversion_workflow/runs/local_refined_001_length_0p013m,37184,83,5088,1860,12,684,2544,-0.490736901223502,1.8647922046546093,2.3556418752910817,1.473745340664787,4.074502298112327,3159.6643814648755,2,269.8180571059851,2889.8463243588903,5.486580526952871,0.0015813442797167898,56.0,48.0
local_refined_002_length_0p019m,local_smooth,inversion_workflow/runs/local_refined_002_length_0p019m,37184,83,5088,1860,12,684,2544,-0.4991710352191158,1.866222894502052,2.3563838377622366,1.478111705626901,4.079700890825716,3164.958854077439,2,269.8180571059851,2895.1407969714537,5.4916041950526,0.0030120341271595574,64.0,55.0
lower_support_continuous_001_length_0p004m_shift_0p995,lower_support,inversion_workflow/runs/lower_support_continuous_001_length_0p004m_shift_0p995,37184,83,5088,1860,12,684,2544,-0.4839664559344443,1.8632346063839675,2.3542975838121607,1.4712900888756169,4.0602823952522895,3156.3785563886977,2,269.8301710605088,2886.548385328189,5.483448946344685,2.374600907506519e-05,31.0,22.0
lower_support_continuous_002_length_0p003m_shift_0p986,lower_support,inversion_workflow/runs/lower_support_continuous_002_length_0p003m_shift_0p986,37184,83,5088,1860,12,684,2544,-0.4840514938104903,1.8632764991010973,2.354345364732945,1.4712431420641168,4.060529989682068,3156.4674083289515,2,269.9101487793646,2886.557259549587,5.483457375322148,6.563872620479749e-05,35.0,26.0
