observation_id,source_sheet,campaign_year,block_label,normalized_segment_label,borehole_depth_m,target_status,usable_for_current_ogs_fit,used_in_objective,observed_permeability_m2,observed_log10_permeability_m2,log10_sigma,segment_tangent_x,segment_tangent_y,selected_cell_ids,prediction_note,predicted_permeability_m2,predicted_log10_permeability_m2,prediction_cell_count,log10_residual_pred_minus_obs,normalized_residual,unweighted_objective_contribution,duplicate_group_key,duplicate_count,objective_weight,objective_contribution
perm_0018,2024_OT,2024,BCDA_33,BCD-A33,0.85,mapped_inside_mesh,True,True,4e-18,-17.397940008672037,0.5,0.3326580112574697,-0.9430475319655024,4649.0,,3.9999999999999883e-19,-18.397940008672037,1,-1.0,-2.0,2.0,2024|BCD-A33|0.85|-17.39794001,2,0.5,1.0
perm_0019,2024_OT,2024,BCDA_33,BCD-A33,0.95,mapped_inside_mesh,True,True,6e-18,-17.221848749616356,0.5,0.3326580112574697,-0.9430475319655024,4650.0,,2.4494897427831755e-19,-18.610924374808178,1,-1.389075625191822,-2.778151250383644,3.859062185004102,2024|BCD-A33|0.95|-17.22184875,2,0.5,1.929531092502051
perm_0020,2024_OT,2024,BCDA_33,BCD-A33,1.05,mapped_inside_mesh,True,True,2e-15,-14.69897000433602,0.5,0.3326580112574697,-0.9430475319655024,5034.0,,1.9999999999999962e-15,-14.698970004336019,1,1.7763568394002505e-15,3.552713678800501e-15,6.310887241768095e-30,2024|BCD-A33|1.05|-14.69897,2,0.5,3.1554436208840472e-30
perm_0021,2024_OT,2024,BCDA_33,BCD-A33,1.15,mapped_inside_mesh,True,True,7e-16,-15.154901959985745,0.5,0.3326580112574697,-0.9430475319655024,5030.0,,7.93725393319375e-18,-17.10032972527321,1,-1.945427765287464,-3.890855530574928,7.569378379902753,2024|BCD-A33|1.15|-15.15490196,2,0.5,3.7846891899513766
perm_0022,2024_OT,2024,BCDA_33,BCD-A33,1.25,mapped_inside_mesh,True,True,9e-17,-16.045757490560675,0.5,0.3326580112574697,-0.9430475319655024,5749.0,,2.323790007724439e-18,-17.63380312008852,1,-1.5880456295278442,-3.1760912590556885,5.043777842924974,2024|BCD-A33|1.25|-16.04575749,2,0.5,2.521888921462487
perm_0023,2024_OT,2024,BCDA_33,BCD-A33,1.7,mapped_inside_mesh,True,True,5e-17,-16.30102999566398,0.5,0.3326580112574697,-0.9430475319655024,4317.0,,4.47213595499956e-19,-18.349485002168013,1,-2.0484550065040317,-4.096910013008063,8.392335827342865,2024|BCD-A33|1.7|-16.30103,2,0.5,4.196167913671433
perm_0024,2024_OT,2024,BCDA_33,BCD-A33,3.3,mapped_inside_mesh,True,True,8e-21,-20.096910013008056,0.5,0.3326580112574697,-0.9430475319655024,3864.0,,4.0000000000000034e-21,-20.397940008672037,1,-0.30102999566398125,-0.6020599913279625,0.18123811657891314,2024|BCD-A33|3.3|-20.09691001,2,0.5,0.09061905828945657
perm_0025,2024_CT,2024,BCDA_34,BCD-A34,0.15,mapped_outside_mesh,False,False,5e-18,-17.30102999566398,0.5,-0.312679206450377,-0.9498587862696024,5828.0,,6.969069250434369e-20,-19.156825219949596,1,-1.8557952242856146,-3.711590448571229,,,0,0.0,
perm_0026,2024_CT,2024,BCDA_34,BCD-A34,0.25,mapped_outside_mesh,False,False,3e-20,-19.522878745280337,0.5,-0.312679206450377,-0.9498587862696024,5828.0,,6.969069250434369e-20,-19.156825219949596,1,0.36605352533074154,0.7321070506614831,,,0,0.0,
perm_0027,2024_CT,2024,BCDA_34,BCD-A34,0.35,mapped_outside_mesh,False,False,9e-20,-19.045757490560675,0.5,-0.312679206450377,-0.9498587862696024,5828.0,,6.969069250434369e-20,-19.156825219949596,1,-0.11106772938892107,-0.22213545877784213,,,0,0.0,
perm_0028,2024_CT,2024,BCDA_34,BCD-A34,0.45,mapped_outside_mesh,False,False,8e-20,-19.096910013008056,0.5,-0.312679206450377,-0.9498587862696024,5828.0,,6.969069250434369e-20,-19.156825219949596,1,-0.05991520694153962,-0.11983041388307925,,,0,0.0,
perm_0029,2024_CT,2024,BCDA_34,BCD-A34,0.55,mapped_outside_mesh,False,False,1e-13,-13.0,0.5,-0.312679206450377,-0.9498587862696024,5828.0,,6.969069250434369e-20,-19.156825219949596,1,-6.156825219949596,-12.313650439899192,,,0,0.0,
perm_0030,2024_CT,2024,BCDA_34,BCD-A34,0.65,mapped_outside_mesh,False,False,5e-20,-19.30102999566398,0.5,-0.312679206450377,-0.9498587862696024,5828.0,,6.969069250434369e-20,-19.156825219949596,1,0.1442047757143854,0.2884095514287708,,,0,0.0,
perm_0031,2024_CT,2024,BCDA_34,BCD-A34,0.75,mapped_outside_mesh,False,False,8e-20,-19.096910013008056,0.5,-0.312679206450377,-0.9498587862696024,5828.0,,6.969069250434369e-20,-19.156825219949596,1,-0.05991520694153962,-0.11983041388307925,,,0,0.0,
perm_0032,2024_CT,2024,BCDA_34,BCD-A34,0.85,mapped_outside_mesh,False,False,9e-20,-19.045757490560675,0.5,-0.312679206450377,-0.9498587862696024,5828.0,,6.969069250434369e-20,-19.156825219949596,1,-0.11106772938892107,-0.22213545877784213,,,0,0.0,
perm_0033,2024_CT,2024,BCDA_34,BCD-A34,0.95,mapped_outside_mesh,False,False,8e-20,-19.096910013008056,0.5,-0.312679206450377,-0.9498587862696024,5828.0,,6.969069250434369e-20,-19.156825219949596,1,-0.05991520694153962,-0.11983041388307925,,,0,0.0,
perm_0034,2024_CT,2024,BCDA_34,BCD-A34,1.05,mapped_outside_mesh,False,False,2e-20,-19.69897000433602,0.5,-0.312679206450377,-0.9498587862696024,7663.0,,8.509706017145344e-20,-19.07008544312774,1,0.6288845612082774,1.2577691224165548,,,0,0.0,
perm_0035,2024_CT,2024,BCDA_34,BCD-A34,1.15,mapped_outside_mesh,False,False,4e-20,-19.39794000867204,0.5,-0.312679206450377,-0.9498587862696024,7663.0,,8.509706017145344e-20,-19.07008544312774,1,0.3278545655442997,0.6557091310885994,,,0,0.0,
perm_0036,2024_CT,2024,BCDA_34,BCD-A34,1.25,mapped_outside_mesh,False,False,2e-21,-20.69897000433602,0.5,-0.312679206450377,-0.9498587862696024,7663.0,,8.509706017145344e-20,-19.07008544312774,1,1.6288845612082774,3.257769122416555,,,0,0.0,
perm_0037,2024_CT,2024,BCDA_34,BCD-A34,1.7,mapped_outside_mesh,False,False,5e-21,-20.30102999566398,0.5,-0.312679206450377,-0.9498587862696024,7663.0,,8.509706017145344e-20,-19.07008544312774,1,1.23094455253624,2.46188910507248,,,0,0.0,
perm_0038,2024_CT,2024,BCDA_34,BCD-A34,2.5,mapped_outside_mesh,False,False,3e-21,-20.522878745280337,0.5,-0.312679206450377,-0.9498587862696024,7663.0,,8.509706017145344e-20,-19.07008544312774,1,1.452793302152596,2.905586604305192,,,0,0.0,
perm_0039,2024_CT,2024,BCDA_34,BCD-A34,3.3,mapped_outside_mesh,False,False,3e-21,-20.522878745280337,0.5,-0.312679206450377,-0.9498587862696024,5631.0,,1.4061678623133032e-20,-19.85196283200121,1,0.6709159132791278,1.3418318265582556,,,0,0.0,
perm_0040,2024_CT,2024,BCDA_35,BCD-A35,0.17,mapped_outside_mesh,False,False,4e-20,-19.39794000867204,0.5,0.9576091780545404,-0.2880705852837248,5763.0,,1.2647065634646106e-19,-18.898010227571955,1,0.4999297811000858,0.9998595622001716,,,0,0.0,
perm_0041,2024_CT,2024,BCDA_35,BCD-A35,0.31,mapped_outside_mesh,False,False,8e-20,-19.096910013008056,0.5,0.9576091780545404,-0.2880705852837248,5763.0,,1.2647065634646106e-19,-18.898010227571955,1,0.19889978543610098,0.39779957087220197,,,0,0.0,
perm_0042,2024_CT,2024,BCDA_35,BCD-A35,0.45,mapped_outside_mesh,False,False,8e-20,-19.096910013008056,0.5,0.9576091780545404,-0.2880705852837248,5763.0,,1.2647065634646106e-19,-18.898010227571955,1,0.19889978543610098,0.39779957087220197,,,0,0.0,
