72 # Number of electrodes						
# x z						
-0.1	-498.86					
-0.2	-498.868					
-0.298	-498.887					
-0.399	-498.903					
-0.472	-498.988					
-0.551	-499.046					
-0.638	-499.089					
-0.724	-499.137					
-0.802	-499.198					
-0.869	-499.271					
-0.897	-499.372					
-0.942	-499.456					
-1.027	-499.521					
-1.075	-499.609					
-1.15	-499.692					
-1.162	-499.795					
-1.169	-499.898					
-1.157	-500					
-1.181	-500.103					
-1.171	-500.206					
-1.13	-500.303					
-1.119	-500.407					
-1.05	-500.489					
-0.996	-500.575					
-0.98	-500.686					
-0.905	-500.759					
-0.853	-500.853					
-0.779	-500.928					
-0.697	-500.996					
-0.601	-501.04					
-0.548	-501.175					
-0.452	-501.241					
-0.335	-501.249					
-0.222	-501.262					
-0.111	-501.269					
0	-501.272					
0.11	-501.256					
0.219	-501.241					
0.328	-501.226					
0.444	-501.22					
0.552	-501.184					
0.637	-501.102					
0.707	-501.009					
0.766	-500.913					
0.835	-500.835					
0.909	-500.762					
0.976	-500.683					
1.025	-500.592					
1.084	-500.505					
1.107	-500.403					
1.155	-500.31					
1.198	-500.211					
1.247	-500.109					
1.268	-500					
1.263	-499.889					
1.224	-499.784					
1.203	-499.678					
1.148	-499.582					
1.097	-499.489					
1.037	-499.401					
1.004	-499.297					
0.972	-499.184					
0.878	-499.122					
0.775	-499.077					
0.697	-499.005					
0.593	-498.974					
0.495	-498.938					
0.393	-498.92					
0.295	-498.898					
0.202	-498.856					
0.104	-498.808					
0	-498.825					
