--- Sheet: OT_RH7 ---
time7	RH7
2021-12-16T00:00:00	97.1549649
2021-12-17T00:00:00	97.15725587
2021-12-18T00:00:00	97.16037019
2021-12-19T00:00:00	97.16591865
2021-12-20T00:00:00	97.17489361
2021-12-21T00:00:00	97.1834454
2021-12-22T00:00:00	97.18724973
2021-12-23T00:00:00	97.21677076
2021-12-24T00:00:00	97.24357015
2021-12-25T00:00:00	97.24189071
2021-12-26T00:00:00	97.23881308
2021-12-27T00:00:00	97.24115663
2021-12-28T00:00:00	97.24569418
2021-12-29T00:00:00	97.23963806
2021-12-30T00:00:00	97.23462126
2021-12-31T00:00:00	97.23290901
2022-01-01T00:00:00	97.23995122
2022-01-02T00:00:00	97.25754164
2022-01-03T00:00:00	97.26355618
2022-01-04T00:00:00	97.26226835
2022-01-05T00:00:00	97.25319111
2022-01-06T00:00:00	97.25320194
2022-01-07T00:00:00	97.26046373
2022-01-08T00:00:00	97.26748802
2022-01-10T00:00:00	97.26153152
2022-01-11T00:00:00	97.25591092
2022-01-12T00:00:00	97.2486696
2022-01-13T00:00:00	97.25192116
2022-01-14T00:00:00	97.26074031
