observation_id,source_sheet,campaign_year,block_label,normalized_segment_label,borehole_depth_m,target_status,usable_for_current_ogs_fit,used_in_objective,observed_log10_permeability_m2,predicted_log10_permeability_m2,log10_residual_pred_minus_obs,abs_log10_residual,normalized_residual,objective_weight,duplicate_count,prediction_cell_count,selected_cell_ids,selected_material_ids,support_cell_count,support_cell_ids,support_material_ids,current_log10_prediction_from_cells,configured_scalar_feasible_log10_min,configured_scalar_feasible_log10_max,configured_scalar_min_multiplier_min,configured_scalar_max_multiplier_min,configured_scalar_max_multiplier_max,configured_scalar_feasibility_status,headroom_up_log10_from_current,headroom_down_log10_from_current,residual_band,residual_sign,recommended_next_action
perm_0011,2024_OT,2024,BCDA_33,BCD-A33,0.15,not_usable_missing_or_nonpositive_permeability,False,False,,,,,,0.0,0,0,,,,,,,,,,,,not_evaluated,,,not_finite,not_finite,review_sampler_bounds_tensor_shape_or_measurement_interpretation_before_more_spatial_sampling
perm_0012,2024_OT,2024,BCDA_33,BCD-A33,0.25,mapped_inside_mesh,True,True,-16.69897000433602,-17.897940008672037,-1.1989700043360187,1.1989700043360187,-2.3979400086720375,0.5,2,1,4096.0,,1.0,4096,0,-17.897940008672037,-21.695279282565984,-12.09321929123802,0.00015946329221020624,637853.1688408249,637853.1688408249,observed_inside_configured_scalar_range,5.804720717434018,3.7973392738939467,abs_1_to_2_log10,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0013,2024_OT,2024,BCDA_33,BCD-A33,0.35,mapped_inside_mesh,True,True,-16.096910013008056,-16.096910013008056,0.0,0.0,0.0,0.5,2,1,9359.0,,1.0,9359,0,-16.096910013008056,-21.695279282565984,-12.09321929123802,2.521336032866178e-06,10085.344131464712,10085.344131464712,observed_inside_configured_scalar_range,4.003690721770036,5.598369269557928,abs_lt_0p5_log10,zero_residual,locally_consistent_under_current_log10_sigma
perm_0014,2024_OT,2024,BCDA_33,BCD-A33,0.45,mapped_inside_mesh,True,True,-16.096910013008056,-17.596910013008056,-1.5,1.5,-3.0,0.5,2,1,3600.0,,1.0,3600,0,-17.596910013008056,-21.695279282565984,-12.09321929123802,7.973164610510332e-05,318926.58442041324,318926.58442041324,observed_inside_configured_scalar_range,5.503690721770036,4.098369269557928,abs_1_to_2_log10,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0015,2024_OT,2024,BCDA_33,BCD-A33,0.55,mapped_inside_mesh,True,True,-14.096910013008056,-17.548455006504028,-3.451544993495972,3.451544993495972,-6.903089986991944,0.5,2,1,8057.0,,1.0,8057,0,-17.548455006504028,-21.695279282565984,-12.09321929123802,7.131415225958664e-05,285256.6090383465,285256.6090383465,observed_inside_configured_scalar_range,5.455235715266008,4.146824276061956,abs_ge_3_log10,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0016,2024_OT,2024,BCDA_33,BCD-A33,0.65,not_usable_missing_or_nonpositive_permeability,False,False,,,,,,0.0,0,0,,,,,,,,,,,,not_evaluated,,,not_finite,not_finite,review_sampler_bounds_tensor_shape_or_measurement_interpretation_before_more_spatial_sampling
perm_0017,2024_OT,2024,BCDA_33,BCD-A33,0.75,mapped_inside_mesh,True,True,-14.154901959985745,-14.154901959985745,0.0,0.0,0.0,0.5,2,1,6194.0,,1.0,6194,0,-14.154901959985745,-21.695279282565984,-12.09321929123802,2.881526894704225e-08,115.26107578816897,115.26107578816897,observed_inside_configured_scalar_range,2.061682668747725,7.540377322580239,abs_lt_0p5_log10,zero_residual,locally_consistent_under_current_log10_sigma
perm_0018,2024_OT,2024,BCDA_33,BCD-A33,0.85,mapped_inside_mesh,True,True,-17.397940008672037,-18.397940008672037,-1.0,1.0,-2.0,0.5,2,1,4649.0,,1.0,4649,0,-18.397940008672037,-21.695279282565984,-12.09321929123802,0.000504267206573239,2017068.8262929558,2017068.8262929558,observed_inside_configured_scalar_range,6.304720717434018,3.2973392738939467,abs_1_to_2_log10,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0019,2024_OT,2024,BCDA_33,BCD-A33,0.95,mapped_inside_mesh,True,True,-17.221848749616356,-18.610924374808178,-1.389075625191822,1.389075625191822,-2.778151250383644,0.5,2,1,4650.0,,1.0,4650,0,-18.610924374808178,-21.695279282565984,-12.09321929123802,0.0008234649000820484,3293859.6003281935,3293859.6003281935,observed_inside_configured_scalar_range,6.517705083570158,3.084354907757806,abs_1_to_2_log10,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0020,2024_OT,2024,BCDA_33,BCD-A33,1.05,mapped_inside_mesh,True,True,-14.69897000433602,-14.698970004336019,1.7763568394002505e-15,1.7763568394002505e-15,3.552713678800501e-15,0.5,2,1,5034.0,,1.0,5034,0,-14.698970004336019,-21.695279282565984,-12.09321929123802,1.0085344131464768e-07,403.41376525859096,403.41376525859096,observed_inside_configured_scalar_range,2.605750713097999,6.996309278229965,abs_lt_0p5_log10,overpredicts_observation,locally_consistent_under_current_log10_sigma
