policy_id,winner_candidate_id,winner_candidate_family,winner_source_kind,winner_mesh,winner_objective_like_value,winner_rmse_log10,current_accepted_rank_under_policy,winner_in_current_gaussian_best_tie_set,differs_from_current_gaussian_best_set,run_dir,matched_run_id,scorecard_match_candidates,has_cross_stream_scorecard,ogs_execution_status,has_combined_objective_summary,has_state_observation_summary,has_ert_diagnostic_summary,has_taupe_diagnostic_summary,current_combined_objective,direct_permeability_objective,label_bias_combined_objective,trend_anomaly_combined_objective,ert_residual_mae_log10,taupe_trend_mae,active_objective_rank,nmr_label_bias_rank,nmr_trend_anomaly_rank,ert_mae_rank,taupe_mae_rank,mean_rank_all_streams,mean_rank_diagnostics_only,worst_rank_all_streams,top10_stream_count,top10_diagnostic_stream_count,pareto_all_streams,pareto_diagnostics_only,delta_active_rank_vs_current_accepted,delta_mean_rank_all_streams_vs_current_accepted,delta_taupe_rank_vs_current_accepted,delta_ert_rank_vs_current_accepted,delta_nmr_trend_rank_vs_current_accepted,cross_stream_disposition
current_duplicate_weighted_gaussian,broad_continuous_loop_001_001_length_0p015m,broad_continuous_loop_001_001_length_0p015m,materialized_run_field,inversion_workflow/runs/broad_continuous_loop_001_001_length_0p015m/bulk_w_projections.vtu,269.8180571059851,1.61071549171474,1.0,True,False,inversion_workflow/runs/broad_continuous_loop_001_001_length_0p015m,broad_continuous_loop_001_001_length_0p015m,broad_continuous_loop_001_001_length_0p015m,True,ogs_executed_successfully,True,True,False,False,3161.360041617328,269.8180571059851,505.6225434185805,505.6225434185805,0.2544986629637561,1.8639508565406715,45.0,4.0,4.0,48.0,51.0,30.4,26.75,51.0,2.0,2.0,True,True,44.0,17.2,22.0,40.0,-10.0,executed_direct_tie_representative_not_current_active_preferred
capped_gaussian_abs1_log10,local_anisotropy_sampler_plan/local_anis_residual_sign_l0p0015_s0p5_r2p5,local_anisotropy_sampler_plan,materialized_run_field,inversion_workflow/runs/local_anisotropy_sampler_plan/local_anis_residual_sign_l0p0015_s0p5_r2p5/bulk_w_projections.vtu,64.81233623477108,0.7894273498675813,183.0,False,True,inversion_workflow/runs/local_anisotropy_sampler_plan/local_anis_residual_sign_l0p0015_s0p5_r2p5,,local_anisotropy_sampler_plan/local_anis_residual_sign_l0p0015_s0p5_r2p5;local_anis_residual_sign_l0p0015_s0p5_r2p5,False,no_ogs_execution_record,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,direct_only_winner_requires_ogs_before_stream_promotion
huber_delta_2sigma,broad_continuous_loop_001_001_length_0p015m,broad_continuous_loop_001_001_length_0p015m,materialized_run_field,inversion_workflow/runs/broad_continuous_loop_001_001_length_0p015m/bulk_w_projections.vtu,183.6712474083337,1.61071549171474,1.0,True,False,inversion_workflow/runs/broad_continuous_loop_001_001_length_0p015m,broad_continuous_loop_001_001_length_0p015m,broad_continuous_loop_001_001_length_0p015m,True,ogs_executed_successfully,True,True,False,False,3161.360041617328,269.8180571059851,505.6225434185805,505.6225434185805,0.2544986629637561,1.8639508565406715,45.0,4.0,4.0,48.0,51.0,30.4,26.75,51.0,2.0,2.0,True,True,44.0,17.2,22.0,40.0,-10.0,executed_direct_tie_representative_not_current_active_preferred
student_t_nu4,broad_continuous_loop_001_001_length_0p015m,broad_continuous_loop_001_001_length_0p015m,materialized_run_field,inversion_workflow/runs/broad_continuous_loop_001_001_length_0p015m/bulk_w_projections.vtu,121.16896116540624,1.61071549171474,1.0,True,False,inversion_workflow/runs/broad_continuous_loop_001_001_length_0p015m,broad_continuous_loop_001_001_length_0p015m,broad_continuous_loop_001_001_length_0p015m,True,ogs_executed_successfully,True,True,False,False,3161.360041617328,269.8180571059851,505.6225434185805,505.6225434185805,0.2544986629637561,1.8639508565406715,45.0,4.0,4.0,48.0,51.0,30.4,26.75,51.0,2.0,2.0,True,True,44.0,17.2,22.0,40.0,-10.0,executed_direct_tie_representative_not_current_active_preferred
support_cell_weighted_mean_unit_gaussian,current_permeability_field/current_best,current_permeability_field,current_accepted_field,inversion_workflow/current_permeability_field/current_best_bulk_w_projections.vtu,1.072850831100576e-28,1.3371928501532457e-15,1.0,True,False,inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000,local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000,local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000;current_permeability_field/current_best;current_best,True,ogs_executed_successfully,True,True,True,True,3156.353066948979,269.8180571059851,505.6374423059367,505.6374423059367,0.2541796182834413,1.863211058631399,1.0,14.0,14.0,8.0,29.0,13.2,16.25,29.0,2.0,1.0,True,False,0.0,0.0,0.0,0.0,0.0,current_accepted_field_with_cross_stream_evidence
support_cell_weighted_median_unit_gaussian,local_anisotropy_sampler_plan/local_anis_perpendicular_all_l0p0015_s1_r12,local_anisotropy_sampler_plan,materialized_run_field,inversion_workflow/runs/local_anisotropy_sampler_plan/local_anis_perpendicular_all_l0p0015_s1_r12/bulk_w_projections.vtu,81.82840410875852,1.1678213626860812,228.0,False,True,inversion_workflow/runs/local_anisotropy_sampler_plan/local_anis_perpendicular_all_l0p0015_s1_r12,,local_anisotropy_sampler_plan/local_anis_perpendicular_all_l0p0015_s1_r12;local_anis_perpendicular_all_l0p0015_s1_r12,False,no_ogs_execution_record,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,direct_only_winner_requires_ogs_before_stream_promotion
configured_scalar_inside_only_gaussian,lower_support_continuous_candidate_plan/length_0p007m_shift_0p946,lower_support_continuous_candidate_plan,materialized_run_field,inversion_workflow/runs/lower_support_continuous_candidate_plan/length_0p007m_shift_0p946/bulk_w_projections.vtu,244.3179201494804,1.547667188692611,110.0,False,True,inversion_workflow/runs/lower_support_continuous_candidate_plan/length_0p007m_shift_0p946,,lower_support_continuous_candidate_plan/length_0p007m_shift_0p946;length_0p007m_shift_0p946,False,no_ogs_execution_record,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,direct_only_winner_requires_ogs_before_stream_promotion
