candidate_id,candidate_family,source_kind,mesh_path,mesh,candidate_index,evaluation_source,evaluation_source_path,active_row_count,effective_objective_weight,outside_configured_scalar_row_count,rows_ge_1_log10,rows_ge_2_log10,top_5_current_row_loss_share,top_10_current_row_loss_share,objective_current_duplicate_weighted_gaussian,objective_capped_gaussian_abs1_log10,objective_huber_delta_2sigma,objective_student_t_nu4,objective_configured_scalar_inside_only_gaussian,rmse_current_duplicate_weighted_gaussian,rmse_capped_gaussian_abs1_log10,rmse_huber_delta_2sigma,rmse_student_t_nu4,rmse_configured_scalar_inside_only_gaussian,mae_current_duplicate_weighted_gaussian,mae_capped_gaussian_abs1_log10,mae_huber_delta_2sigma,mae_student_t_nu4,mae_configured_scalar_inside_only_gaussian,max_abs_current_duplicate_weighted_gaussian,max_abs_capped_gaussian_abs1_log10,max_abs_huber_delta_2sigma,max_abs_student_t_nu4,max_abs_configured_scalar_inside_only_gaussian,support_group_count,support_observed_range_ge_1_count,objective_support_cell_weighted_mean_unit_gaussian,objective_support_cell_weighted_median_unit_gaussian,rmse_support_cell_weighted_mean_unit_gaussian,rmse_support_cell_weighted_median_unit_gaussian,mae_support_cell_weighted_mean_unit_gaussian,mae_support_cell_weighted_median_unit_gaussian,max_abs_support_cell_weighted_mean_unit_gaussian,max_abs_support_cell_weighted_median_unit_gaussian,rank_current_duplicate_weighted_gaussian,rank_capped_gaussian_abs1_log10,rank_huber_delta_2sigma,rank_student_t_nu4,rank_support_cell_weighted_mean_unit_gaussian,rank_support_cell_weighted_median_unit_gaussian,rank_configured_scalar_inside_only_gaussian
cross_stream_hybrid_field_plan/cross_hybrid_mean_rank_all_streams_plus2_a0p50,cross_stream_hybrid_field_plan,materialized_run_field,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/cross_stream_hybrid_field_plan/cross_hybrid_mean_rank_all_streams_plus2_a0p50/bulk_w_projections.vtu,inversion_workflow/runs/cross_stream_hybrid_field_plan/cross_hybrid_mean_rank_all_streams_plus2_a0p50/bulk_w_projections.vtu,195,cached_csv,inversion_workflow/runs/cross_stream_hybrid_field_plan/cross_hybrid_mean_rank_all_streams_plus2_a0p50/permeability_fit_evaluation.csv,75,52.0,2,48,21,0.3114171478881606,0.49400403343820803,269.8180571059851,65.31194526868983,183.6712474083337,121.16896116540623,245.67481647284035,1.61071549171474,0.7924641782045433,1.61071549171474,1.61071549171474,1.551958965980309,1.2295502504064544,0.6605151439658588,1.2295502504064544,1.2295502504064544,1.185533123183516,3.4744237387763093,1.0,3.4744237387763093,3.4744237387763093,3.4744237387763093,30,16,1.7670484276950664e-28,134.72779043641358,1.7161237463612904e-15,1.4984869615516268,8.289665250534502e-16,1.0555758838301275,3.552713678800501e-15,3.4744237387763093,1.0,183.0,1.0,1.0,2.0,228.0,110.0
cross_stream_hybrid_field_plan/cross_hybrid_mean_rank_all_streams_plus2_a0p75,cross_stream_hybrid_field_plan,materialized_run_field,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/cross_stream_hybrid_field_plan/cross_hybrid_mean_rank_all_streams_plus2_a0p75/bulk_w_projections.vtu,inversion_workflow/runs/cross_stream_hybrid_field_plan/cross_hybrid_mean_rank_all_streams_plus2_a0p75/bulk_w_projections.vtu,196,cached_csv,inversion_workflow/runs/cross_stream_hybrid_field_plan/cross_hybrid_mean_rank_all_streams_plus2_a0p75/permeability_fit_evaluation.csv,75,52.0,2,48,21,0.3114171478881606,0.49400403343820803,269.8180571059851,65.31194526868983,183.6712474083337,121.16896116540623,245.67481647284035,1.61071549171474,0.7924641782045433,1.61071549171474,1.61071549171474,1.551958965980309,1.2295502504064544,0.6605151439658588,1.2295502504064544,1.2295502504064544,1.185533123183516,3.4744237387763093,1.0,3.4744237387763093,3.4744237387763093,3.4744237387763093,30,16,1.7670484276950664e-28,134.72779043641358,1.7161237463612904e-15,1.4984869615516268,8.289665250534502e-16,1.0555758838301275,3.552713678800501e-15,3.4744237387763093,1.0,183.0,1.0,1.0,2.0,228.0,110.0
current_permeability_field/current_best,current_permeability_field,current_accepted_field,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/current_permeability_field/current_best_bulk_w_projections.vtu,inversion_workflow/current_permeability_field/current_best_bulk_w_projections.vtu,1,evaluated_from_mesh,inversion_workflow/current_permeability_field/current_best_bulk_w_projections.vtu,75,52.0,2,48,21,0.3114171478881606,0.49400403343820803,269.8180571059851,65.31194526868983,183.6712474083337,121.16896116540623,245.67481647284035,1.61071549171474,0.7924641782045433,1.61071549171474,1.61071549171474,1.551958965980309,1.2295502504064544,0.6605151439658588,1.2295502504064544,1.2295502504064544,1.185533123183516,3.4744237387763093,1.0,3.4744237387763093,3.4744237387763093,3.4744237387763093,30,16,1.072850831100576e-28,134.72779043641358,1.3371928501532455e-15,1.4984869615516268,5.329070518200751e-16,1.0555758838301277,3.552713678800501e-15,3.4744237387763093,1.0,183.0,1.0,1.0,1.0,228.0,110.0
direct_fit_observation_run,direct_fit_observation_run,materialized_run_field,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/direct_fit_observation_run/bulk_w_projections.vtu,inversion_workflow/runs/direct_fit_observation_run/bulk_w_projections.vtu,203,cached_csv,inversion_workflow/runs/direct_fit_observation_run/permeability_fit_evaluation.csv,75,52.0,2,46,19,0.31141714788816055,0.49400403343820815,269.8180571059851,65.31194526868981,183.6712474083337,121.16896116540623,245.67481647284038,1.61071549171474,0.7924641782045433,1.61071549171474,1.61071549171474,1.551958965980309,1.2295502504064544,0.6605151439658588,1.2295502504064544,1.2295502504064544,1.185533123183516,3.474423738776311,1.0,3.474423738776311,3.474423738776311,3.474423738776311,30,16,2.145701662201152e-28,134.72779043641367,1.8910762641950537e-15,1.4984869615516272,1.0658141036401502e-15,1.0555758838301277,3.552713678800501e-15,3.474423738776311,1.0,166.0,1.0,1.0,18.0,251.0,133.0
direct_permeability_fit,direct_permeability_fit,materialized_run_field,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/direct_permeability_fit/bulk_w_projections.vtu,inversion_workflow/runs/direct_permeability_fit/bulk_w_projections.vtu,204,cached_csv,inversion_workflow/runs/direct_permeability_fit/permeability_fit_evaluation.csv,75,52.0,2,46,19,0.31141714788816055,0.49400403343820815,269.8180571059851,65.31194526868981,183.6712474083337,121.16896116540623,245.67481647284038,1.61071549171474,0.7924641782045433,1.61071549171474,1.61071549171474,1.551958965980309,1.2295502504064544,0.6605151439658588,1.2295502504064544,1.2295502504064544,1.185533123183516,3.474423738776311,1.0,3.474423738776311,3.474423738776311,3.474423738776311,30,16,2.145701662201152e-28,134.72779043641367,1.8910762641950537e-15,1.4984869615516272,1.0658141036401502e-15,1.0555758838301277,3.552713678800501e-15,3.474423738776311,1.0,166.0,1.0,1.0,18.0,251.0,133.0
local_basis_sampler_001_basis_004_det_l_0p0015_s_1p000,local_basis_sampler_001_basis_004_det_l_0p0015_s_1p000,materialized_run_field,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_001_basis_004_det_l_0p0015_s_1p000/bulk_w_projections.vtu,inversion_workflow/runs/local_basis_sampler_001_basis_004_det_l_0p0015_s_1p000/bulk_w_projections.vtu,301,cached_csv,inversion_workflow/runs/local_basis_sampler_001_basis_004_det_l_0p0015_s_1p000/permeability_fit_evaluation.csv,75,52.0,2,48,21,0.3114171478881606,0.49400403343820803,269.8180571059851,65.31194526868983,183.6712474083337,121.16896116540623,245.67481647284035,1.61071549171474,0.7924641782045433,1.61071549171474,1.61071549171474,1.551958965980309,1.2295502504064544,0.6605151439658588,1.2295502504064544,1.2295502504064544,1.185533123183516,3.4744237387763093,1.0,3.4744237387763093,3.4744237387763093,3.4744237387763093,30,16,1.7670484276950664e-28,134.72779043641358,1.7161237463612904e-15,1.4984869615516268,8.289665250534502e-16,1.0555758838301275,3.552713678800501e-15,3.4744237387763093,1.0,183.0,1.0,1.0,2.0,228.0,110.0
local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000,local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000,materialized_run_field,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/bulk_w_projections.vtu,inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/bulk_w_projections.vtu,302,cached_csv,inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/permeability_fit_evaluation.csv,75,52.0,2,48,21,0.3114171478881606,0.49400403343820803,269.8180571059851,65.31194526868983,183.6712474083337,121.16896116540623,245.67481647284035,1.61071549171474,0.7924641782045433,1.61071549171474,1.61071549171474,1.551958965980309,1.2295502504064544,0.6605151439658588,1.2295502504064544,1.2295502504064544,1.185533123183516,3.4744237387763093,1.0,3.4744237387763093,3.4744237387763093,3.4744237387763093,30,16,1.7670484276950664e-28,134.72779043641358,1.7161237463612904e-15,1.4984869615516268,8.289665250534502e-16,1.0555758838301275,3.552713678800501e-15,3.4744237387763093,1.0,183.0,1.0,1.0,2.0,228.0,110.0
local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000,local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000,materialized_run_field,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000/bulk_w_projections.vtu,inversion_workflow/runs/local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000/bulk_w_projections.vtu,303,cached_csv,inversion_workflow/runs/local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000/permeability_fit_evaluation.csv,75,52.0,2,48,21,0.3114171478881606,0.49400403343820803,269.8180571059851,65.31194526868983,183.6712474083337,121.16896116540623,245.67481647284035,1.61071549171474,0.7924641782045433,1.61071549171474,1.61071549171474,1.551958965980309,1.2295502504064544,0.6605151439658588,1.2295502504064544,1.2295502504064544,1.185533123183516,3.4744237387763093,1.0,3.4744237387763093,3.4744237387763093,3.4744237387763093,30,16,1.7670484276950664e-28,134.72779043641358,1.7161237463612904e-15,1.4984869615516268,8.289665250534502e-16,1.0555758838301275,3.552713678800501e-15,3.4744237387763093,1.0,183.0,1.0,1.0,2.0,228.0,110.0
local_basis_sampler_plan/basis_004_det_l_0p0015_s_1p000,local_basis_sampler_plan,materialized_run_field,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_plan/basis_004_det_l_0p0015_s_1p000/bulk_w_projections.vtu,inversion_workflow/runs/local_basis_sampler_plan/basis_004_det_l_0p0015_s_1p000/bulk_w_projections.vtu,305,cached_csv,inversion_workflow/runs/local_basis_sampler_plan/basis_004_det_l_0p0015_s_1p000/permeability_fit_evaluation.csv,75,52.0,2,48,21,0.3114171478881606,0.49400403343820803,269.8180571059851,65.31194526868983,183.6712474083337,121.16896116540623,245.67481647284035,1.61071549171474,0.7924641782045433,1.61071549171474,1.61071549171474,1.551958965980309,1.2295502504064544,0.6605151439658588,1.2295502504064544,1.2295502504064544,1.185533123183516,3.4744237387763093,1.0,3.4744237387763093,3.4744237387763093,3.4744237387763093,30,16,1.7670484276950664e-28,134.72779043641358,1.7161237463612904e-15,1.4984869615516268,8.289665250534502e-16,1.0555758838301275,3.552713678800501e-15,3.4744237387763093,1.0,183.0,1.0,1.0,2.0,228.0,110.0
local_basis_sampler_plan/basis_009_det_l_0p0025_s_1p000,local_basis_sampler_plan,materialized_run_field,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_plan/basis_009_det_l_0p0025_s_1p000/bulk_w_projections.vtu,inversion_workflow/runs/local_basis_sampler_plan/basis_009_det_l_0p0025_s_1p000/bulk_w_projections.vtu,307,cached_csv,inversion_workflow/runs/local_basis_sampler_plan/basis_009_det_l_0p0025_s_1p000/permeability_fit_evaluation.csv,75,52.0,2,48,21,0.3114171478881606,0.49400403343820803,269.8180571059851,65.31194526868983,183.6712474083337,121.16896116540623,245.67481647284035,1.61071549171474,0.7924641782045433,1.61071549171474,1.61071549171474,1.551958965980309,1.2295502504064544,0.6605151439658588,1.2295502504064544,1.2295502504064544,1.185533123183516,3.4744237387763093,1.0,3.4744237387763093,3.4744237387763093,3.4744237387763093,30,16,1.7670484276950664e-28,134.72779043641358,1.7161237463612904e-15,1.4984869615516268,8.289665250534502e-16,1.0555758838301275,3.552713678800501e-15,3.4744237387763093,1.0,183.0,1.0,1.0,2.0,228.0,110.0
