downloads_path,relative_path,filename,normalized_filename,size_bytes,sha1,catalogue_status,catalogue_sha1_match,matching_catalogue_paths
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_0882_t_76204800.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_0882_t_76204800.000000.vtu,results_cd-a_03_01_ts_0882_t_76204800.000000.vtu,results_cd-a_03_01_ts_0882_t_76204800.000000.vtu,18216239,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_0889_t_76809600.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_0889_t_76809600.000000.vtu,results_cd-a_03_01_ts_0889_t_76809600.000000.vtu,results_cd-a_03_01_ts_0889_t_76809600.000000.vtu,18217139,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_0896_t_77414400.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_0896_t_77414400.000000.vtu,results_cd-a_03_01_ts_0896_t_77414400.000000.vtu,results_cd-a_03_01_ts_0896_t_77414400.000000.vtu,18217823,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_0903_t_78019200.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_0903_t_78019200.000000.vtu,results_cd-a_03_01_ts_0903_t_78019200.000000.vtu,results_cd-a_03_01_ts_0903_t_78019200.000000.vtu,18216211,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_0910_t_78624000.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_0910_t_78624000.000000.vtu,results_cd-a_03_01_ts_0910_t_78624000.000000.vtu,results_cd-a_03_01_ts_0910_t_78624000.000000.vtu,18216155,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_0917_t_79228800.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_0917_t_79228800.000000.vtu,results_cd-a_03_01_ts_0917_t_79228800.000000.vtu,results_cd-a_03_01_ts_0917_t_79228800.000000.vtu,18214959,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_0924_t_79833600.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_0924_t_79833600.000000.vtu,results_cd-a_03_01_ts_0924_t_79833600.000000.vtu,results_cd-a_03_01_ts_0924_t_79833600.000000.vtu,18215099,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_0931_t_80438400.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_0931_t_80438400.000000.vtu,results_cd-a_03_01_ts_0931_t_80438400.000000.vtu,results_cd-a_03_01_ts_0931_t_80438400.000000.vtu,18213835,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_0938_t_81043200.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_0938_t_81043200.000000.vtu,results_cd-a_03_01_ts_0938_t_81043200.000000.vtu,results_cd-a_03_01_ts_0938_t_81043200.000000.vtu,18213135,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_0945_t_81648000.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_0945_t_81648000.000000.vtu,results_cd-a_03_01_ts_0945_t_81648000.000000.vtu,results_cd-a_03_01_ts_0945_t_81648000.000000.vtu,18211679,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_0952_t_82252800.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_0952_t_82252800.000000.vtu,results_cd-a_03_01_ts_0952_t_82252800.000000.vtu,results_cd-a_03_01_ts_0952_t_82252800.000000.vtu,18210279,,downloads_relevant_name_candidate,,
