sensor,rows,date_min,date_max,valid_rh_rows,low_rh_outlier_rows,above_95_percent_caution_rows,preferred_range_rows,compared_to_active_curve_rows,outside_active_curve_range_rows,rh_percent_min,rh_percent_median,rh_percent_max,kelvin_pressure_mpa_min,kelvin_pressure_mpa_median,kelvin_pressure_mpa_max,residual_mpa_median,abs_residual_mpa_median,recommended_use
RH5,1042,2022-01-11,2025-09-04,1042,0,387,655,555,487,94.0807375963905,94.74971892471274,95.9927206227757,-9.193734727414768,-8.126116776280384,-6.162292456396863,11.757511532645056,11.757511532645056,preferred RH boundary evidence
RH6,1064,2021-12-16,2025-09-04,1064,0,0,1064,577,487,93.322527442857,93.8039636199196,94.9882577361112,-10.412968291083377,-9.637656295913455,-7.747258209630746,11.359142460253652,11.359142460253652,preferred RH boundary evidence
RH7,1071,2021-12-16,2025-09-04,1071,7,1055,9,577,487,13.18797,96.41839778,97.27216088,-305.2478627951225,-5.495603920427247,-4.16728047397746,14.41891780114283,15.069754209872452,retain with stronger quality screening because low/suspicious values occur
RH8,1070,2021-12-16,2025-09-04,1070,12,1050,8,571,487,13.20271,95.47767031250005,96.2193812777774,-305.07954925866386,-6.972919664542118,-5.806933136539242,12.529237621523873,13.25713555095603,retain with stronger quality screening because low/suspicious values occur
