run_id,rank,cell_id,centroid_x_m,centroid_y_m,cell_area_m2,reference_log10_k_geom,candidate_log10_k_geom,delta_log10_k_geom,abs_delta_log10_k_geom,reference_log10_k_min,candidate_log10_k_min,reference_log10_k_max,candidate_log10_k_max,relative_tensor_frobenius
broad_continuous_001_003_length_0p021m,1,8058,-1.6123045437277934,-0.579365793549156,0.0017917688654833916,-19.14693272177644,-13.342806467519559,5.804126254256882,5.804126254256882,-19.34590272611246,-13.541776471855577,-18.947962717440422,-13.14383646318354,636979.6713900892
broad_continuous_001_003_length_0p021m,2,8348,-1.63197475497348,-0.5106569267206214,0.0023413993708968172,-19.14105185310187,-13.33692559884499,5.804126254256881,5.804126254256881,-19.34002185743789,-13.53589560318101,-18.942081848765852,-13.137955594508972,636979.6713900891
broad_continuous_001_003_length_0p021m,3,3541,-1.68127498726719,-0.5661356956472403,0.002578805321418192,-19.156802443715176,-13.352676189458295,5.804126254256881,5.804126254256881,-19.355772448051194,-13.551646193794314,-18.957832439379157,-13.153706185122276,636979.6713900892
broad_continuous_001_003_length_0p021m,4,6198,0.6287262785885496,-1.7462899105350067,0.004416025866899624,-19.29127872402843,-14.239767959335882,5.051510764692548,5.051510764692548,-19.49024872836445,-14.438737963671901,-19.09230871969241,-14.040797954999864,112591.83765085478
broad_continuous_001_003_length_0p021m,5,6998,0.4736923338728963,-1.4419931361896465,0.0009461234573538256,-19.091150226649056,-16.233542093406747,2.8576081332423087,2.8576081332423087,-19.290120230985075,-16.432512097742766,-18.892180222313037,-16.03457208907073,719.4571126369135
broad_continuous_001_003_length_0p021m,6,7000,0.459176953254458,-1.4200119085870666,0.0010757659748641942,-19.076087677310873,-16.218479544068565,2.8576081332423087,2.8576081332423087,-19.275057681646892,-16.417449548404583,-18.877117672974855,-16.019509539732546,719.4571126369136
broad_continuous_001_003_length_0p021m,7,9631,0.419730210741497,-1.3913219789816333,0.0008968301774637858,-19.05620929576079,-16.198601162518482,2.8576081332423087,2.8576081332423087,-19.25517930009681,-16.3975711668545,-18.857239291424772,-15.999631158182464,719.4571126369134
broad_continuous_001_003_length_0p021m,8,9621,0.42800445712842267,-1.4172653401320299,0.00137968168592557,-19.073230887111944,-16.215622753869635,2.8576081332423087,2.8576081332423087,-19.272200891447962,-16.414592758205654,-18.874260882775925,-16.016652749533616,719.4571126369134
broad_continuous_001_003_length_0p021m,9,3652,0.5135134941282146,-1.3684987040722767,0.00095341421549463,-19.044222928975795,-16.186614795733487,2.8576081332423087,2.8576081332423087,-19.243192933311814,-16.385584800069505,-18.845252924639777,-15.987644791397468,719.4571126369134
broad_continuous_001_003_length_0p021m,10,3653,0.501145937512898,-1.3934652152154232,0.0010095123815512484,-19.060096974501388,-16.20248884125908,2.8576081332423087,2.8576081332423087,-19.259066978837406,-16.401458845595098,-18.86112697016537,-16.00351883692306,719.4571126369135
broad_continuous_001_003_length_0p021m,11,3764,0.518497009009403,-1.4157060161226298,0.0012012252911705673,-19.075439303064094,-16.217831169821785,2.8576081332423087,2.8576081332423087,-19.274409307400113,-16.416801174157804,-18.876469298728075,-16.018861165485767,719.4571126369135
broad_continuous_001_003_length_0p021m,12,3532,0.5051253735486413,-1.4393986389487567,0.0010533955064518953,-19.09069073817321,-16.2330826049309,2.8576081332423087,2.8576081332423087,-19.289660742509227,-16.43205260926692,-18.89172073383719,-16.03411260059488,719.4571126369135
broad_continuous_001_003_length_0p021m,13,1708,-1.24307761093156,-0.4238890882243467,0.00048750704610217945,-18.983453035901782,-16.2863685392954,2.697084496606383,2.697084496606383,-19.1824230402378,-16.485338543631418,-18.784483031565763,-16.08739853495938,496.83393443914554
broad_continuous_001_003_length_0p021m,14,821,-1.2754392412470468,-0.4048643300267843,0.0006219571155422926,-18.995104911292064,-16.29802041468568,2.697084496606383,2.697084496606383,-19.194074915628082,-16.4969904190217,-18.796134906956045,-16.099050410349662,496.8339344391455
broad_continuous_001_003_length_0p021m,15,2926,-1.2669033101781466,-0.44126878716084966,0.00045671243429819264,-19.00148503331761,-16.304400536711228,2.697084496606383,2.697084496606383,-19.20045503765363,-16.503370541047246,-18.802515028981592,-16.10543053237521,496.8339344391456
broad_continuous_001_003_length_0p021m,16,10079,-1.2695401270628432,-0.483872836635815,0.0005510071101462543,-18.99965996332706,-16.318613367081717,2.6810465962453414,2.6810465962453414,-19.198629967663077,-16.517583371417736,-18.80068995899104,-16.1196433627457,478.7849228727962
broad_continuous_001_003_length_0p021m,17,8652,-1.2859279163596666,-0.4466711320971597,0.0007073851241175657,-18.99694764887801,-16.315901052632668,2.6810465962453414,2.6810465962453414,-19.19591765321403,-16.514871056968687,-18.79797764454199,-16.11693104829665,478.78492287279624
broad_continuous_001_003_length_0p021m,18,3279,-1.2148772336913265,-0.4154356551552077,0.00037572525196464895,-18.949299961881113,-16.268253365635772,2.6810465962453414,2.6810465962453414,-19.148269966217132,-16.46722336997179,-18.750329957545095,-16.069283361299753,478.78492287279624
broad_continuous_001_003_length_0p021m,19,2944,-1.2532156954807032,-0.4736930346536499,0.0005665023059429255,-18.988187596862662,-16.30714100061732,2.6810465962453414,2.6810465962453414,-19.18715760119868,-16.50611100495334,-18.789217592526644,-16.108170996281302,478.78492287279613
broad_continuous_001_003_length_0p021m,20,1938,-1.2469862297253833,-0.36299615504579236,0.00040814596238321213,-18.95104911184331,-16.27000251559797,2.6810465962453414,2.6810465962453414,-19.15001911617933,-16.46897251993399,-18.752079107507292,-16.07103251126195,478.78492287279613
broad_continuous_001_003_length_0p021m,21,818,-1.2707777207277233,-0.3851979897471363,0.0006288218313964993,-18.970750444289187,-16.289703848043846,2.6810465962453414,2.6810465962453414,-19.169720448625206,-16.488673852379865,-18.77178043995317,-16.090733843707827,478.78492287279613
