run_id,run_kind,scenario_count,scenario_ids,cell_count,area_m2,area_weighted_mean_delta_log10_k_geom,area_weighted_mean_abs_delta_log10_k_geom,area_weighted_rms_delta_log10_k_geom,max_abs_delta_cell_id,delta_log10_k_geom_finite_count,delta_log10_k_geom_min,delta_log10_k_geom_p05,delta_log10_k_geom_p50,delta_log10_k_geom_p95,delta_log10_k_geom_max,delta_log10_k_geom_mean,delta_log10_k_geom_mean_abs,delta_log10_k_geom_max_abs,relative_tensor_frobenius_finite_count,relative_tensor_frobenius_min,relative_tensor_frobenius_p05,relative_tensor_frobenius_p50,relative_tensor_frobenius_p95,relative_tensor_frobenius_max,relative_tensor_frobenius_mean,relative_tensor_frobenius_mean_abs,relative_tensor_frobenius_max_abs,cells_abs_delta_gt_1em06,area_m2_abs_delta_gt_1em06,cells_abs_delta_gt_0p01,area_m2_abs_delta_gt_0p01,cells_abs_delta_gt_0p05,area_m2_abs_delta_gt_0p05,cells_abs_delta_gt_0p10,area_m2_abs_delta_gt_0p10,cells_abs_delta_gt_0p25,area_m2_abs_delta_gt_0p25
local_bracketed_003_length_0p031m,local_smooth,2,S04_active_plus_taupe_screen;S07_diagnostics_only_nmr_ert_taupe,10239,95.63080986225386,0.00630631343600105,0.006796502431393517,0.13968052214380697,4977,10239,-0.5623012578537718,0.0,0.0,0.0,5.804126254256882,0.03186548454624501,0.03774483756924675,5.804126254256882,10239,0.0,0.0,0.0,0.0,636979.6713900893,413.2402383827564,413.2402383827564,636979.6713900893,254,0.4209483563504487,254,0.4209483563504487,241,0.38643472251806843,233,0.3547409645669777,222,0.33188136912441746
production_sampler_round3_002_length_0p028m_shift_1p050,production_sampler_round,2,S05_active_plus_ert_taupe_screen;S06_active_plus_promoted_nmr_ert_taupe,10239,95.63080986225386,0.006070131748665771,0.00671833174248742,0.14201716582599336,4977,10239,-0.5880731078285528,0.0,0.0,0.0,6.094332566969726,0.030208455979586078,0.03556501832466345,6.094332566969726,10239,0.0,0.0,0.0,0.0,1242602.4840575855,731.5807320372289,731.5807320372289,1242602.4840575855,242,0.6461535896480941,241,0.643574784330359,224,0.5534465158897746,208,0.33512866693554466,197,0.2974443883824128
broad_continuous_001_003_length_0p021m,broad_continuous,1,S02_promoted_nmr_trend_anomaly,10239,95.63080986225386,0.0019227797108802847,0.0021346821726858944,0.08042521589199798,8058,10239,-0.5602282613807468,0.0,0.0,0.0,5.804126254256882,0.015086260698662932,0.018472269544606502,5.804126254256882,10239,0.0,0.0,0.0,0.0,636979.6713900892,199.50574703699377,199.50574703699377,636979.6713900892,122,0.12743189694527146,122,0.12743189694527146,112,0.1051765025266383,111,0.10045208006903304,111,0.10045208006903304
local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000,local_basis,2,S03_active_plus_ert_screen;S08_rank_consensus_all_streams,10239,95.63080986225386,-8.205664272746834e-07,8.205664272746834e-07,0.00010532540485283805,3653,10239,-0.017094083547828376,0.0,0.0,0.0,0.0,-8.505265362917355e-06,8.505265362917355e-06,0.017094083547828376,10239,0.0,0.0,0.0,0.0,0.03859601828957519,1.9293622812861844e-05,1.9293622812861844e-05,0.03859601828957519,10,0.009108453971494086,3,0.0029164781596798103,0,0.0,0,0.0,0,0.0
